RGID,RGSM,RGLB,Lane,Read1File,Read2File
Alice_T,Alice_T,Unknown,1,180720_A00130_0070_AH5TY5DSXX_E194_PRJ180506_Missing_R1_001.fastq.gz,180720_A00130_0070_AH5TY5DSXX_E194_PRJ180506_Missing_R2_001.fastq.gz
Alice_N,Alice_N,Unknown,1,180720_A00130_0070_AH5TY5DSXX_E194_PRJ180507_Missing_R1_001.fastq.gz,180720_A00130_0070_AH5TY5DSXX_E194_PRJ180507_Missing_R2_001.fastq.gz
Bob_T,Bob_T,Unknown,1,180718_A00130_0068_BH5M73DSXX_E201_PRJ180492_Missing_R1_001.fastq.gz,180718_A00130_0068_BH5M73DSXX_E201_PRJ180492_Missing_R2_001.fastq.gz
Bob_N,Bob_N,Unknown,1,180718_A00130_0068_BH5M73DSXX_E201_PRJ180493_Missing_R1_001.fastq.gz,180718_A00130_0068_BH5M73DSXX_E201_PRJ180493_Missing_R2_001.fastq.gz
Chen_T,Chen_T,Unknown,1,180718_A00130_0068_BH5M73DSXX_E199_PRJ180494_Missing_R1_001.fastq.gz,180718_A00130_0068_BH5M73DSXX_E199_PRJ180494_Missing_R2_001.fastq.gz
Chen_N,Chen_N,Unknown,1,180718_A00130_0068_BH5M73DSXX_E199_PRJ180495_Missing_R1_001.fastq.gz,180718_A00130_0068_BH5M73DSXX_E199_PRJ180495_Missing_R2_001.fastq.gz
Dakota_T,Dakota_T,Unknown,1,180521_A00130_0060_AH5CHKDSXX_E190_PRJ180253_Missing_R1_001.fastq.gz,180521_A00130_0060_AH5CHKDSXX_E190_PRJ180253_Missing_R2_001.fastq.gz
Dakota_N,Dakota_N,Unknown,1,180521_A00130_0060_AH5CHKDSXX_E190_PRJ180254_Missing_R1_001.fastq.gz,180521_A00130_0060_AH5CHKDSXX_E190_PRJ180254_Missing_R2_001.fastq.gz
Elon_T,Elon_T,Unknown,1,180720_A00130_0070_AH5TY5DSXX_E202_PRJ180499_Missing_R1_001.fastq.gz,180720_A00130_0070_AH5TY5DSXX_E202_PRJ180499_Missing_R2_001.fastq.gz
Elon_N,Elon_N,Unknown,1,180720_A00130_0070_AH5TY5DSXX_E202_PRJ180500_Missing_R1_001.fastq.gz,180720_A00130_0070_AH5TY5DSXX_E202_PRJ180500_Missing_R2_001.fastq.gz
