Depth,Overall
0,78415818
1,11597573
2,7543497
3,5910918
4,5026167
5,4514964
6,4256198
7,4125726
8,4151505
9,4295382
10,4528688
11,4862723
12,5320490
13,5902183
14,6677329
15,7718773
16,9221562
17,11386520
18,14508746
19,18876488
20,24894504
21,32837142
22,42889401
23,55101017
24,69388570
25,85276809
26,102139245
27,119163141
28,135291046
29,149573100
30,160936496
31,168820710
32,172602158
33,172214670
34,167840215
35,159815211
36,148892941
37,135838225
38,121418231
39,106466444
40,91643130
41,77478829
42,64486919
43,52891316
44,42780431
45,34144076
46,26945994
47,21050624
48,16319152
49,12559352
50,9613784
51,7328702
52,5598348
53,4270045
54,3270154
55,2518505
56,1952281
57,1528419
58,1210498
59,966011
60,780824
61,645595
62,539906
63,460011
64,397775
65,350658
66,314355
67,284756
68,261871
69,240959
70,224020
71,208940
72,195925
73,185079
74,175196
75,167098
76,157847
77,151635
78,143986
79,137262
80,131813
81,126035
82,121761
83,119388
84,115989
85,111867
86,108961
87,107754
88,105190
89,103155
90,101224
91,99562
92,97434
93,95791
94,94808
95,93528
96,91765
97,89695
98,87285
99,85714
100,84134
101,81727
102,79324
103,76715
104,74915
105,72769
106,70064
107,68697
108,66473
109,64980
110,62660
111,60811
112,58857
113,56052
114,54205
115,52858
116,51086
117,49913
118,48407
119,46912
120,45923
121,44813
122,43848
123,42642
124,41754
125,41081
126,40071
127,39537
128,38278
129,37443
130,36409
131,36076
132,35655
133,34726
134,34014
135,33499
136,32657
137,32050
138,31367
139,30905
140,30335
141,30060
142,29787
143,29260
144,28361
145,27748
146,27993
147,26829
148,26657
149,25997
150,25493
151,25386
152,24296
153,23747
154,23287
155,22842
156,22324
157,21950
158,21429
159,20879
160,20669
161,20590
162,20138
163,19773
164,19494
165,19155
166,18797
167,18333
168,18425
169,17770
170,17488
171,17280
172,16704
173,16504
174,16026
175,15907
176,15398
177,15310
178,14903
179,14637
180,14121
181,14018
182,13844
183,13837
184,13599
185,13087
186,12649
187,12572
188,12439
189,12442
190,12017
191,11678
192,11705
193,11374
194,11416
195,11333
196,11081
197,10982
198,10813
199,10759
200,10659
201,10635
202,10116
203,10192
204,9715
205,9484
206,9055
207,8853
208,8608
209,8577
210,8359
211,8336
212,8152
213,7997
214,7765
215,7772
216,7660
217,7236
218,7337
219,7111
220,6823
221,6811
222,6637
223,6380
224,6363
225,6170
226,6224
227,5993
228,5865
229,5623
230,5628
231,5619
232,5425
233,5363
234,5476
235,5462
236,5363
237,5189
238,5152
239,5012
240,4820
241,4729
242,4655
243,4642
244,4519
245,4390
246,4294
247,4367
248,4227
249,4245
250,4261
251,4151
252,4149
253,4023
254,4037
255,3970
256,3892
257,3966
258,3907
259,3758
260,3750
261,3767
262,3633
263,3662
264,3640
265,3510
266,3367
267,3491
268,3561
269,3509
270,3416
271,3252
272,3289
273,3313
274,3330
275,3116
276,3291
277,3239
278,3160
279,3212
280,3205
281,3121
282,3054
283,3067
284,3002
285,3015
286,3087
287,3005
288,3088
289,2966
290,2826
291,2864
292,2739
293,2715
294,2831
295,2737
296,2663
297,2581
298,2572
299,2576
300,2535
301,2588
302,2458
303,2401
304,2426
305,2467
306,2288
307,2372
308,2338
309,2308
310,2367
311,2259
312,2271
313,2206
314,2279
315,2262
316,2206
317,2159
318,2123
319,2090
320,2047
321,2039
322,2018
323,1974
324,1954
325,2024
326,2006
327,1978
328,1971
329,1899
330,1902
331,1826
332,1820
333,1801
334,1745
335,1842
336,1718
337,1789
338,1753
339,1615
340,1622
341,1615
342,1681
343,1744
344,1622
345,1647
346,1579
347,1611
348,1669
349,1523
350,1534
351,1597
352,1553
353,1546
354,1482
355,1528
356,1516
357,1564
358,1512
359,1522
360,1498
361,1493
362,1507
363,1418
364,1415
365,1373
366,1389
367,1422
368,1391
369,1416
370,1358
371,1376
372,1283
373,1278
374,1341
375,1354
376,1317
377,1325
378,1317
379,1325
380,1232
381,1256
382,1211
383,1212
384,1245
385,1224
386,1207
387,1269
388,1239
389,1183
390,1138
391,1079
392,1124
393,1096
394,1092
395,1057
396,1102
397,1014
398,1072
399,1111
400,1067
401,1066
402,1083
403,1045
404,1129
405,1068
406,1061
407,1080
408,999
409,1045
410,1038
411,1052
412,1015
413,1035
414,1043
415,1003
416,1020
417,1043
418,1014
419,1044
420,1005
421,1000
422,955
423,1043
424,929
425,1026
426,973
427,963
428,981
429,964
430,990
431,976
432,961
433,1016
434,914
435,964
436,984
437,888
438,917
439,912
440,928
441,932
442,953
443,917
444,896
445,875
446,947
447,868
448,866
449,910
450,942
451,948
452,928
453,838
454,850
455,831
456,825
457,833
458,858
459,826
460,832
461,767
462,757
463,755
464,782
465,738
466,772
467,818
468,703
469,740
470,724
471,725
472,811
473,774
474,707
475,724
476,788
477,713
478,762
479,774
480,806
481,762
482,730
483,723
484,713
485,776
486,761
487,723
488,742
489,742
490,710
491,752
492,778
493,698
494,704
495,758
496,706
497,729
498,665
499,728
500,695
501,692
502,700
503,714
504,687
505,662
506,643
507,678
508,718
509,668
510,644
511,645
512,658
513,644
514,726
515,609
516,628
517,639
518,658
519,618
520,598
521,708
522,654
523,656
524,722
525,649
526,637
527,632
528,626
529,619
530,638
531,641
532,615
533,633
534,664
535,594
536,621
537,633
538,592
539,608
540,597
541,632
542,559
543,569
544,597
545,613
546,583
547,600
548,579
549,610
550,602
551,572
552,589
553,635
554,579
555,614
556,600
557,517
558,562
559,588
560,568
561,518
562,507
563,545
564,519
