Depth,Overall
0,71262312
1,9584244
2,5914516
3,4475546
4,3703198
5,3222313
6,2868052
7,2586409
8,2389002
9,2242197
10,2117578
11,2018865
12,1945208
13,1891385
14,1834597
15,1787210
16,1761464
17,1752693
18,1749428
19,1764772
20,1784627
21,1819758
22,1866844
23,1929832
24,2010517
25,2103304
26,2216765
27,2356113
28,2506480
29,2686611
30,2909404
31,3153378
32,3445894
33,3800302
34,4226258
35,4716041
36,5311880
37,6004746
38,6815328
39,7742261
40,8791263
41,9959182
42,11265055
43,12686534
44,14252317
45,15950790
46,17750989
47,19692621
48,21723228
49,23901468
50,26206822
51,28688698
52,31305537
53,34127371
54,37167238
55,40409219
56,43864640
57,47532291
58,51367568
59,55310401
60,59388891
61,63480130
62,67587487
63,71548142
64,75330763
65,78815697
66,81931745
67,84575226
68,86689308
69,88236975
70,89142922
71,89363857
72,88874492
73,87675892
74,85882919
75,83472041
76,80529766
77,77127762
78,73350142
79,69266987
80,64950889
81,60512531
82,56037326
83,51579043
84,47247012
85,43051868
86,39082899
87,35323553
88,31815513
89,28572354
90,25613739
91,22927287
92,20492627
93,18308522
94,16345661
95,14606470
96,13054857
97,11672832
98,10461438
99,9371740
100,8401888
101,7548513
102,6773683
103,6086372
104,5475058
105,4924594
106,4421176
107,3971521
108,3569004
109,3199523
110,2863734
111,2559744
112,2290494
113,2046005
114,1823312
115,1622137
116,1442905
117,1286926
118,1146892
119,1020623
120,910514
121,814149
122,725309
123,651217
124,580336
125,522107
126,470114
127,423558
128,383682
129,348656
130,316435
131,290940
132,268802
133,248497
134,230871
135,214397
136,200795
137,189000
138,177678
139,168754
140,161360
141,153402
142,146595
143,139428
144,134525
145,129228
146,124827
147,119557
148,114884
149,112163
150,108752
151,104667
152,101526
153,97865
154,94554
155,92055
156,88687
157,87074
158,85085
159,82284
160,79319
161,77441
162,75278
163,73059
164,71191
165,69030
166,66971
167,65453
168,63882
169,62202
170,60112
171,59192
172,57516
173,56172
174,55361
175,53916
176,53007
177,52816
178,51784
179,50902
180,50021
181,49525
182,48522
183,48547
184,47363
185,47326
186,46947
187,46637
188,46318
189,46243
190,45490
191,45817
192,45720
193,44867
194,44825
195,44927
196,45055
197,44538
198,44352
199,44764
200,44798
201,44314
202,44479
203,44243
204,44381
205,43982
206,44372
207,44124
208,43987
209,44050
210,43589
211,42400
212,42970
213,41890
214,42117
215,41694
216,41202
217,40761
218,39889
219,39468
220,38896
221,38307
222,37949
223,37324
224,36707
225,36085
226,35640
227,34580
228,34258
229,34079
230,33540
231,32882
232,32499
233,32257
234,31366
235,30473
236,29834
237,29382
238,28719
239,28022
240,27987
241,27394
242,26788
243,26281
244,25615
245,25977
246,25262
247,24749
248,24583
249,24098
250,23821
251,23435
252,22844
253,22676
254,22296
255,21974
256,21818
257,21299
258,20994
259,20629
260,20881
261,20134
262,19806
263,19701
264,19513
265,19214
266,18827
267,18465
268,18482
269,18203
270,17597
271,17702
272,17320
273,17374
274,16980
275,16908
276,16620
277,16688
278,16402
279,16135
280,16117
281,16130
282,16181
283,16160
284,16100
285,15918
286,15788
287,15729
288,15546
289,15104
290,15279
291,15336
292,15122
293,15088
294,15002
295,14887
296,14916
297,14876
298,14427
299,14652
300,14563
301,14327
302,14527
303,14358
304,14196
305,14011
306,14041
307,13751
308,13619
309,13296
310,13272
311,13125
312,13440
313,12944
314,12958
315,12784
316,12970
317,12668
318,12570
319,12764
320,12282
321,12161
322,12127
323,12044
324,12134
325,11705
326,11752
327,11510
328,11318
329,11077
330,11029
331,11086
332,11111
333,10815
334,10751
335,10347
336,10251
337,10235
338,10396
339,10550
340,10313
341,10308
342,10436
343,10503
344,10201
345,10045
346,10025
347,9867
348,9751
349,9574
350,9200
351,9406
352,9278
353,9211
354,9227
355,9271
356,9161
357,9045
358,9033
359,8867
360,8838
361,8735
362,8771
363,8881
364,8442
365,8525
366,8389
367,8271
368,8290
369,8254
370,8091
371,8104
372,8035
373,7800
374,7677
375,7587
376,7665
377,7619
378,7369
379,7314
380,7562
381,7450
382,7475
383,7262
384,7225
385,7207
386,7064
387,6961
388,6993
389,6931
390,6889
391,6722
392,6596
393,6521
394,6553
395,6576
396,6462
397,6606
398,6438
399,6323
400,6426
401,6498
402,6428
403,6265
404,6253
405,6195
406,6108
407,5856
408,5835
409,5962
410,5754
411,5838
412,5890
413,5706
414,5509
415,5536
416,5528
417,5564
418,5447
419,5544
420,5459
421,5369
422,5256
423,5389
424,5214
425,5033
426,4926
427,5023
428,4894
429,4868
430,4819
431,4783
432,4759
433,4767
434,4727
435,4855
436,4761
437,4625
438,4764
439,4593
440,4578
441,4528
442,4493
443,4395
444,4308
445,4353
446,4183
447,4266
448,4207
449,4146
450,4160
451,4109
452,4171
453,4062
454,4061
455,3838
456,3760
457,3845
458,3814
459,3765
460,3754
461,3849
462,3819
463,3587
464,3531
465,3476
466,3459
467,3346
468,3458
469,3358
470,3287
471,3250
472,3263
473,3220
474,3188
475,3042
476,3161
477,3076
478,3033
479,3021
480,3040
481,3015
