Depth,Overall
0,56795198
1,10676256
2,7175368
3,5648249
4,4840461
5,4283135
6,3959646
7,3763548
8,3691592
9,3782892
10,4008769
11,4421672
12,5081792
13,6016825
14,7279872
15,8810339
16,10594817
17,12489887
18,14395866
19,16136715
20,17620458
21,18757415
22,19496998
23,19894906
24,20129217
25,20322408
26,20756756
27,21649171
28,23238443
29,25822191
30,29476577
31,34437486
32,40707266
33,48320592
34,57127886
35,66910385
36,77497491
37,88452561
38,99366916
39,109723076
40,119029569
41,126865772
42,132866175
43,136741031
44,138288756
45,137390417
46,134187332
47,128964656
48,121841153
49,113278894
50,103639149
51,93341987
52,82820138
53,72396709
54,62362219
55,52933043
56,44369851
57,36656907
58,29920539
59,24117914
60,19215754
61,15129401
62,11814184
63,9119859
64,6989591
65,5317525
66,4031206
67,3044448
68,2309917
69,1752168
70,1342665
71,1041870
72,817673
73,657891
74,541274
75,456923
76,392081
77,344921
78,311110
79,284278
80,263843
81,248520
82,234990
83,223154
84,214136
85,206617
86,199210
87,193433
88,186626
89,180487
90,175771
91,170558
92,164627
93,160435
94,156077
95,150637
96,146502
97,140904
98,136568
99,132103
100,128773
101,123794
102,120193
103,115293
104,112072
105,107643
106,104999
107,101030
108,97577
109,94389
110,91318
111,89498
112,87897
113,85347
114,83259
115,81215
116,79410
117,78721
118,77414
119,75674
120,73609
121,72453
122,72477
123,71060
124,70657
125,69478
126,68808
127,67793
128,67511
129,66849
130,66020
131,65327
132,64654
133,62510
134,61259
135,60631
136,59837
137,58801
138,58589
139,56834
140,55739
141,53775
142,53205
143,52339
144,51431
145,49849
146,49014
147,47268
148,46875
149,45312
150,44013
151,43864
152,42940
153,42157
154,40385
155,39828
156,38691
157,38364
158,37809
159,37270
160,36352
161,35995
162,35105
163,34578
164,33840
165,33574
166,33202
167,32577
168,32092
169,31522
170,31301
171,30708
172,30886
173,30606
174,29964
175,29440
176,28749
177,28137
178,27625
179,27283
180,26451
181,26472
182,26196
183,25613
184,25584
185,25231
186,24615
187,24313
188,23931
189,23524
190,22926
191,22332
192,22095
193,21892
194,21231
195,20944
196,20453
197,20106
198,19720
199,19702
200,19237
201,18978
202,18476
203,18411
204,17906
205,17663
206,17515
207,17121
208,16832
209,16270
210,16316
211,15746
212,15597
213,14997
214,14705
215,14696
216,14376
217,14024
218,14037
219,13843
220,13681
221,13936
222,13611
223,13618
224,13549
225,13204
226,12764
227,12939
228,12771
229,12414
230,12859
231,12454
232,12564
233,12478
234,12303
235,12100
236,11800
237,11867
238,11376
239,11460
240,11269
241,10920
242,10804
243,10798
244,10441
245,10269
246,9905
247,10101
248,9991
249,9892
250,9853
251,9608
252,9437
253,9382
254,9258
255,8892
256,8896
257,8571
258,8512
259,8429
260,8341
261,8367
262,8172
263,8097
264,8083
265,7833
266,7660
267,7525
268,7259
269,7395
270,7179
271,7148
272,6813
273,6797
274,6834
275,6538
276,6335
277,6307
278,6081
279,6019
280,5815
281,5798
282,5850
283,5714
284,5617
285,5594
286,5679
287,5680
288,5524
289,5518
290,5421
291,5332
292,5270
293,5189
294,5073
295,5049
296,5166
297,5011
298,4829
299,4915
300,4685
301,4720
302,4669
303,4554
304,4670
305,4542
306,4349
307,4467
308,4360
309,4390
310,4317
311,4331
312,4305
313,4385
314,4390
315,4255
316,4349
317,4229
318,4035
319,3975
320,3906
321,3901
322,3892
323,3842
324,3905
325,3718
326,3787
327,3652
328,3625
329,3632
330,3485
331,3561
332,3575
333,3537
334,3518
335,3501
336,3550
337,3357
338,3331
339,3318
340,3325
341,3436
342,3359
343,3351
344,3207
345,3342
346,3226
347,3102
348,3179
349,3233
350,3131
351,3096
352,3052
353,3143
354,3131
355,3020
356,3073
357,2935
358,2801
359,2885
360,2736
361,2866
362,2761
363,2775
364,2705
365,2716
366,2731
367,2682
368,2661
369,2645
370,2668
371,2459
372,2658
373,2584
374,2592
375,2452
376,2517
377,2486
378,2458
379,2473
380,2506
381,2481
382,2401
383,2506
384,2486
385,2406
386,2314
387,2312
388,2331
389,2419
390,2275
391,2274
392,2311
393,2245
394,2263
395,2286
396,2187
397,2268
398,2151
399,2207
400,2068
401,2088
402,2093
403,2046
404,1988
405,1978
406,1985
407,1998
408,1924
409,1899
410,1857
411,1927
412,1893
413,1806
414,1841
415,1708
416,1757
417,1804
418,1785
419,1737
420,1715
421,1646
422,1711
423,1669
424,1644
425,1656
426,1726
427,1680
428,1685
429,1723
430,1703
431,1716
432,1652
433,1635
434,1646
435,1573
436,1653
437,1575
438,1659
439,1608
440,1576
441,1541
442,1574
443,1470
444,1527
445,1575
446,1519
447,1564
448,1476
449,1479
450,1446
451,1416
452,1490
453,1505
454,1376
455,1500
456,1417
457,1392
458,1431
459,1409
460,1387
461,1438
462,1428
463,1439
464,1348
465,1414
466,1455
467,1376
468,1395
469,1372
470,1388
471,1356
472,1414
473,1383
474,1366
475,1293
476,1216
477,1307
478,1319
479,1244
480,1283
481,1249
482,1282
483,1217
484,1296
485,1208
486,1212
487,1219
488,1251
489,1271
490,1196
491,1217
492,1207
493,1218
494,1182
495,1205
496,1212
497,1163
498,1178
499,1189
500,1135
501,1179
502,1182
503,1219
504,1143
505,1191
506,1143
507,1163
508,1127
509,1095
510,1075
511,1154
512,1064
513,1026
514,1006
515,1075
516,1084
517,1064
518,1092
519,1030
520,1045
521,1048
522,990
523,1006
524,1033
525,1027
526,998
527,1023
528,997
529,1041
530,994
531,1002
532,975
533,928
534,952
535,895
536,919
537,951
538,879
539,874
540,926
541,953
542,876
543,922
544,897
545,884
546,870
547,889
548,863
549,932
550,878
551,859
552,852
553,915
554,866
555,842
556,866
557,848
558,850
559,828
560,864
561,846
562,801
563,811
564,864
565,800
566,807
567,776
568,800
569,802
570,784
571,839
572,789
573,794
574,783
575,768
576,706
577,795
578,797
579,798
580,819
581,765
582,786
583,806
584,738
585,778
586,772
587,761
588,777
589,766
590,707
591,724
592,740
593,693
594,673
595,720
596,731
597,659
598,717
599,688
600,714
601,698
602,693
603,722
604,738
605,773
606,725
607,805
608,717
609,729
610,725
611,694
612,702
613,688
614,714
615,654
616,727
617,664
618,700
619,638
620,682
621,626
622,644
623,701
624,673
625,642
626,685
627,630
628,664
629,689
630,672
631,683
632,648
633,649
634,628
635,652
636,593
637,605
638,672
639,666
640,661
641,633
642,603
643,665
644,583
645,672
646,635
647,628
648,645
649,664
650,685
651,602
652,640
653,634
654,584
655,558
656,567
657,589
658,604
659,622
660,594
661,573
662,550
663,552
664,592
665,569
666,567
667,567
668,557
669,566
670,533
671,549
672,513
673,542
674,557
675,575
676,533
677,536
678,494
679,513
680,574
681,545
682,532
683,538
684,528
685,516
686,529
687,496
688,552
689,539
690,504
691,525
692,524
693,529
694,537
695,571
696,502
697,543
698,555
699,596
700,533
701,529
702,507
703,558
704,536
705,534
706,474
707,520
708,494
709,519
710,496
711,487
712,486
713,530
714,529
715,467
716,452
717,499
718,465
719,542
720,493
721,490
722,512
723,531
724,493
725,504
726,588
727,505
728,474
729,433
730,511
731,487
732,489
733,506
734,492
735,454
736,447
737,418
738,450
739,461
740,506
741,447
742,461
743,464
744,458
745,444
746,480
747,449
748,456
749,458
750,471
751,427
752,451
753,454
754,500
755,434
756,465
757,442
758,453
759,474
760,479
761,428
762,391
763,452
764,462
765,415
766,461
767,441
768,446
769,395
770,404
771,398
772,443
773,419
774,421
775,441
776,426
777,430
778,398
779,415
780,386
781,436
782,440
783,413
784,405
785,430
786,427
787,414
788,440
789,400
790,453
791,433
792,403
793,423
794,397
795,411
796,399
797,408
798,414
799,405
800,411
801,438
802,434
803,387
804,398
805,378
806,370
807,381
808,396
809,405
810,428
811,363
812,403
813,437
814,418
815,416
816,416
817,405
818,444
819,403
820,421
821,404
822,381
823,390
824,374
825,408
826,409
827,408
828,408
829,417
830,373
831,390
832,402
833,419
834,398
835,390
836,353
837,388
838,359
839,359
840,439
841,368
842,378
843,389
844,369
845,339
846,383
847,370
848,371
849,431
850,357
851,355
852,356
853,383
854,350
855,375
856,346
857,388
858,371
859,335
860,344
861,353
862,367
863,392
864,355
865,342
866,363
867,342
868,336
869,336
870,355
871,338
872,343
873,363
874,363
875,343
876,365
877,327
878,346
879,331
880,293
881,332
882,340
883,324
884,297
885,336
886,300
887,305
888,345
889,336
890,335
891,333
892,313
893,280
894,374
895,334
896,331
897,317
898,306
899,346
900,349
901,330
902,334
903,308
904,320
905,305
906,289
907,305
908,274
909,286
910,326
911,300
912,298
913,297
914,303
915,297
916,283
917,309
918,294
919,282
920,299
921,315
922,332
923,312
924,290
925,298
926,292
927,295
928,309
929,301
930,300
931,325
932,283
933,288
934,270
935,276
936,297
937,270
938,288
939,310
940,300
941,277
942,289
943,264
944,282
945,273
946,323
947,318
948,278
949,287
950,292
951,254
952,344
953,298
954,293
955,283
956,284
957,285
958,275
959,295
960,258
961,280
962,284
963,298
964,300
965,268
966,303
967,228
968,268
969,263
970,263
971,270
972,280
973,284
974,253
975,244
976,263
977,292
978,227
979,278
980,285
981,280
982,296
983,277
984,298
985,269
986,266
987,260
988,280
989,234
990,258
991,260
992,257
993,262
994,267
995,257
996,243
997,288
998,261
999,265
1000+,326255
