Depth,Overall
0,60198822
1,10635045
2,6936996
3,5403002
4,4570783
5,4094171
6,3807330
7,3666881
8,3677430
9,3848061
10,4237748
11,4868897
12,5817345
13,7079712
14,8686731
15,10564465
16,12616782
17,14645805
18,16512495
19,18036906
20,19171575
21,19866911
22,20247733
23,20497104
24,20835985
25,21565462
26,22983665
27,25392962
28,29055420
29,34166281
30,40882776
31,49121433
32,58829661
33,69783295
34,81619686
35,93879081
36,105985181
37,117394387
38,127547674
39,135767799
40,141710956
41,145055427
42,145638208
43,143437726
44,138723099
45,131663307
46,122795212
47,112525196
48,101368988
49,89869298
50,78377885
51,67297391
52,56921991
53,47456885
54,38993406
55,31621450
56,25309263
57,20026480
58,15661235
59,12129928
60,9308127
61,7090593
62,5378109
63,4061896
64,3062027
65,2312284
66,1757980
67,1347653
68,1044166
69,825104
70,663967
71,546184
72,463357
73,400508
74,356113
75,320889
76,295956
77,274961
78,261153
79,248254
80,237694
81,228716
82,221206
83,213560
84,206784
85,201441
86,195850
87,190284
88,183421
89,177770
90,171263
91,167181
92,161879
93,156633
94,151754
95,147242
96,143278
97,138757
98,134381
99,130382
100,126236
101,122421
102,118473
103,115670
104,112855
105,109859
106,107095
107,104797
108,101555
109,100349
110,97798
111,95955
112,93416
113,91610
114,89920
115,89595
116,88296
117,86507
118,85589
119,84826
120,82583
121,81382
122,80448
123,79207
124,78310
125,77199
126,76641
127,74298
128,73236
129,71040
130,69685
131,67883
132,66584
133,66019
134,64039
135,62398
136,60415
137,59195
138,57905
139,55596
140,54268
141,52835
142,51247
143,49202
144,47439
145,46371
146,44701
147,43685
148,42745
149,41946
150,40488
151,39745
152,38734
153,38380
154,36936
155,35992
156,35692
157,34700
158,34235
159,33591
160,32976
161,32014
162,31454
163,31068
164,30562
165,30206
166,29651
167,28914
168,28022
169,27416
170,27091
171,26594
172,26513
173,25937
174,25717
175,25554
176,25283
177,24809
178,24243
179,23934
180,23557
181,23196
182,22633
183,22554
184,22180
185,22026
186,21425
187,20929
188,20823
189,20612
190,20283
191,20181
192,19701
