Depth,Overall
0,54202453
1,9013299
2,5654031
3,4259935
4,3541861
5,3057362
6,2730273
7,2475639
8,2284048
9,2132860
10,2017383
11,1909315
12,1835085
13,1782285
14,1740610
15,1712218
16,1686110
17,1681948
18,1687337
19,1698866
20,1715256
21,1756677
22,1811676
23,1894680
24,1998776
25,2136578
26,2332390
27,2578017
28,2889502
29,3290021
30,3757659
31,4321269
32,4981785
33,5710861
34,6490632
35,7332667
36,8187602
37,9024484
38,9812961
39,10533138
40,11119724
41,11580232
42,11895749
43,12052371
44,12058187
45,11940024
46,11726375
47,11440841
48,11127759
49,10809942
50,10536625
51,10344142
52,10252353
53,10311138
54,10504505
55,10893080
56,11442446
57,12186877
58,13146474
59,14306297
60,15653816
61,17218048
62,18995029
63,20963019
64,23156045
65,25548677
66,28186190
67,31045467
68,34088197
69,37334537
70,40793751
71,44445273
72,48238156
73,52148384
74,56094040
75,60070085
76,63989555
77,67806833
78,71461256
79,74860005
80,77913746
81,80570732
82,82774501
83,84440455
84,85537540
85,86032138
86,85912999
87,85207978
88,83824549
89,81926870
90,79457589
91,76513686
92,73141178
93,69416361
94,65409142
95,61177080
96,56804912
97,52394509
98,47990606
99,43623211
100,39439983
101,35405046
102,31585158
103,28005308
104,24678339
105,21622585
106,18828879
107,16296680
108,14039272
109,12028991
110,10269993
111,8716762
112,7376125
113,6229390
114,5236473
115,4387205
116,3666844
117,3067289
118,2561064
119,2137367
120,1786375
121,1491562
122,1252817
123,1056861
124,895973
125,759968
126,653133
127,562868
128,490544
129,430908
130,383508
131,342012
132,309920
133,282217
134,260029
135,238982
136,222276
137,208245
138,196386
139,187282
140,178382
141,169507
142,163013
143,157798
144,151406
145,146416
146,142143
147,138772
148,136178
149,133079
150,130660
151,127525
152,125375
153,123276
154,121469
155,119262
156,118341
157,116748
158,115393
159,113373
160,112251
161,110023
162,108882
163,107018
164,106172
165,105019
166,102956
167,101718
168,100793
169,100136
170,98238
171,97314
172,96112
173,94554
174,93415
175,91896
176,90251
177,89020
178,87312
179,85775
180,84696
181,83125
182,81487
183,79665
184,78869
185,77787
186,76503
187,75261
188,73376
189,72106
190,70240
191,69098
192,68241
193,66934
194,65162
195,64408
196,63591
197,61425
198,61189
199,60254
200,58956
201,57674
202,57507
203,57147
204,56131
205,55721
206,54260
207,53571
208,53355
209,52797
210,51980
211,51815
212,51448
213,50894
214,50513
215,50029
216,49616
217,49304
218,49085
219,48283
220,48289
221,47775
222,47291
223,46274
224,46297
225,45872
226,45432
227,44908
228,45036
229,44661
230,43984
231,43849
232,43752
233,43519
234,42835
235,42761
236,42990
237,42130
238,41715
239,41442
240,40591
241,40618
242,39960
243,40290
244,39892
245,39814
246,39770
247,39273
248,38853
249,38678
250,38450
251,38442
252,37979
253,37884
254,37960
255,37144
256,36504
257,35881
258,35349
259,34974
260,34821
261,33826
262,33481
263,33481
264,32898
265,32941
266,32049
267,31758
268,31163
269,31202
270,30811
271,30264
272,29588
273,29493
274,28924
275,28809
276,28117
277,27340
278,26763
279,26681
280,26188
281,25569
282,25014
283,24913
284,24590
285,24174
286,23667
287,23286
288,22889
289,22887
290,22133
291,21837
292,21450
293,21319
294,21039
295,20607
296,20278
297,20003
298,20121
299,19679
300,19282
301,19206
302,18991
303,18871
304,18688
305,18517
306,18261
307,18286
308,17858
309,17870
310,17478
311,17085
312,17059
313,16693
314,16518
315,16467
316,16274
317,15851
318,15561
319,15599
320,15195
321,15362
322,15248
323,15166
324,15007
325,14873
326,14746
327,14426
328,14580
329,14364
330,14000
331,13956
332,13903
333,13789
334,13699
335,13477
336,13521
337,13379
338,13442
339,13158
340,13111
341,12784
342,12775
343,12806
344,12642
345,12510
346,12316
347,11968
348,12148
349,11954
350,11794
351,11597
352,11633
353,11749
354,11430
355,11500
356,11321
357,11180
358,11203
359,11090
360,11007
361,10833
362,10846
363,10700
364,10532
365,10384
366,10341
367,10465
368,10298
369,10143
370,10207
371,9921
372,9898
373,9852
374,9806
375,9889
376,9764
377,9718
378,9565
379,9586
380,9627
381,9216
382,9258
383,9045
384,9041
385,9116
386,8729
387,8671
388,8686
389,8475
390,8702
391,8591
392,8389
393,8388
394,8353
395,8244
396,8260
397,8255
398,8186
399,8020
400,8134
401,8086
402,7816
403,7973
404,7816
405,7783
406,7603
407,7587
408,7630
409,7596
410,7539
411,7184
412,7462
413,7355
414,7394
415,7245
416,7068
417,7165
418,7146
419,7009
420,7091
421,7093
422,7116
423,7016
424,6883
425,6875
426,6788
427,6753
428,6798
429,6844
430,6600
431,6610
432,6370
433,6415
434,6194
435,6275
436,6331
437,6326
438,6193
439,6193
440,6199
441,6135
442,6202
443,6150
444,5900
445,6088
446,5889
447,5849
448,5745
449,5837
450,5711
451,5664
452,5700
453,5487
454,5536
455,5491
456,5278
457,5314
458,5234
459,5153
460,5030
461,5071
462,4900
463,4832
464,4894
465,4773
466,4643
467,4681
468,4692
469,4584
470,4509
471,4434
472,4385
473,4302
474,4423
475,4341
476,4280
477,4337
478,4305
479,4199
480,4252
481,4271
482,3968
483,4076
484,4083
485,4054
486,4006
487,4064
488,3964
489,3879
490,3934
491,3700
492,3757
493,3641
494,3612
495,3509
496,3500
497,3402
498,3393
499,3474
500,3499
501,3389
502,3349
503,3250
504,3361
505,3230
506,3237
507,3169
508,3209
509,3210
510,3156
511,3258
512,3083
513,3061
514,2943
515,3187
516,3077
517,2972
518,3016
519,2799
520,2877
521,2878
522,2954
523,2774
524,2765
525,2714
526,2737
527,2774
528,2743
529,2791
530,2727
531,2726
532,2689
533,2593
534,2560
535,2542
536,2468
537,2451
538,2430
539,2458
540,2589
541,2439
542,2535
543,2488
544,2357
545,2349
546,2408
547,2348
548,2447
549,2302
550,2252
551,2310
552,2252
553,2227
554,2178
555,2198
556,2134
557,2275
558,2134
559,2262
560,2094
561,2153
562,2206
563,2061
564,2114
565,2126
566,2022
567,2077
568,1988
569,1976
570,1979
571,1934
572,1979
573,2012
574,1954
575,1948
576,1949
577,1958
578,1933
579,1981
580,1858
581,1967
582,1887
583,1893
584,1831
585,1837
586,1840
587,1822
588,1750
589,1813
590,1886
591,1847
592,1810
593,1804
594,1803
595,1775
596,1824
597,1783
598,1799
599,1828
600,1739
601,1773
602,1725
603,1762
604,1669
605,1779
606,1766
607,1705
608,1735
609,1768
610,1729
611,1654
612,1705
613,1695
614,1696
615,1623
616,1599
617,1642
618,1579
619,1708
620,1616
621,1636
622,1708
623,1628
624,1648
625,1619
626,1577
627,1576
628,1591
629,1518
630,1555
631,1536
632,1433
633,1535
634,1506
635,1576
636,1493
637,1543
638,1529
639,1457
640,1504
641,1491
642,1429
643,1482
644,1449
645,1489
646,1397
647,1499
648,1458
649,1410
650,1420
651,1406
652,1402
