TUMOR MAPPING/ALIGNING SUMMARY,,Total input reads,1396013002,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked reads,105197014,7.54
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked and mate reads removed,NA
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique reads (excl. duplicate marked reads),1290815988,92.46
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with mate sequenced,1396013002,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Reads without mate sequenced,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,QC-failed reads,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads,1367211495,97.94
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R1,685263719,98.17
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R2,681947776,97.70
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique & mapped reads (excl. duplicate marked reads),1262014481,90.40
TUMOR MAPPING/ALIGNING SUMMARY,,Unmapped reads,28801507,2.06
TUMOR MAPPING/ALIGNING SUMMARY,,Singleton reads (itself mapped; mate unmapped),3823119,0.27
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads (itself & mate mapped),1363388376,97.66
TUMOR MAPPING/ALIGNING SUMMARY,,Properly paired reads,1335601606,95.67
TUMOR MAPPING/ALIGNING SUMMARY,,Not properly paired reads (discordant),27786770,1.99
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes,21544662,1.58
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes (MAPQ>=10),11535285,0.85
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [40:inf),1275794604,91.39
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [30:40),5057609,0.36
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [20:30),11869925,0.85
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [10:20),15931858,1.14
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [ 0:10),58557499,4.19
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ NA (Unmapped reads),28801507,2.06
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with indel R1,22655550,3.31
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with indel R2,21746428,3.19
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases,209966186449
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases R1,104990767271
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases R2,104975419178
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped bases R1,103092212078
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped bases R2,102581887447
TUMOR MAPPING/ALIGNING SUMMARY,,Soft-clipped bases R1,655074700,0.64
TUMOR MAPPING/ALIGNING SUMMARY,,Soft-clipped bases R2,1786923517,1.73
TUMOR MAPPING/ALIGNING SUMMARY,,Mismatched bases R1,464469576,0.45
TUMOR MAPPING/ALIGNING SUMMARY,,Mismatched bases R2,800552370,0.78
TUMOR MAPPING/ALIGNING SUMMARY,,Mismatched bases R1 (excl. indels),395793194,0.38
TUMOR MAPPING/ALIGNING SUMMARY,,Mismatched bases R2 (excl. indels),735097872,0.72
TUMOR MAPPING/ALIGNING SUMMARY,,Q30 bases,189180729024,90.10
TUMOR MAPPING/ALIGNING SUMMARY,,Q30 bases R1,97410236068,92.78
TUMOR MAPPING/ALIGNING SUMMARY,,Q30 bases R2,91770492956,87.42
TUMOR MAPPING/ALIGNING SUMMARY,,Q30 bases (excl. dups & clipped bases),179092138546
TUMOR MAPPING/ALIGNING SUMMARY,,Total alignments,1404623043
TUMOR MAPPING/ALIGNING SUMMARY,,Secondary alignments,0
TUMOR MAPPING/ALIGNING SUMMARY,,Supplementary (chimeric) alignments,37411548
TUMOR MAPPING/ALIGNING SUMMARY,,Estimated read length,150.40
TUMOR MAPPING/ALIGNING SUMMARY,,Bases in reference genome,3217346917
TUMOR MAPPING/ALIGNING SUMMARY,,Bases in target bed [% of genome],NA
TUMOR MAPPING/ALIGNING SUMMARY,,Average sequenced coverage over genome,65.26
TUMOR MAPPING/ALIGNING SUMMARY,,Insert length: mean,628.00
TUMOR MAPPING/ALIGNING SUMMARY,,Insert length: median,623.00
TUMOR MAPPING/ALIGNING SUMMARY,,Insert length: standard deviation,162.89
TUMOR MAPPING/ALIGNING SUMMARY,,Provided sex chromosome ploidy,NA
TUMOR MAPPING/ALIGNING SUMMARY,,DRAGEN mapping rate [mil. reads/second],0.77
NORMAL MAPPING/ALIGNING SUMMARY,,Total input reads,738182970,100.00
NORMAL MAPPING/ALIGNING SUMMARY,,Number of duplicate marked reads,64019292,8.67
NORMAL MAPPING/ALIGNING SUMMARY,,Number of duplicate marked and mate reads removed,NA
NORMAL MAPPING/ALIGNING SUMMARY,,Number of unique reads (excl. duplicate marked reads),674163678,91.33
NORMAL MAPPING/ALIGNING SUMMARY,,Reads with mate sequenced,738182970,100.00
NORMAL MAPPING/ALIGNING SUMMARY,,Reads without mate sequenced,0,0.00
NORMAL MAPPING/ALIGNING SUMMARY,,QC-failed reads,0,0.00
NORMAL MAPPING/ALIGNING SUMMARY,,Mapped reads,722327483,97.85
NORMAL MAPPING/ALIGNING SUMMARY,,Mapped reads R1,362148772,98.12
NORMAL MAPPING/ALIGNING SUMMARY,,Mapped reads R2,360178711,97.59
NORMAL MAPPING/ALIGNING SUMMARY,,Number of unique & mapped reads (excl. duplicate marked reads),658308191,89.18
NORMAL MAPPING/ALIGNING SUMMARY,,Unmapped reads,15855487,2.15
NORMAL MAPPING/ALIGNING SUMMARY,,Singleton reads (itself mapped; mate unmapped),2242611,0.30
NORMAL MAPPING/ALIGNING SUMMARY,,Paired reads (itself & mate mapped),720084872,97.55
NORMAL MAPPING/ALIGNING SUMMARY,,Properly paired reads,701147256,94.98
NORMAL MAPPING/ALIGNING SUMMARY,,Not properly paired reads (discordant),18937616,2.57
NORMAL MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes,14709222,2.04
NORMAL MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes (MAPQ>=10),8690310,1.21
NORMAL MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [40:inf),673620504,91.25
NORMAL MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [30:40),2725234,0.37
NORMAL MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [20:30),6280776,0.85
NORMAL MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [10:20),8389049,1.14
NORMAL MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [ 0:10),31311920,4.24
NORMAL MAPPING/ALIGNING SUMMARY,,Reads with MAPQ NA (Unmapped reads),15855487,2.15
