Depth,Overall
0,78560520
1,11736989
2,7510444
3,5860846
4,5029868
5,4531313
6,4257418
7,4148080
8,4151191
9,4304228
10,4524929
11,4852633
12,5318446
13,5892297
14,6667463
15,7730238
16,9247724
17,11416304
18,14501086
19,18891897
20,24943801
21,32933843
22,43069039
23,55403559
24,69879286
25,85993208
26,103129324
27,120493713
28,136908429
29,151488291
30,163246874
31,171294667
32,175165572
33,174800984
34,170295816
35,162115036
36,150790517
37,137256786
38,122356682
39,106802648
40,91400698
41,76775693
42,63323273
43,51293014
44,40840886
45,32018554
46,24736922
47,18865112
48,14211477
49,10588176
50,7817818
51,5727401
52,4187028
53,3051590
54,2241641
55,1654924
56,1241269
57,945943
58,738049
59,596691
60,494944
61,424085
62,370479
63,333383
64,304128
65,283260
66,266975
67,252922
68,239716
69,227872
70,218219
71,209795
72,201629
73,193656
74,185905
75,178090
76,171507
77,164915
78,157802
79,150970
80,143868
81,138769
82,134829
83,129842
84,125346
85,121457
86,117505
87,112673
88,109265
89,106476
90,104642
91,101159
92,97834
93,95445
94,92936
95,89940
96,87920
97,85870
98,83541
99,81215
100,79704
101,78417
102,75267
103,73802
104,70769
105,68767
106,66361
107,64276
108,62017
109,59838
110,57924
111,55254
112,53553
113,51921
114,50702
115,49270
116,47973
117,46191
118,45092
119,43910
120,42764
121,41857
122,40363
123,39138
124,38442
125,37058
126,36699
127,35816
128,35132
129,33937
130,33677
131,32741
132,31991
133,31473
134,31456
135,30660
136,30000
137,29312
138,28706
139,28550
140,28288
141,27713
142,27183
143,26511
144,26618
145,26629
146,26069
147,25678
148,25203
149,24998
150,24880
151,24951
152,24007
153,23964
154,23668
155,23632
156,22936
157,22566
158,22392
159,22179
160,21858
161,21731
162,21114
163,20841
164,20820
165,20446
166,19604
167,19528
168,19270
169,18888
170,18173
171,18005
172,17583
173,17347
174,16948
175,16723
176,16355
177,16437
178,15847
179,15486
180,15449
181,14701
182,14127
183,14051
184,13643
185,13003
186,12551
187,12588
188,12331
189,11837
190,11712
191,11279
192,11151
193,10867
194,10659
195,9943
196,9990
197,9579
198,9555
199,9341
200,9020
201,8835
202,8576
203,8436
204,8166
205,8316
206,8065
207,8041
208,7712
209,7771
210,7598
211,7559
212,7559
213,7332
214,7234
215,6996
216,6956
217,6567
218,6543
219,6565
220,6207
221,6115
222,6015
223,6023
224,5958
225,5990
226,5977
227,5804
228,5602
229,5390
230,5526
231,5153
232,5174
233,4940
234,4922
235,4913
236,4783
237,4728
238,4798
239,4812
240,4780
241,4565
242,4355
243,4551
244,4383
245,4268
246,4248
247,4274
248,4169
249,4090
250,4120
251,3864
252,3950
253,3940
254,4022
255,3709
256,3592
257,3568
258,3524
259,3537
260,3489
261,3445
262,3314
263,3297
264,3323
265,3267
266,3250
267,3154
268,3142
269,3146
270,3109
271,3001
272,2983
273,3048
274,3021
275,3005
276,2967
277,3028
278,2945
279,2811
280,2826
281,2769
282,2876
283,2844
284,2724
285,2675
286,2726
287,2633
288,2687
289,2579
290,2681
291,2613
292,2566
293,2454
294,2484
295,2481
296,2531
297,2397
298,2495
299,2295
300,2334
301,2408
302,2326
303,2312
304,2285
305,2131
306,2259
307,2291
308,2279
309,2137
310,2133
311,2176
312,2045
313,1983
314,1957
315,1982
316,1842
317,1854
318,1916
319,1991
320,1912
321,1850
322,1902
323,1878
324,1793
325,1840
326,1901
327,1806
328,1776
329,1747
330,1700
331,1828
332,1732
333,1738
334,1632
335,1738
336,1635
337,1648
338,1544
339,1563
340,1584
341,1528
342,1529
343,1648
344,1555
345,1483
346,1474
347,1445
348,1553
349,1529
350,1491
351,1530
352,1405
353,1425
354,1382
355,1312
356,1317
357,1358
358,1357
359,1273
360,1394
361,1325
362,1310
363,1327
364,1333
365,1297
366,1327
367,1243
368,1308
369,1188
370,1204
371,1313
372,1229
373,1212
374,1216
375,1131
376,1203
377,1165
378,1133
379,1166
380,1130
381,1090
382,1142
383,1108
384,1110
385,1210
386,1063
387,1099
388,1067
389,1103
390,1105
391,1093
392,1090
393,1048
394,1115
395,1024
396,1038
397,1002
398,1034
399,1049
400,1055
401,1015
402,981
403,993
404,922
405,928
406,892
407,896
408,933
409,915
410,923
411,867
412,972
413,895
414,903
415,921
416,925
417,960
418,940
419,949
420,919
421,929
422,959
423,927
424,955
425,1008
426,912
427,898
428,892
429,921
430,916
431,831
432,825
433,842
434,762
435,822
436,822
437,774
438,780
439,807
440,819
441,830
442,858
443,861
444,845
445,830
446,832
447,786
448,791
449,790
450,774
451,741
452,816
453,806
454,756
455,808
456,749
457,791
458,821
459,774
460,765
461,739
462,807
463,802
464,779
465,778
466,813
467,774
468,803
469,730
470,736
471,777
472,758
473,742
474,709
475,706
476,728
477,728
478,758
479,721
480,840
481,781
482,731
483,681
484,717
485,687
486,723
487,708
488,676
489,680
490,699
491,668
492,695
493,712
494,674
495,743
496,693
497,697
498,677
499,717
500,675
501,710
502,637
503,643
504,675
505,717
506,718
507,671
508,682
509,686
510,614
511,640
512,637
513,718
514,703
515,649
516,601
517,619
518,643
519,621
520,630
521,686
522,597
523,648
524,635
525,626
526,629
527,633
528,636
529,598
530,604
531,606
532,622
533,576
534,590
535,588
536,603
537,646
538,581
539,587
540,571
541,610
542,617
543,634
544,636
545,582
546,581
547,591
548,598
549,610
550,608
551,586
552,580
553,562
554,589
555,620
556,573
557,557
558,599
559,575
560,572
561,586
562,611
563,582
564,636
565,603
566,543
567,553
568,563
569,613
570,588
571,580
572,554
573,525
574,545
575,564
576,539
577,532
578,517
579,535
580,525
581,478
582,534
583,531
584,543
585,520
586,538
587,498
588,485
589,466
590,521
591,533
592,527
593,529
594,528
595,506
596,490
597,469
598,473
599,475
600,487
601,497
602,555
603,485
604,508
605,494
606,511
607,460
608,491
609,464
610,509
611,470
612,484
613,484
614,442
615,455
616,499
617,460
618,463
619,453
620,487
621,449
622,443
623,453
624,441
625,456
626,471
627,414
628,461
629,431
630,421
631,442
632,427
633,489
634,454
635,436
636,426
637,448
638,379
639,408
640,424
641,439
642,427
643,440
644,392
645,448
646,402
647,410
648,380
649,416
650,459
651,442
652,468
653,462
654,405
655,397
656,470
657,469
658,446
659,423
660,463
661,412
662,406
663,427
664,394
665,415
666,413
667,453
668,427
669,418
670,413
671,390
672,371
673,408
674,369
675,431
676,387
677,400
678,411
679,388
680,386
681,389
682,379
683,402
684,387
685,363
686,380
687,375
688,388
689,392
690,368
691,377
692,381
693,377
694,400
695,316
696,354
697,352
698,333
699,359
700,329
701,365
702,358
703,374
704,290
705,354
706,342
707,336
708,385
709,357
710,340
711,348
712,373
713,378
714,322
715,363
716,354
717,339
718,314
719,362
720,312
721,330
722,318
723,321
724,329
725,352
726,346
727,311
728,338
729,337
730,331
731,334
732,300
733,306
734,287
735,304
736,319
737,327
738,292
739,272
740,317
741,302
742,283
743,280
744,314
