Depth,Overall
0,71823400
1,10345583
2,6232580
3,4722192
4,3935464
5,3448202
6,3093305
7,2842925
8,2636830
9,2483278
10,2383486
11,2300571
12,2238321
13,2211844
14,2212441
15,2233443
16,2282025
17,2349654
18,2451570
19,2567762
20,2711923
21,2890928
22,3087882
23,3313475
24,3584533
25,3894827
26,4253807
27,4685692
28,5173615
29,5752979
30,6416346
31,7172751
32,8016670
33,8948855
34,9968617
35,11091420
36,12314518
37,13632232
38,15054269
39,16621932
40,18341343
41,20229535
42,22357858
43,24727635
44,27385820
45,30364951
46,33652373
47,37242481
48,41162201
49,45348116
50,49813652
51,54497403
52,59294539
53,64126469
54,68942792
55,73615162
56,78070564
57,82178781
58,85799028
59,88892805
60,91330563
61,93032530
62,94002187
63,94188754
64,93559143
65,92191608
66,90015039
67,87134816
68,83687777
69,79743458
70,75415053
71,70784175
72,65928038
73,60984052
74,56027001
75,51149345
76,46443619
77,41926823
78,37729010
79,33804770
80,30187590
81,26923102
82,23975061
83,21353183
84,19021855
85,16975970
86,15194489
87,13631883
88,12282046
89,11119065
90,10095411
91,9201626
92,8418084
93,7716945
94,7095438
95,6535112
96,6035426
97,5564716
98,5132637
99,4725509
100,4348791
101,3994804
102,3661850
103,3349085
104,3050030
105,2773421
106,2506407
107,2258304
108,2026931
109,1820059
110,1625442
111,1448280
112,1290488
113,1142279
114,1011645
115,890645
116,786633
117,693531
118,611613
119,543134
120,479217
121,426895
122,378634
123,336746
124,303373
125,273559
126,249291
127,228140
128,209224
129,192149
130,177659
131,166421
132,156311
133,147447
134,139636
135,133114
136,127600
137,122378
138,118471
139,114243
140,110600
141,106796
142,103054
143,100144
144,97380
145,94635
146,92137
147,89653
148,88488
149,86167
150,84098
151,81647
152,80781
153,78934
154,76476
155,75070
156,74410
157,71760
158,70841
159,69581
160,68253
161,66700
162,65569
163,64150
164,63249
165,62050
166,61502
167,60861
168,59766
169,59089
170,58124
171,56860
172,56234
173,55967
174,54228
175,53511
176,52745
177,52198
178,51088
179,51039
180,49933
181,49105
182,48815
183,48373
184,46975
185,46728
186,46205
187,45510
188,45218
189,44568
190,43465
191,42818
192,42260
193,41821
194,41475
195,40985
196,40163
197,39485
198,39129
199,38682
200,37587
201,37189
202,36514
203,35949
204,35491
205,34085
206,34077
207,33516
208,32737
209,32148
210,31721
211,31249
212,31136
213,30312
214,30006
215,29314
216,28534
217,28269
218,27540
219,27305
220,26936
221,26272
222,25703
223,25381
224,25039
225,23982
226,23854
227,23159
228,22970
229,22770
230,22016
231,21583
232,21487
233,21244
234,20689
235,20697
236,20112
237,19882
238,19612
239,19340
240,18908
241,18626
242,18787
243,18473
244,18277
245,17702
246,17735
247,17544
248,17412
249,17244
250,17085
251,16820
252,16536
253,16502
254,16224
255,16191
256,16064
257,15978
258,16154
259,16026
260,15703
261,15518
262,15343
263,15138
264,14938
265,15222
266,15328
267,14751
268,14905
269,14789
270,14292
271,14432
272,14357
273,14443
274,14222
275,14276
276,14226
277,14245
278,14402
279,14324
280,14150
281,14271
282,14061
283,14239
284,13700
285,13790
286,13687
287,13333
288,13377
289,13292
290,13332
291,12780
292,12769
293,12393
294,12731
295,12576
296,12422
297,12268
298,12161
299,12033
300,11751
301,11705
302,11725
303,11615
304,11489
305,11751
306,11428
307,11399
308,11363
309,11317
310,11468
311,11295
312,11177
313,11175
314,10935
315,10954
316,10780
317,10638
318,10811
319,10421
320,10367
321,10489
322,10196
323,10359
324,10012
325,9743
326,9597
327,9533
328,9322
329,8939
330,9007
331,8960
332,8834
333,8586
334,8474
335,8038
336,8131
337,8212
338,8192
339,7996
340,7877
341,7673
342,7830
343,7519
344,7315
345,7157
346,7048
347,7011
348,6905
349,6922
350,6577
351,6673
352,6415
353,6382
354,6252
355,6204
356,6147
357,6227
358,6088
359,6071
360,5858
361,5620
362,5659
363,5413
364,5339
365,5470
366,5340
367,5305
368,5082
369,5003
370,4845
371,4887
372,4885
373,4740
374,4749
375,4680
376,4537
377,4481
378,4592
379,4530
380,4446
381,4273
382,4488
383,4459
384,4292
385,4246
386,4242
387,4217
388,4146
389,4030
390,4032
391,3997
392,3980
393,3987
394,3947
395,3712
396,3665
397,3711
398,3593
399,3691
400,3604
401,3536
402,3648
403,3582
404,3644
405,3577
406,3673
407,3685
408,3654
409,3527
410,3483
411,3531
412,3434
413,3407
414,3503
415,3324
416,3485
417,3422
418,3170
419,3266
420,3330
421,3280
422,3107
423,3094
424,3123
425,3106
426,3006
427,2947
428,2854
429,2930
430,2960
431,2909
432,2839
433,2886
