COVERAGE SUMMARY,,Aligned bases,97190567838
COVERAGE SUMMARY,,Aligned bases in genome,97190567838,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,31.96
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,96.14
COVERAGE SUMMARY,,PCT of genome with coverage [100x: inf),0.13
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x: inf),1.57
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: inf),92.72
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: inf),94.77
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: inf),95.71
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: inf),96.81
COVERAGE SUMMARY,,PCT of genome with coverage [  1x: inf),97.45
COVERAGE SUMMARY,,PCT of genome with coverage [  0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x:100x),1.44
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: 50x),91.15
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: 20x),2.05
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: 15x),0.94
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: 10x),1.10
COVERAGE SUMMARY,,PCT of genome with coverage [  1x:  3x),0.64
COVERAGE SUMMARY,,PCT of genome with coverage [  0x:  1x),2.55
COVERAGE SUMMARY,,Average chr X coverage over genome,31.27
COVERAGE SUMMARY,,Average chr Y coverage over genome,1.07
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,4538.70
COVERAGE SUMMARY,,Average autosomal coverage over genome,32.42
COVERAGE SUMMARY,,Median autosomal coverage over genome,33.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.98
COVERAGE SUMMARY,,Aligned reads,634772096
COVERAGE SUMMARY,,Aligned reads in genome,634772096,100.00
