Depth,Overall
0,77606059
1,11644215
2,7724986
3,6069689
4,5188958
5,4695984
6,4414139
7,4309948
8,4360737
9,4522366
10,4777002
11,5127990
12,5564948
13,6134819
14,6887916
15,7898587
16,9370299
17,11512680
18,14608607
19,18995782
20,25040446
21,33033848
22,43158582
23,55491947
24,69861276
25,85854307
26,102821631
27,119921463
28,136090193
29,150363191
30,161685168
31,169480442
32,173121568
33,172596513
34,168035634
35,159847246
36,148741617
37,135532130
38,120977440
39,105909042
40,91015510
41,76807465
42,63797855
43,52206008
44,42124187
45,33529963
46,26381719
47,20528730
48,15855292
49,12151303
50,9263111
51,7027977
52,5338934
53,4051336
54,3085338
55,2365137
56,1824176
57,1419108
58,1118439
59,887686
60,715759
61,586945
62,491415
63,420748
64,364153
65,321681
66,289134
67,263188
68,242546
69,221360
70,208790
71,194948
72,182580
73,172601
74,163599
75,155192
76,146971
77,140146
78,134531
79,128399
80,122134
81,118915
82,114684
83,111383
84,107968
85,103974
86,102063
87,101021
88,99157
89,97927
90,96370
91,94378
92,92461
93,92642
94,91012
95,89189
96,87267
97,84749
98,82919
99,81656
100,79455
101,77354
102,74248
103,71442
104,69939
105,67781
106,66386
107,64391
108,61973
109,60608
110,58423
111,57250
112,55143
113,53016
114,50856
115,49428
116,48024
117,46584
118,45543
119,43924
120,42529
121,41430
122,40731
123,39286
124,39073
125,38507
126,37503
127,36912
128,36086
129,34544
130,34085
131,33091
132,32270
133,32068
134,31375
135,30488
136,29825
137,29165
138,29238
139,28264
140,28171
141,27742
142,27663
143,26690
144,25952
145,25925
146,25270
147,24158
148,24087
149,23584
150,22656
151,22691
152,22461
153,21780
154,21038
155,20514
156,19994
157,19778
158,19585
159,18996
160,18791
161,18546
162,17910
163,17716
164,17542
165,17371
166,16631
167,16248
168,16170
169,15586
170,15281
171,15335
172,15041
173,14539
174,14204
175,14431
176,13908
177,13972
178,13700
179,13321
180,13201
181,13026
182,12691
183,12091
184,12181
185,12030
186,11919
187,11614
188,11563
189,10932
190,10781
191,10734
192,10378
193,10160
194,10156
195,9950
196,9847
197,9714
198,9431
199,9159
200,9043
201,8623
202,8762
203,8221
204,8289
205,7901
206,7743
207,7674
208,7423
209,7224
210,7102
211,6852
212,6843
213,6403
214,6366
215,6423
216,6165
217,5976
218,5950
219,5943
220,5820
221,5503
222,5422
223,5282
224,5210
225,5215
226,5424
227,4927
228,4951
229,4999
230,4920
231,4750
232,4731
233,4609
234,4465
235,4336
236,4436
237,4187
238,4079
239,4024
240,4048
241,3896
242,3819
243,3912
244,3876
245,3707
246,3477
247,3584
248,3451
249,3434
250,3361
251,3416
252,3329
253,3538
254,3240
255,3232
256,3262
257,3183
258,3212
259,3188
260,3056
261,3024
262,2918
263,3062
264,2839
265,2858
266,2836
267,2822
268,2850
269,2694
270,2796
271,2689
272,2519
273,2624
274,2609
275,2602
276,2603
277,2702
278,2591
279,2502
280,2708
281,2513
282,2400
283,2285
284,2413
285,2390
286,2276
287,2334
288,2423
289,2158
290,2148
291,2146
292,2144
293,2103
294,2036
295,2125
296,2121
297,2085
298,2046
299,2039
300,1934
301,1882
302,1830
303,1854
304,1817
305,1826
306,2028
307,1863
308,1683
309,1749
310,1636
311,1675
312,1617
313,1628
314,1656
315,1702
316,1679
317,1681
318,1687
319,1626
320,1720
321,1673
322,1662
323,1572
324,1561
325,1491
326,1576
327,1442
328,1399
329,1358
330,1380
331,1364
332,1353
333,1308
334,1315
335,1335
336,1337
337,1283
338,1289
339,1296
340,1183
341,1237
342,1230
343,1227
344,1254
345,1294
346,1222
347,1242
348,1171
349,1202
350,1236
351,1245
352,1262
353,1233
354,1247
355,1181
356,1172
357,1168
358,1145
359,1132
360,1019
361,1090
362,1129
363,1087
364,1102
365,1081
366,1056
367,1024
368,990
369,978
370,994
371,1004
372,980
373,947
374,1023
375,998
376,1033
377,1024
378,1017
379,965
380,999
381,978
382,949
383,936
384,907
385,911
386,955
387,1023
388,948
389,895
390,901
391,903
392,885
393,913
394,910
395,911
396,875
397,885
398,814
399,828
400,787
401,827
402,866
403,829
404,836
405,894
406,771
407,873
408,851
409,889
410,807
411,847
412,796
413,782
414,766
415,779
416,764
417,835
418,833
419,774
420,788
421,781
422,806
423,755
424,757
425,741
426,696
427,725
428,701
429,730
430,678
431,742
432,711
433,717
434,699
435,723
436,712
437,718
438,704
439,747
440,734
441,686
442,679
443,672
444,705
445,705
446,663
447,637
448,697
449,727
450,705
451,637
452,659
453,646
454,680
455,668
456,627
457,668
458,591
459,561
460,574
461,531
462,586
463,538
464,588
465,574
466,572
467,600
468,588
469,533
470,533
471,564
472,555
473,611
474,568
475,570
476,578
477,608
478,531
479,513
480,618
481,551
482,510
483,534
484,505
485,502
486,510
487,470
488,522
489,512
490,540
491,543
492,546
493,557
494,528
495,443
496,515
497,516
498,452
499,481
500,538
501,499
502,516
503,523
504,490
505,572
506,533
507,539
508,483
509,525
510,500
511,484
512,513
513,493
514,453
515,477
516,483
517,444
518,459
519,477
520,491
521,478
522,501
523,473
524,498
525,459
526,488
527,468
528,445
529,460
530,450
531,477
532,453
533,445
534,471
535,471
536,453
537,487
538,494
539,535
540,456
541,445
542,414
543,443
544,459
545,435
546,487
547,438
548,418
549,417
550,423
551,391
552,442
553,411
554,399
555,416
556,395
557,383
558,400
559,388
560,400
561,388
562,397
563,420
564,424
565,411
566,406
567,401
568,415
569,413
570,395
571,370
572,428
573,361
574,433
575,395
576,419
577,373
578,397
579,422
580,426
581,406
582,407
583,385
584,422
585,399
586,417
587,395
588,391
589,399
590,366
591,422
592,370
593,398
594,374
595,406
596,392
597,407
598,427
599,392
600,403
601,397
602,416
603,391
604,397
605,338
606,357
607,390
608,359
609,390
610,348
611,344
612,356
613,346
614,325
615,359
616,341
617,369
618,337
619,329
620,318
621,319
622,308
623,276
624,307
625,310
626,302
627,340
628,336
629,365
630,330
631,288
632,275
633,331
634,310
635,302
636,284
637,319
638,320
639,298
640,302
641,300
642,270
643,321
644,325
645,302
646,304
647,269
648,258
649,281
650,266
651,269
652,275
653,294
654,279
655,282
656,296
657,267
658,293
659,287
660,291
661,293
662,272
663,280
664,257
665,259
666,336
667,265
668,252
669,326
670,315
671,295
672,286
673,335
674,299
675,326
676,264
677,311
678,291
679,276
680,278
681,271
682,296
683,307
684,323
685,286
686,318
687,286
688,316
689,293
690,279
691,293
692,290
693,276
694,277
695,310
696,293
697,294
698,296
699,304
700,334
701,313
702,266
703,309
704,311
705,253
706,293
707,294
708,278
709,251
710,262
711,280
712,276
713,276
714,250
715,256
716,265
717,247
718,277
719,305
720,253
721,273
722,235
723,239
724,229
725,288
726,265
727,264
728,273
729,245
730,262
731,264
732,223
733,280
734,285
735,281
736,291
737,254
738,281
739,287
740,265
741,256
742,252
743,245
744,251
745,277
746,258
747,276
748,238
749,216
750,284
751,235
752,327
753,238
754,256
755,240
756,262
757,215
758,219
759,242
760,241
761,240
762,214
763,219
764,212
765,227
766,289
767,241
768,227
769,206
770,215
771,261
772,217
773,265
774,227
775,218
776,242
777,195
778,207
779,221
780,228
781,220
782,216
783,238
784,213
785,208
786,210
787,183
788,196
789,208
790,225
791,216
792,243
793,250
794,239
795,211
796,240
797,226
798,203
799,228
800,220
801,220
802,190
803,206
804,235
805,218
806,211
807,233
808,202
809,214
810,212
811,203
812,196
813,238
814,175
815,197
816,214
817,208
818,199
819,231
820,239
821,208
822,227
823,240
824,216
825,191
826,235
827,206
828,196
829,205
830,196
831,218
832,226
833,201
834,209
835,197
836,214
837,229
838,231
839,221
840,222
841,209
842,218
843,218
844,229
845,225
846,252
847,242
848,225
849,235
850,205
851,221
852,207
853,216
854,200
855,220
856,196
857,201
858,222
859,191
860,186
861,263
862,173
863,199
864,230
865,205
866,197
867,192
868,208
869,164
870,172
871,168
872,216
873,175
874,209
875,181
876,185
877,191
878,189
879,186
880,183
881,179
882,195
883,186
884,183
885,176
886,170
887,162
888,173
889,152
890,182
891,197
892,166
893,200
894,197
895,193
896,173
897,170
898,189
899,184
900,182
901,148
902,185
903,187
904,171
905,207
906,169
907,165
908,171
909,178
910,162
911,168
912,173
913,170
914,150
915,153
916,160
917,169
918,154
919,148
920,157
921,172
922,172
923,141
924,172
925,158
926,151
927,172
928,167
929,158
930,159
931,181
932,139
933,170
934,177
935,176
936,165
937,164
938,172
939,167
940,149
941,161
942,154
943,147
944,144
945,151
946,141
947,148
948,147
949,161
950,147
951,136
952,144
953,149
954,144
955,148
956,139
957,178
958,180
959,136
960,138
961,131
962,149
963,151
964,131
965,168
966,146
967,164
968,159
969,159
970,146
971,155
972,157
973,168
974,138
975,153
976,119
977,158
978,154
979,164
980,153
981,146
982,134
983,142
984,138
985,155
986,143
987,149
988,148
989,145
990,137
991,134
992,141
993,134
994,145
995,134
996,139
997,144
998,138
999,118
1000,133
1001,133
1002,140
1003,142
1004,121
1005,145
1006,168
1007,149
1008,137
1009,134
1010,135
1011,131
1012,154
1013,138
1014,127
1015,152
1016,133
1017,138
1018,161
1019,137
1020,148
1021,120
1022,146
1023,133
1024,146
1025,137
1026,132
1027,118
1028,121
1029,137
1030,133
1031,136
1032,157
1033,133
1034,142
1035,150
1036,185
1037,141
1038,125
1039,135
1040,137
1041,123
1042,124
1043,143
1044,125
1045,146
1046,118
1047,142
1048,110
1049,118
1050,123
1051,134
1052,119
1053,135
1054,123
1055,103
1056,122
1057,109
1058,136
1059,131
1060,104
1061,108
1062,131
1063,105
1064,121
1065,130
1066,119
1067,110
1068,96
1069,120
1070,111
1071,113
1072,101
1073,138
1074,113
1075,125
1076,112
1077,122
1078,139
1079,122
1080,136
1081,131
1082,131
1083,141
1084,124
1085,148
1086,112
1087,117
1088,119
1089,126
1090,126
1091,122
1092,122
1093,118
1094,117
1095,117
1096,110
1097,120
1098,97
1099,149
1100,156
1101,152
1102,115
1103,109
1104,115
1105,146
1106,127
1107,134
1108,133
1109,136
1110,95
1111,111
1112,96
1113,122
1114,105
1115,87
1116,130
1117,126
1118,131
1119,118
1120,99
1121,111
1122,130
1123,107
1124,114
1125,147
1126,133
1127,105
1128,120
1129,100
1130,110
1131,104
1132,116
1133,103
1134,95
1135,131
1136,94
1137,116
1138,97
1139,106
1140,113
1141,118
1142,105
1143,103
1144,94
1145,94
1146,108
1147,113
1148,116
1149,110
1150,104
1151,121
1152,104
1153,103
1154,104
1155,121
1156,113
1157,103
1158,110
1159,116
1160,117
1161,112
1162,107
1163,102
1164,103
1165,88
1166,117
1167,101
1168,113
1169,102
1170,92
1171,117
1172,106
1173,104
1174,123
1175,133
1176,115
1177,113
1178,101
1179,115
1180,127
1181,116
1182,111
1183,109
1184,102
1185,97
1186,102
1187,104
1188,105
1189,92
1190,88
1191,88
1192,97
1193,100
1194,111
1195,83
1196,91
1197,93
1198,107
1199,88
1200,111
1201,91
1202,90
1203,95
1204,96
1205,82
1206,98
1207,80
1208,115
1209,92
1210,92
1211,97
1212,112
1213,92
1214,99
1215,98
1216,101
1217,85
1218,97
1219,98
1220,88
1221,107
1222,96
1223,78
1224,87
1225,100
1226,78
1227,83
1228,108
1229,90
1230,105
1231,91
1232,100
1233,92
1234,96
1235,84
1236,86
1237,100
1238,90
1239,91
1240,102
1241,109
1242,108
1243,91
1244,91
1245,98
1246,91
1247,72
1248,93
1249,82
1250,110
1251,92
1252,99
1253,108
1254,112
1255,108
1256,102
1257,109
1258,91
1259,101
1260,101
1261,91
1262,93
1263,90
1264,104
1265,97
1266,95
1267,74
1268,100
1269,97
1270,83
1271,93
1272,93
1273,110
1274,85
1275,86
1276,83
1277,88
1278,102
1279,77
1280,76
1281,92
1282,113
1283,101
1284,91
1285,94
1286,102
1287,103
1288,94
1289,91
1290,93
1291,99
1292,104
1293,116
