Depth,Overall
0,70536551
1,9420545
2,5955951
3,4560964
4,3809371
5,3305625
6,2954710
7,2680464
8,2474033
9,2318063
10,2190139
11,2090230
12,2012846
13,1960554
14,1908254
15,1869145
16,1846346
17,1843186
18,1849094
19,1873710
20,1897861
21,1949548
22,2009895
23,2087851
24,2172990
25,2276284
26,2388639
27,2525350
28,2686058
29,2868691
30,3076896
31,3323067
32,3601237
33,3936617
34,4347445
35,4823940
36,5398951
37,6075208
38,6871042
39,7786824
40,8826043
41,9994367
42,11292611
43,12721574
44,14288367
45,15990556
46,17802844
47,19758047
48,21819326
49,24016099
50,26345183
51,28844419
52,31506580
53,34359834
54,37441296
55,40723267
56,44211975
57,47921352
58,51801524
59,55784896
60,59910949
61,64033674
62,68141462
63,72130304
64,75914888
65,79383646
66,82505646
67,85145445
68,87231002
69,88737679
70,89588871
71,89757193
72,89201707
73,87927790
74,86055601
75,83575585
76,80557133
77,77076185
78,73212028
79,69057423
80,64672521
81,60172579
82,55640730
83,51143061
84,46774205
85,42551616
86,38572814
87,34806680
88,31300543
89,28052979
90,25108429
91,22432472
92,20012783
93,17848446
94,15906041
95,14182786
96,12657119
97,11300425
98,10102048
99,9039337
100,8091372
101,7258767
102,6497752
103,5834735
104,5235009
105,4702592
106,4214905
107,3779271
108,3387732
109,3033765
110,2708663
111,2414127
112,2157779
113,1925177
114,1708379
115,1516670
116,1345540
117,1194725
118,1061078
119,940628
120,835435
121,744172
122,661935
123,592149
124,526998
125,473032
126,423651
127,381318
128,345009
129,312534
130,283986
131,260047
132,241725
133,223627
134,206474
135,194240
136,182184
137,171435
138,161608
139,154948
140,147592
141,140891
142,133633
143,128749
144,124045
145,119751
146,114406
147,109884
148,106737
149,103694
150,99979
151,97477
152,94152
153,91030
154,88250
155,84672
156,82618
157,80592
158,78856
159,75883
160,74154
161,70923
162,69192
163,67595
164,65337
165,63918
166,61602
167,60264
168,57944
169,56892
170,56006
171,54320
172,53366
173,52844
174,51819
175,50613
176,49770
177,48581
178,47694
179,47312
180,46997
181,46481
182,45784
183,45394
184,45156
185,44755
186,44223
187,43975
188,43996
189,44419
190,44332
191,44062
192,44016
193,43597
194,43648
195,43186
196,42894
197,43170
198,43173
199,42755
200,42703
201,42619
202,42198
203,42140
204,42393
205,41571
206,42309
207,41958
208,42084
209,42104
210,41804
211,41102
212,40542
213,40640
214,40437
215,39584
216,39100
217,38549
218,37944
219,37440
220,36807
221,35777
222,35803
223,35212
224,34244
225,33527
226,33331
227,32856
228,32297
229,31994
230,31532
231,30965
232,30334
233,30129
234,29035
235,28241
236,27626
237,26961
238,26857
239,26631
240,26116
241,25331
242,25032
243,24643
244,23996
245,23865
246,23436
247,23045
248,22702
249,22510
250,21985
251,21297
252,21020
253,21001
254,20443
255,20259
256,20148
257,19588
258,19345
259,18773
260,19019
261,18689
262,18338
263,18132
264,17860
265,17695
266,17287
267,17033
268,16990
269,16792
270,16483
271,16265
272,16113
273,16083
274,16255
275,16165
276,16085
277,15858
278,15744
279,15446
280,15168
281,14897
282,15185
283,14975
284,15026
285,14837
286,14689
287,14441
288,14507
289,14375
290,14206
291,14011
292,14066
293,14407
294,14128
295,14099
296,13927
297,14005
298,13871
299,13891
300,13508
301,13544
302,13387
303,13350
304,13162
305,12966
306,12954
307,12554
308,12651
309,12323
310,12182
311,12053
312,12097
313,11606
314,11542
315,11416
316,11553
317,11326
318,11399
319,11376
320,11127
321,11144
322,11135
323,11034
324,10802
325,10678
326,10563
327,10452
328,10321
329,10369
330,10321
331,10239
332,9927
333,9987
334,9804
335,9800
336,9461
337,9494
338,9409
339,9247
340,9276
341,9361
342,9300
343,9205
344,8877
345,8669
346,8693
347,8787
348,8701
349,8792
350,8610
351,8475
352,8339
353,8294
354,8174
355,8107
