COVERAGE SUMMARY,,Aligned bases,227240080236
COVERAGE SUMMARY,,Aligned bases in genome,227240080236,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,74.71
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,96.72
COVERAGE SUMMARY,,PCT of genome with coverage [100x: inf),4.85
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x: inf),88.05
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: inf),96.39
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: inf),96.72
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: inf),97.07
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: inf),97.81
COVERAGE SUMMARY,,PCT of genome with coverage [  1x: inf),98.30
COVERAGE SUMMARY,,PCT of genome with coverage [  0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x:100x),83.20
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: 50x),8.35
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: 20x),0.33
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: 15x),0.35
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: 10x),0.74
COVERAGE SUMMARY,,PCT of genome with coverage [  1x:  3x),0.49
COVERAGE SUMMARY,,PCT of genome with coverage [  0x:  1x),1.70
COVERAGE SUMMARY,,Average chr X coverage over genome,37.96
COVERAGE SUMMARY,,Average chr Y coverage over genome,34.06
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,33748.00
COVERAGE SUMMARY,,Average autosomal coverage over genome,76.90
COVERAGE SUMMARY,,Median autosomal coverage over genome,77.08
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,1.00
COVERAGE SUMMARY,,Aligned reads,1527928610
COVERAGE SUMMARY,,Aligned reads in genome,1527928610,100.00
