Depth,Overall
0,51607661
1,9102236
2,5925156
3,4579669
4,3853999
5,3374119
6,3044339
7,2778037
8,2567217
9,2390307
10,2261828
11,2160358
12,2084829
13,2017893
14,1982971
15,1960386
16,1954730
17,1966249
18,1997394
19,2054190
20,2118913
21,2225631
22,2379458
23,2585378
24,2851847
25,3196901
26,3614121
27,4140505
28,4775384
29,5495835
30,6308787
31,7182285
32,8111538
33,9050933
34,9977443
35,10825309
36,11568896
37,12155433
38,12605693
39,12870970
40,12970500
41,12917685
42,12731961
43,12447740
44,12113546
45,11773925
46,11463587
47,11230134
48,11100660
49,11105205
50,11268080
51,11635327
52,12180575
53,12951542
54,13943220
55,15188727
56,16676594
57,18420904
58,20457337
59,22768602
60,25391382
61,28324560
62,31577032
63,35150396
64,39008973
65,43125215
66,47487652
67,52026564
68,56670503
69,61368384
70,66031700
71,70506837
72,74779176
73,78705516
74,82156482
75,85126035
76,87521329
77,89195173
78,90193123
79,90465343
80,89972264
81,88738818
82,86809148
83,84281471
84,81201274
85,77590027
86,73563807
87,69292121
88,64742889
89,60056551
90,55336909
91,50635289
92,46027731
93,41615390
94,37422515
95,33457840
96,29756710
97,26343542
98,23237618
99,20415857
100,17877495
101,15606827
102,13589685
103,11807795
104,10235173
105,8870149
106,7681969
107,6648807
108,5755817
109,4979922
110,4314100
111,3741565
112,3242634
113,2809357
114,2438825
115,2120294
116,1846273
117,1608633
118,1400299
119,1219638
120,1063895
121,934702
122,822179
123,720411
124,633046
125,560146
126,496635
127,439754
128,393143
129,353278
130,319453
131,289125
132,263032
133,241538
134,223672
135,207543
136,193462
137,182061
138,172709
139,164434
140,156837
141,150429
142,142855
143,137456
144,132843
145,129871
146,126534
147,123680
148,121083
149,117888
150,115455
151,113233
152,112702
153,110526
154,107783
155,106820
156,104646
157,103680
158,102144
159,100272
160,98666
161,96817
162,94466
163,92415
164,90685
165,88608
166,86911
167,84976
168,83418
169,82177
170,80458
171,78832
172,77529
173,75746
174,74160
175,72875
176,70785
177,69953
178,67940
179,67025
180,65851
181,63789
182,62978
183,61945
184,60296
185,58805
186,58262
187,57318
188,56082
189,54908
190,53927
191,53690
192,52636
193,51803
194,51329
195,51147
196,49659
197,49115
198,48538
199,48193
200,47612
201,47183
202,46653
203,46326
204,45269
205,44707
206,44084
207,43767
208,43540
209,43230
210,42737
211,42586
212,41831
213,41275
214,41836
215,41550
216,40868
217,40390
218,40286
219,39755
220,39611
221,39262
222,38919
223,38617
224,37842
225,37916
226,37546
227,37592
228,37917
229,37260
230,37535
231,37488
232,37196
233,37178
234,36928
235,36680
236,36751
237,35993
238,35895
239,35219
240,34917
241,34581
242,34265
243,33039
244,33456
245,32929
246,32201
247,31582
248,31656
249,31120
250,30423
251,30180
252,30069
253,29383
254,29233
255,28392
256,28115
257,27361
258,27210
259,26705
260,26425
261,25836
262,25871
263,25461
264,24854
265,24915
266,24248
267,24262
268,23762
269,23532
270,23345
271,23100
272,22814
273,22300
274,21734
275,21525
276,21417
277,20660
278,20987
279,20495
280,20413
281,20248
282,20088
283,19393
284,19366
285,19353
286,19346
287,18849
288,18471
289,18907
290,18563
291,18529
292,18162
293,17783
294,17923
295,17820
296,17534
297,17305
298,17351
299,17586
300,17181
301,17270
302,16862
303,17027
304,16793
305,16672
306,16657
307,16654
308,16502
309,16468
310,16107
311,16061
312,15910
313,15722
314,15569
315,15416
316,15315
317,15317
318,14890
319,14740
320,14421
321,14419
322,14214
323,13986
324,13944
325,13789
326,13714
327,13704
328,13611
329,13550
330,13578
331,13417
332,13235
333,13130
334,13041
335,12784
336,12434
337,12657
338,12359
339,12092
340,12069
341,11661
342,11441
343,11158
344,11089
345,11027
346,11061
347,10601
348,10461
349,10613
350,10346
351,10210
352,10210
353,9973
354,9875
355,9833
356,9891
357,9903
358,9724
359,9528
360,9513
361,9393
362,9287
363,9227
364,9109
365,9099
366,9144
367,8823
368,9026
369,8945
370,8859
371,8635
372,8552
373,8539
374,8336
375,8293
376,8404
377,8368
378,8346
379,8252
380,8119
381,8291
382,8038
