Depth,Overall
0,56156185
1,10510674
2,7225303
3,5769314
4,4968760
5,4430184
6,4113474
7,3917144
8,3865030
9,3963547
10,4210276
11,4656264
12,5352192
13,6313764
14,7593571
15,9132428
16,10935985
17,12837827
18,14721810
19,16442150
20,17882661
21,18955713
22,19646990
23,19978000
24,20173654
25,20340888
26,20760800
27,21657801
28,23276276
29,25905954
30,29646574
31,34679407
32,41061483
33,48782179
34,57718406
35,67614478
36,78314809
37,89363859
38,100327671
39,110713868
40,120029784
41,127809484
42,133729888
43,137489186
44,138879724
45,137814846
46,134425541
47,128983965
48,121667706
49,112924877
50,103101253
51,92652359
52,82020489
53,71502525
54,61423987
55,51975413
56,43401891
57,35717492
58,29027855
59,23290481
60,18443678
61,14441998
62,11196763
63,8576273
64,6519655
65,4918070
66,3692232
67,2757890
68,2071670
69,1554360
70,1180501
71,908252
72,710819
73,568870
74,469501
75,397820
76,344217
77,307263
78,279156
79,257757
80,243118
81,230010
82,219137
83,207880
84,201762
85,194549
86,187420
87,181876
88,176893
89,171417
90,168213
91,162008
92,156309
93,151262
94,145852
95,140845
96,137152
97,131008
98,127235
99,122295
100,117416
101,114019
102,109782
103,104971
104,101325
105,98264
106,94953
107,91734
108,88586
109,85874
110,83631
111,80847
112,79331
113,77636
114,75576
115,74924
116,73457
117,71817
118,71244
119,69431
120,69323
121,67904
122,67284
123,65812
124,65849
125,64882
126,64175
127,63963
128,63011
129,62110
130,61184
131,60050
132,59929
133,58678
134,57955
135,56479
136,56075
137,55896
138,54185
139,53265
140,51726
141,50634
142,49768
143,48450
144,46878
145,46016
146,45749
147,44041
148,43221
149,41449
150,41199
151,40567
152,39311
153,38335
154,37431
155,36888
156,35890
157,35061
158,34798
159,34017
160,33676
161,32963
162,32392
163,31838
164,31844
165,31227
166,30590
167,30016
168,29686
169,28803
170,28455
171,27863
172,27987
173,27515
174,26832
175,26503
176,26090
177,25670
178,24965
179,24734
180,24667
181,23844
182,23748
183,23453
184,22961
185,22679
186,22168
187,21711
188,21387
189,20803
190,20413
191,20154
192,19715
193,19275
194,19078
195,18744
196,18424
197,17868
198,17550
199,17358
200,17127
201,16623
202,16218
203,15921
204,15899
205,15605
206,14853
207,14857
208,14714
209,14679
210,14157
211,14201
212,14007
213,13547
214,13428
215,13517
216,13424
217,13167
218,13052
219,12739
220,12506
221,12287
222,12261
223,11916
224,12040
225,12090
226,11991
227,11970
228,11703
229,11473
230,11359
231,11249
232,11048
233,10929
234,10932
235,10651
236,10498
237,10332
238,10078
239,9973
240,10069
241,9585
242,9374
243,9320
244,9025
245,9050
246,8944
247,8948
248,8607
249,8592
250,8488
251,8114
252,8024
253,8051
254,7845
255,7843
256,7759
257,7156
258,7419
259,7428
260,7336
261,7032
262,6997
263,6702
264,6919
265,6596
266,6544
267,6422
268,6285
269,6210
270,6113
271,5897
272,5920
273,5678
274,5540
275,5640
276,5290
277,5328
278,5181
279,5113
280,5145
281,5050
282,4941
283,4678
284,4843
285,4787
286,4755
287,4874
288,4620
289,4620
290,4409
291,4339
292,4386
293,4223
294,4504
295,4355
296,4051
297,4042
298,4044
299,4025
300,3890
301,3749
302,3821
303,3831
304,3839
305,3747
306,3726
307,3745
308,3680
309,3600
310,3633
311,3697
312,3578
313,3617
314,3513
315,3568
316,3432
317,3436
318,3292
319,3376
320,3388
321,3375
322,3192
323,3420
324,3222
325,3343
326,3271
327,3120
328,3104
329,3192
330,2990
331,2992
332,3088
333,3075
334,3080
335,2958
336,2942
337,2985
338,2958
339,2939
340,2858
341,2831
342,2752
343,2750
344,2726
345,2578
346,2651
347,2685
348,2579
349,2682
350,2586
351,2520
352,2630
353,2524
354,2469
355,2486
356,2457
357,2386
358,2460
359,2403
360,2469
361,2422
362,2414
363,2372
364,2358
365,2191
366,2275
367,2259
368,2198
369,2264
370,2148
371,2183
372,2146
373,2052
374,2088
375,2015
376,1960
377,1929
378,2024
379,2076
380,1996
381,2094
382,1872
383,1965
384,2045
385,1972
386,1876
387,1981
388,1939
389,1893
390,1868
391,1829
392,1789
393,1785
394,1761
395,1797
396,1688
397,1698
398,1696
399,1724
400,1752
401,1621
402,1624
403,1633
404,1649
405,1528
406,1629
407,1538
408,1572
409,1545
410,1562
411,1489
412,1484
413,1438
414,1426
415,1437
416,1461
417,1470
418,1443
419,1526
420,1449
421,1470
422,1456
423,1397
424,1333
425,1359
426,1405
427,1359
428,1420
429,1317
430,1462
431,1340
432,1330
433,1344
434,1385
435,1346
436,1330
437,1320
438,1297
439,1336
440,1348
441,1235
442,1261
443,1333
444,1233
445,1276
446,1215
447,1216
448,1172
449,1170
450,1152
451,1130
452,1140
453,1293
454,1202
455,1181
456,1179
457,1224
458,1297
459,1222
460,1248
461,1223
462,1240
463,1156
464,1149
465,1208
466,1249
467,1216
468,1239
469,1159
470,1155
471,1118
472,1070
473,1152
474,1107
475,1113
476,1127
477,1105
478,1122
479,1101
480,1125
481,1026
482,1051
483,1013
484,915
485,1045
486,1013
487,973
488,1056
489,1026
490,1020
491,1021
492,1035
493,1025
494,1050
495,994
496,1016
497,1033
498,1032
499,986
500,976
501,987
502,961
503,886
504,913
505,986
506,921
507,929
508,1001
509,971
510,903
511,912
512,871
513,842
514,868
515,873
516,875
517,880
518,791
519,799
520,834
521,784
522,776
523,761
524,814
525,845
526,823
527,867
528,832
529,767
530,832
531,838
532,816
533,733
534,751
535,809
536,780
537,723
538,705
539,724
540,721
541,767
542,725
543,686
544,734
545,729
546,729
547,792
548,767
549,740
550,705
551,773
552,746
553,680
554,672
555,656
556,610
557,671
558,664
559,645
560,629
561,616
562,642
563,661
564,630
565,635
566,606
567,675
568,632
569,604
570,610
571,644
572,614
573,682
574,604
575,636
576,624
577,660
578,619
579,599
580,621
581,616
582,634
583,613
584,640
585,570
586,603
587,539
588,565
589,589
590,534
591,531
592,513
593,547
594,533
595,572
596,578
597,538
598,558
599,572
600,622
601,547
602,549
603,574
604,517
605,540
606,556
607,566
608,539
609,563
610,536
611,534
612,567
613,532
614,536
615,525
616,558
617,537
618,553
619,498
620,469
621,526
622,440
623,482
624,470
625,492
626,471
627,476
628,478
629,473
630,449
631,491
632,469
633,458
634,497
635,539
636,467
637,474
638,459
639,514
640,466
641,501
642,470
643,490
644,441
645,457
646,443
647,411
648,442
649,452
650,392
651,419
652,403
653,392
654,380
655,397
656,380
657,396
658,391
659,391
660,409
661,422
662,384
663,405
664,445
665,374
666,393
667,447
668,432
669,428
670,406
671,428
672,397
673,436
674,389
675,382
676,394
677,381
678,402
679,393
680,354
681,369
682,417
683,395
684,374
685,410
686,362
687,423
688,402
689,416
690,426
691,385
692,402
693,380
694,384
695,400
696,391
697,427
698,393
699,413
700,379
701,377
702,370
703,392
704,334
705,419
706,385
707,330
708,376
709,339
710,348
711,360
712,337
713,365
714,334
715,358
716,325
717,350
718,342
719,360
720,371
721,319
722,359
723,347
724,369
725,371
726,364
727,362
728,351
729,317
730,344
731,341
732,314
733,321
734,320
735,310
736,319
737,332
738,365
739,320
740,337
741,293
742,351
743,304
744,330
745,329
746,323
747,328
748,313
749,338
750,334
751,351
752,307
753,326
754,301
755,319
756,307
757,310
758,372
759,307
760,336
761,318
762,311
763,320
764,341
765,281
766,292
767,286
768,291
769,288
770,286
771,292
772,312
773,322
774,310
775,297
776,286
777,309
778,278
779,328
780,329
781,294
782,320
783,300
784,310
785,321
786,296
787,281
788,281
789,308
790,294
791,259
792,303
793,289
794,306
795,343
796,308
797,324
798,310
799,330
800,323
801,346
802,289
803,325
804,318
805,310
806,284
807,302
808,317
809,299
810,326
811,309
812,303
813,306
814,308
815,322
816,328
817,287
818,291
819,295
820,292
821,263
822,277
823,285
824,284
825,281
826,272
827,265
828,249
829,255
830,258
831,282
832,241
833,301
834,259
835,250
836,247
837,239
838,263
839,283
840,259
841,278
842,250
843,295
844,291
845,297
846,312
847,275
848,228
849,284
850,305
851,287
852,279
853,234
854,252
855,239
856,244
857,276
858,255
859,256
860,263
861,237
862,254
863,269
864,245
865,270
866,216
867,238
868,279
869,279
870,265
871,281
872,256
873,214
874,235
875,261
876,258
877,261
878,226
879,267
880,277
881,240
882,259
883,253
884,261
885,220
886,237
887,207
888,235
889,232
890,217
891,242
892,262
893,243
894,240
895,242
896,228
897,236
898,268
899,229
900,240
901,255
902,235
903,234
904,226
905,238
906,203
907,246
908,218
909,272
910,217
911,231
912,234
913,238
914,263
915,256
916,236
917,194
918,227
919,223
920,250
921,247
922,237
923,215
924,236
925,246
926,247
927,240
928,227
929,247
930,240
931,212
932,208
933,243
934,235
935,236
936,225
937,219
938,245
939,237
940,245
941,231
942,261
943,244
944,216
945,210
946,242
947,258
948,231
949,290
950,218
951,238
952,239
953,248
954,225
955,227
956,241
957,231
958,226
959,216
960,203
961,205
962,215
963,219
964,217
965,214
966,233
967,207
968,234
969,236
970,215
971,184
972,198
973,228
974,230
975,189
976,197
977,199
978,162
979,181
980,200
981,207
982,198
983,191
984,201
985,188
986,177
987,175
988,187
989,182
990,192
991,181
992,183
993,189
994,196
995,187
996,178
997,186
998,189
999,179
1000,211
1001,169
1002,190
1003,207
1004,223
1005,208
1006,215
1007,232
1008,188
1009,174
1010,204
1011,194
1012,194
1013,210
1014,215
1015,170
1016,207
1017,211
1018,186
1019,205
1020,193
1021,195
1022,185
1023,184
1024,193
1025,195
1026,198
1027,211
1028,206
1029,178
1030,211
1031,175
1032,199
1033,208
1034,205
1035,198
1036,199
1037,228
1038,201
1039,211
1040,202
1041,181
1042,191
1043,180
1044,185
1045,163
1046,182
1047,182
1048,193
1049,183
1050,158
1051,165
1052,156
1053,192
1054,172
1055,164
1056,142
1057,174
1058,170
1059,156
1060,206
1061,181
1062,182
1063,176
1064,180
1065,165
1066,165
1067,158
1068,154
1069,151
1070,189
1071,161
1072,180
1073,158
1074,172
1075,160
1076,187
1077,149
1078,162
1079,133
1080,153
1081,148
1082,145
1083,172
1084,147
1085,148
1086,142
1087,149
1088,139
1089,153
1090,152
1091,150
1092,158
1093,165
1094,157
1095,162
1096,184
1097,196
1098,189
1099,164
1100,188
1101,184
1102,187
1103,173
1104,167
1105,142
1106,147
1107,163
1108,158
1109,187
1110,164
1111,163
1112,164
1113,150
1114,144
1115,172
1116,157
1117,160
1118,154
1119,151
1120,161
1121,164
1122,146
1123,124
1124,186
1125,169
1126,169
1127,147
1128,164
1129,145
1130,145
1131,129
1132,156
1133,137
1134,146
1135,152
1136,128
1137,148
1138,118
1139,134
1140,144
1141,122
1142,122
1143,157
1144,128
1145,126
1146,128
1147,125
1148,139
1149,132
1150,118
1151,131
1152,150
1153,142
1154,118
1155,115
1156,121
1157,121
1158,131
1159,131
1160,135
1161,142
1162,122
1163,140
1164,132
1165,166
1166,136
1167,137
1168,126
1169,123
1170,149
1171,166
1172,139
1173,141
1174,127
1175,126
1176,127
1177,126
1178,161
1179,135
1180,146
1181,129
1182,140
1183,131
1184,132
1185,131
1186,136
1187,134
1188,139
1189,129
1190,133
1191,134
1192,118
1193,162
1194,125
1195,144
1196,143
1197,137
1198,140
1199,145
1200,117
1201,149
1202,123
1203,130
1204,149
1205,159
1206,134
1207,137
1208,125
1209,127
1210,128
1211,123
1212,126
1213,138
1214,131
1215,176
1216,125
1217,125
1218,149
1219,123
1220,109
1221,133
1222,122
1223,132
1224,132
1225,146
1226,140
1227,130
1228,132
1229,125
1230,126
1231,144
1232,123
1233,134
1234,132
1235,145
1236,130
1237,118
1238,128
1239,138
1240,125
1241,133
1242,129
1243,151
1244,140
1245,137
1246,119
1247,90
1248,110
1249,129
1250,133
1251,138
1252,122
1253,123
1254,133
1255,132
1256,132
1257,119
1258,119
1259,130
1260,143
1261,133
1262,112
1263,133
1264,100
1265,121
1266,135
1267,133
1268,117
