TUMOR MAPPING/ALIGNING SUMMARY,,Total input reads,1770304688,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked reads,190503193,10.76
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked and mate reads removed,NA
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique reads (excl. duplicate marked reads),1579801495,89.24
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with mate sequenced,1770304688,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Reads without mate sequenced,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,QC-failed reads,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads,1763755966,99.63
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads adjusted for filtered mapping,1763755966,99.63
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R1,884863087,99.97
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R2,878892879,99.29
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique & mapped reads (excl. duplicate marked reads),1573252773,88.87
TUMOR MAPPING/ALIGNING SUMMARY,,Unmapped reads,6548722,0.37
TUMOR MAPPING/ALIGNING SUMMARY,,Unmapped reads adjusted for filtered mapping,6548722,0.37
TUMOR MAPPING/ALIGNING SUMMARY,,Adjustment of reads matching non-reference decoys,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,Singleton reads (itself mapped; mate unmapped),6287128,0.36
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads (itself & mate mapped),1757468838,99.27
TUMOR MAPPING/ALIGNING SUMMARY,,Properly paired reads,1718221906,97.06
TUMOR MAPPING/ALIGNING SUMMARY,,Not properly paired reads (discordant),39246932,2.22
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes,26745942,1.52
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes (MAPQ>=10),11510922,0.65
