Depth,Overall
0,51147861
1,8791794
2,5877513
3,4606263
4,3926331
5,3445156
6,3111113
7,2856750
8,2640216
9,2479834
10,2347342
11,2239069
12,2160424
13,2109147
14,2077624
15,2058248
16,2055190
17,2079164
18,2121881
19,2179211
20,2254945
21,2368378
22,2534739
23,2752372
24,3029344
25,3387398
26,3824761
27,4364832
28,5011924
29,5748581
30,6572599
31,7453539
32,8391761
33,9330498
34,10235365
35,11058488
36,11775624
37,12341441
38,12753234
39,12980993
40,13046382
41,12956050
42,12739098
43,12411242
44,12047979
45,11697612
46,11374880
47,11132243
48,11001268
49,11005874
50,11176858
51,11563510
52,12133252
53,12931180
54,13957783
55,15235794
56,16756721
57,18545454
58,20616419
59,22983268
60,25652194
61,28647648
62,31957011
63,35586915
64,39504302
65,43691134
66,48103836
67,52697739
68,57387413
69,62135174
70,66836239
71,71341390
72,75622383
73,79565711
74,82997020
75,85939542
76,88289267
77,89899888
78,90838999
79,91011782
80,90433772
81,89094771
82,87065659
83,84413345
84,81223057
85,77494907
86,73373497
87,68989651
88,64352325
89,59584557
90,54781612
91,50009682
92,45348124
93,40893680
94,36659155
95,32676921
96,28971914
97,25551395
98,22460369
99,19651615
100,17137518
101,14897192
102,12916966
103,11167950
104,9637859
105,8313429
106,7161891
107,6166597
108,5316982
109,4576803
110,3946595
111,3406515
112,2938281
113,2535316
114,2191685
115,1898411
116,1644948
117,1430611
118,1240990
119,1075842
120,937547
121,819104
122,719175
123,627286
124,551243
125,486197
126,428713
127,380206
128,339744
129,306186
130,277808
131,251996
132,228634
133,210267
134,194545
135,181747
136,170415
137,162126
138,153487
139,145416
140,138434
141,134847
142,130347
143,126104
144,122926
145,120961
146,118207
147,114337
148,112559
149,110557
150,108271
151,106251
152,104943
153,104300
154,103373
155,101486
156,99674
157,98175
158,96408
159,94652
160,92372
161,91078
162,89444
163,86581
164,85035
165,82389
166,82144
167,80250
168,78821
169,76299
170,74529
171,72681
172,70958
173,69648
174,68300
175,66329
176,65119
177,64322
178,63073
179,61750
180,61173
181,59152
182,58003
183,56751
184,54823
185,53597
186,52477
187,51429
188,51066
189,49915
190,49198
191,48738
192,47846
193,47141
194,46410
195,45407
196,45206
197,44147
198,43944
199,43771
200,43201
201,42766
202,42342
203,41752
204,41647
205,41422
206,41312
207,40172
208,39971
209,39945
210,39286
211,39000
212,38212
213,38491
214,38192
215,37972
216,37828
217,37431
218,37545
219,36966
220,36895
221,36963
222,36607
223,35820
224,35366
225,35903
226,35559
227,35927
228,35775
229,35649
230,35814
231,35387
232,35377
233,34925
234,34857
235,33985
236,33996
237,33550
238,32711
239,32630
240,32477
241,31842
242,31101
243,31056
244,30431
245,30439
246,29580
247,29383
248,29308
249,28575
250,28408
251,28094
252,27821
253,26837
254,26855
255,26333
256,26022
257,25088
258,25383
259,24779
260,24315
261,24193
262,23813
263,23444
264,23151
265,23094
266,22742
267,22454
268,22198
269,21575
270,21535
271,21113
272,20744
273,20395
274,20297
275,19907
276,19540
277,19349
278,19069
279,18929
280,18580
281,18164
282,18281
283,18122
284,18308
285,18299
286,17923
287,18034
288,17936
289,17646
290,17415
291,17015
292,16907
293,16717
294,16472
295,16286
296,16101
297,16157
298,15745
299,15670
300,15774
301,15714
302,15471
303,15271
304,15062
305,15102
306,14854
307,14772
308,14692
309,14514
310,14756
311,14517
312,14185
313,14092
314,14061
315,13944
316,13898
317,13705
318,13497
319,13179
320,12852
321,12818
322,12772
323,12632
324,12688
325,12615
326,12561
327,12518
328,12444
329,12248
330,11924
331,11856
332,11769
333,11555
334,11337
335,11267
336,11010
337,10963
338,10861
339,10743
340,10422
341,10242
342,9980
343,9933
344,9741
345,9481
346,9306
347,9231
348,9543
349,9343
350,9245
351,9040
352,9096
353,9140
354,8859
355,8761
356,8717
357,8748
358,8782
359,8426
360,8495
361,8652
362,8293
363,8314
364,8296
365,8091
366,8099
367,8074
368,8059
369,7946
370,7950
371,7787
372,7827
373,7899
374,7665
375,7792
376,7463
377,7486
378,7407
379,7381
380,7305
381,7410
382,7410
383,7258
384,7194
385,7007
386,6945
387,7096
388,7090
389,7164
390,7004
391,7052
392,7165
393,6981
394,7026
395,6958
396,7025
397,6959
398,6904
399,6889
400,6892
401,6820
402,6921
403,6606
404,6607
405,6674
406,6434
407,6537
408,6623
409,6318
410,6169
411,6170
412,6175
413,6110
414,6119
415,6132
416,6081
417,6018
418,5813
419,5845
420,5604
421,5669
422,5656
423,5528
424,5563
425,5373
426,5303
427,5130
428,5215
429,5122
430,5069
431,4948
432,5001
433,5046
434,4741
435,4729
436,4823
437,4605
438,4658
439,4620
440,4468
441,4360
442,4377
443,4410
444,4198
445,4170
446,4347
447,4173
448,4056
449,4159
450,4084
451,3965
452,3959
453,3865
454,3730
455,3759
456,3759
457,3758
458,3726
459,3569
460,3636
461,3584
462,3595
463,3575
464,3538
465,3490
466,3358
467,3541
468,3525
469,3405
470,3434
471,3265
472,3251
473,3139
474,3204
475,3065
476,2943
477,3007
478,2954
479,3031
480,3056
481,3075
482,2923
483,2866
484,2894
485,2932
486,2776
487,2908
488,2872
489,2752
490,2647
491,2736
492,2641
493,2695
494,2724
495,2646
496,2662
497,2565
498,2669
499,2632
500,2602
501,2569
502,2734
503,2576
504,2612
505,2726
506,2495
507,2559
508,2531
509,2397
510,2362
511,2431
512,2415
513,2312
514,2390
515,2319
516,2370
517,2273
518,2404
519,2327
520,2294
521,2257
522,2305
523,2282
524,2304
525,2165
526,2099
527,2128
528,2133
529,2196
530,2234
531,2101
532,2131
533,2086
534,2117
535,2147
536,2064
537,2090
538,2018
539,2063
540,2008
541,1958
542,1983
543,2043
544,2056
545,1985
546,2012
547,1952
548,1964
549,1911
550,2011
551,1911
552,1895
553,1995
554,1966
555,1939
556,1904
557,1878
558,1833
559,1823
