COVERAGE SUMMARY,,Aligned bases,243419363569
COVERAGE SUMMARY,,Aligned bases in genome,243419363569,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,80.02
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,96.65
COVERAGE SUMMARY,,PCT of genome with coverage [100x: inf),10.53
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x: inf),89.63
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: inf),96.48
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: inf),96.76
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: inf),97.06
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: inf),97.74
COVERAGE SUMMARY,,PCT of genome with coverage [  1x: inf),98.22
COVERAGE SUMMARY,,PCT of genome with coverage [  0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x:100x),79.10
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: 50x),6.85
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: 20x),0.28
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: 15x),0.31
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: 10x),0.67
COVERAGE SUMMARY,,PCT of genome with coverage [  1x:  3x),0.48
COVERAGE SUMMARY,,PCT of genome with coverage [  0x:  1x),1.78
COVERAGE SUMMARY,,Average chr X coverage over genome,41.39
COVERAGE SUMMARY,,Average chr Y coverage over genome,38.04
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,24974.82
COVERAGE SUMMARY,,Average autosomal coverage over genome,82.41
COVERAGE SUMMARY,,Median autosomal coverage over genome,83.92
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.98
COVERAGE SUMMARY,,Aligned reads,1635070098
COVERAGE SUMMARY,,Aligned reads in genome,1635070098,100.00
