Depth,Overall
0,59393642
1,10547821
2,7036128
3,5527755
4,4704139
5,4223061
6,3959108
7,3830687
8,3862265
9,4040870
10,4466931
11,5125439
12,6110165
13,7405369
14,9046512
15,10941372
16,12987972
17,15026360
18,16846511
19,18343350
20,19416720
21,20070979
22,20397938
23,20594785
24,20892107
25,21601873
26,23040857
27,25484700
28,29208694
29,34410193
30,41235262
31,49601166
32,59426666
33,70508194
34,82478647
35,94848564
36,107016119
37,118471920
38,128633257
39,136815265
40,142670391
41,145864200
42,146274822
43,143879489
44,138945931
45,131657086
46,122568777
47,112105254
48,100748099
49,89106160
50,77473676
51,66314102
52,55871366
53,46392748
54,37949560
55,30611980
56,24350578
57,19141326
58,14849937
59,11410513
60,8669857
61,6533766
62,4898414
63,3649908
64,2717901
65,2024625
66,1514898
67,1151283
68,883293
69,694464
70,557832
71,461584
72,391760
73,343212
74,307848
75,282917
76,264668
77,249156
78,237304
79,227963
80,220547
81,213845
82,206713
83,201391
84,196125
85,189439
86,185480
87,180556
88,175365
89,169900
90,163850
91,158270
92,153174
93,149319
94,144942
95,140425
96,135430
97,131228
98,127567
99,122891
100,119287
101,115152
102,112992
103,109457
104,106951
105,104029
106,100914
107,99025
108,97261
109,95244
110,92542
111,90756
112,89511
113,87548
114,85777
115,84447
116,84140
117,82704
118,81456
119,79242
120,78313
121,76467
122,76150
123,75458
124,73786
125,72713
126,71020
127,69421
128,68467
129,66513
130,64774
131,63014
132,62121
133,60474
134,58194
135,56973
136,55534
137,53368
138,51796
139,50878
140,49235
141,48235
142,46686
143,45212
144,43536
145,41939
146,40533
147,39922
148,38771
149,37807
150,36703
151,35700
152,34708
153,33766
154,33472
155,32806
156,32304
157,31283
158,30487
159,29896
160,29708
161,29286
162,28925
163,28200
164,27889
165,26659
166,26334
167,25458
168,25587
169,25099
170,24778
171,24857
172,24390
173,23562
174,23119
175,22646
176,22512
177,22266
178,21668
179,21817
180,21149
181,20883
182,20437
183,20384
184,20260
185,19957
186,19464
187,19175
188,18739
189,18297
190,18498
191,18101
192,17626
193,17443
194,17213
195,16611
196,16543
197,16426
198,16039
199,15910
200,15702
201,15408
202,14928
203,14548
204,14158
205,13957
206,13790
207,13673
208,13457
209,13121
210,12914
211,12533
212,12227
213,12193
214,12025
215,11905
216,11469
217,11247
218,11176
219,10960
220,10764
221,10557
222,10407
223,10287
224,10308
225,9873
226,9820
227,9656
228,9554
229,9314
230,9309
231,9074
232,8713
233,8468
234,8297
235,8192
236,7938
237,8009
238,7544
239,7348
240,7324
241,7111
242,6868
243,7046
244,6719
245,6602
246,6656
247,6400
248,6461
249,6289
250,6292
251,6074
252,6010
253,5949
254,5824
255,5626
256,5649
257,5481
258,5518
259,5263
260,5338
261,5255
262,5185
263,4924
264,4967
265,4695
266,4663
267,4625
268,4541
269,4604
270,4503
271,4421
272,4538
273,4361
274,4168
275,3937
276,4132
277,4080
278,3915
279,3799
280,3779
281,3720
282,3596
283,3630
284,3689
285,3592
286,3618
287,3572
288,3560
289,3396
290,3399
291,3372
292,3373
293,3312
294,3308
295,3237
296,3188
297,3160
298,3155
299,3009
300,2908
301,3024
302,2783
303,3004
304,3024
305,2818
306,2778
307,2798
308,2732
309,2776
310,2664
311,2718
312,2760
313,2778
314,2735
315,2675
316,2561
317,2614
318,2504
319,2546
320,2509
321,2581
322,2614
323,2552
324,2606
325,2601
326,2570
327,2457
328,2481
329,2455
330,2512
331,2332
332,2376
333,2324
334,2331
335,2290
336,2267
337,2286
338,2145
339,2145
340,2152
341,2128
342,2091
343,2166
344,2170
345,2049
346,2078
347,2032
348,2116
349,2027
350,1984
351,1945
352,1919
353,1956
354,1813
355,1812
356,1751
357,1838
358,1779
359,1717
360,1758
361,1740
362,1666
363,1627
364,1679
365,1713
366,1770
367,1731
368,1690
369,1649
370,1582
371,1502
372,1588
373,1581
374,1421
375,1561
376,1541
377,1657
378,1551
379,1596
380,1536
381,1551
382,1446
383,1492
384,1490
385,1375
386,1416
387,1432
388,1391
389,1443
390,1357
391,1412
392,1305
393,1420
394,1341
395,1287
396,1370
397,1270
398,1321
399,1239
400,1312
401,1278
402,1257
403,1325
404,1259
405,1223
406,1300
407,1265
408,1260
409,1265
410,1198
411,1204
412,1146
413,1195
414,1101
415,1201
416,1185
417,1215
418,1179
419,1142
420,1093
421,1145
422,1137
423,1204
424,1104
425,1176
426,1130
427,1115
428,1175
429,1077
430,1116
431,1109
432,1153
433,987
434,1092
435,1003
436,1057
437,1102
438,1101
439,1112
440,1028
441,1056
442,1035
443,1063
444,1026
445,1009
446,1011
447,1063
448,1018
449,1046
450,1024
451,963
452,1055
453,944
454,952
455,977
456,950
457,924
458,906
459,862
460,940
461,935
462,983
463,933
464,970
465,973
466,871
467,875
468,934
469,933
470,887
471,936
472,873
473,942
474,837
475,943
476,888
477,889
478,887
479,946
480,854
481,927
482,935
483,863
484,907
485,916
486,856
487,892
488,876
489,890
490,860
491,886
492,869
493,826
494,792
495,853
496,903
497,824
498,847
499,789
500,806
501,806
502,806
503,839
504,836
505,915
506,832
507,833
508,818
509,861
510,795
511,829
512,801
513,788
514,820
515,765
516,767
517,708
518,694
519,779
520,808
521,791
522,713
523,755
524,703
525,717
526,738
527,695
528,673
529,693
530,682
531,649
532,667
533,669
534,711
535,656
536,607
537,651
538,661
539,669
540,657
541,635
542,650
543,589
544,616
545,637
546,669
547,681
548,630
549,628
550,631
551,640
552,611
553,608
554,594
555,602
556,703
557,619
558,604
559,626
560,641
561,598
562,626
563,592
564,614
565,646
566,611
567,605
568,574
569,562
570,600
571,611
572,636
573,608
574,584
575,649
576,641
577,597
578,588
579,589
580,604
581,614
582,568
583,558
584,540
585,509
586,524
587,500
588,506
589,464
590,519
591,544
592,513
593,471
594,483
595,446
596,548
597,476
598,502
599,473
600,500
601,457
602,464
603,488
604,488
605,446
606,474
607,473
608,487
609,519
610,474
611,510
612,465
613,451
614,486
615,502
616,467
617,468
618,469
619,456
620,489
621,443
622,431
623,468
624,460
625,493
626,461
627,491
628,465
629,482
630,492
631,465
632,463
633,436
634,404
635,449
636,456
637,444
638,420
639,437
640,412
641,383
642,375
643,432
644,380
645,384
646,363
647,390
648,366
649,401
650,395
651,459
652,406
653,423
654,383
655,400
656,396
657,432
658,395
659,388
660,349
661,359
662,398
663,378
664,398
665,379
666,426
667,374
668,405
669,397
670,364
671,362
672,364
673,321
674,385
675,360
676,372
677,355
678,405
679,377
680,385
681,399
682,364
683,391
684,322
685,349
686,369
687,394
688,359
689,364
690,355
691,357
692,337
693,389
694,387
695,411
696,404
697,361
698,383
699,401
700,400
701,361
702,421
703,350
704,346
705,343
706,339
707,335
708,326
709,362
710,369
711,301
712,344
713,358
714,348
715,349
716,341
717,332
718,323
719,371
720,335
721,333
722,356
723,318
724,333
725,338
726,359
727,317
728,338
729,302
730,304
731,284
732,338
733,310
734,312
735,311
736,343
737,327
738,343
739,333
740,323
741,323
742,330
743,361
744,346
745,361
746,288
747,305
748,309
749,300
750,351
751,293
752,309
753,313
754,329
755,320
756,302
757,297
758,338
759,322
760,322
761,334
762,289
763,319
764,364
765,328
766,301
767,285
768,282
769,324
770,297
771,283
772,282
773,268
774,294
775,314
776,299
777,316
778,292
779,269
780,304
781,320
782,285
783,307
784,279
785,290
786,317
787,271
788,317
789,289
790,279
791,293
792,274
793,264
794,262
795,272
796,276
797,247
798,244
799,282
800,248
801,246
802,318
803,261
804,268
805,286
806,266
807,233
808,271
809,227
810,257
811,277
812,292
813,286
814,266
815,265
816,291
817,330
818,284
819,309
820,285
821,264
822,308
823,266
824,280
825,272
826,250
827,280
828,253
829,236
830,235
831,310
832,239
833,268
834,267
835,229
836,275
837,256
838,273
839,285
840,255
841,243
842,265
843,252
844,271
845,306
846,245
847,233
848,252
849,262
850,285
851,276
852,249
853,247
854,259
855,245
856,245
857,271
858,242
859,261
860,257
861,263
862,263
863,253
864,245
865,264
866,243
867,250
868,269
869,216
870,264
871,276
872,266
873,256
874,279
875,244
876,243
877,247
878,239
879,236
880,240
881,231
882,265
883,249
884,249
885,242
886,251
887,270
888,229
889,255
890,230
891,260
892,233
893,227
894,240
895,268
896,266
897,256
898,226
899,248
900,210
901,228
902,190
903,220
904,239
905,239
906,212
907,220
908,242
909,221
910,225
911,262
912,213
913,225
914,205
915,285
916,212
917,221
918,225
919,211
920,254
921,237
922,216
923,248
924,223
925,230
926,202
927,194
928,221
929,221
930,198
931,195
932,213
933,218
934,226
935,207
936,189
937,180
938,210
939,195
940,234
941,196
942,218
943,219
944,221
945,231
946,201
947,215
948,218
949,193
950,222
951,228
952,240
953,213
954,227
955,262
956,232
957,216
958,210
959,194
960,209
961,200
962,210
963,179
964,182
965,214
966,204
967,224
968,217
969,219
970,239
971,194
972,201
