Depth,Overall
0,53524557
1,8809492
2,5637318
3,4308625
4,3612160
5,3124955
6,2806482
7,2559201
8,2363803
9,2209999
10,2087073
11,1989635
12,1917901
13,1850599
14,1824641
15,1791967
16,1778677
17,1770082
18,1779048
19,1801025
20,1826254
21,1884200
22,1942709
23,2035196
24,2153055
25,2299926
26,2511722
27,2770559
28,3090386
29,3504009
30,3990869
31,4564926
32,5233581
33,5980938
34,6766931
35,7611957
36,8468482
37,9297006
38,10072673
39,10762798
40,11326701
41,11750270
42,12041178
43,12163998
44,12137694
45,11986111
46,11734253
47,11418640
48,11087697
49,10761566
50,10469977
51,10266998
52,10179465
53,10238842
54,10444787
55,10851182
56,11421213
57,12190734
58,13169117
59,14351325
60,15738344
61,17338311
62,19151156
63,21160748
64,23400897
65,25848628
66,28540616
67,31439888
68,34538332
69,37842961
70,41362842
71,45070140
72,48909521
73,52880498
74,56875737
75,60890058
76,64850064
77,68693437
78,72361301
79,75768441
80,78816388
81,81447528
82,83616187
83,85244467
84,86279105
85,86692396
86,86477559
87,85678278
88,84211497
89,82181417
90,79607902
91,76542768
92,73057211
93,69217406
94,65089866
95,60757047
96,56288756
97,51814616
98,47322196
99,42882546
100,38638959
101,34563969
102,30712818
103,27107587
104,23767718
105,20718175
106,17935123
107,15415091
108,13182148
109,11201288
110,9471739
111,7959088
112,6660137
113,5553813
114,4608859
115,3806412
116,3127012
117,2573470
118,2109458
119,1728812
120,1415130
121,1159582
122,952684
123,788461
124,655933
125,549079
126,465874
127,400480
128,347434
129,304028
130,272664
131,245818
132,224898
133,208465
134,193704
135,182105
136,174502
137,167226
138,159808
139,154595
140,149269
141,144088
142,141105
143,137048
144,133296
145,130773
146,127546
147,125532
148,123654
149,121913
150,119379
151,117274
152,115628
153,114081
154,111997
155,110758
156,109168
157,108896
158,107645
159,107384
160,105322
161,104264
162,104208
163,102631
164,102305
165,99880
166,99209
167,98149
168,97382
169,96051
170,94816
171,92865
172,91500
173,90388
174,88839
175,87786
176,86486
177,85199
178,83891
179,82339
180,81081
181,79244
182,78158
183,76926
184,75996
185,74323
186,73159
187,70458
188,69730
189,68643
190,67081
