COVERAGE SUMMARY,,Aligned bases,186955830126
COVERAGE SUMMARY,,Aligned bases in genome,186955830126,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,61.47
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,96.10
COVERAGE SUMMARY,,PCT of genome with coverage [100x: inf),1.70
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x: inf),80.79
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: inf),95.57
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: inf),95.96
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: inf),96.33
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: inf),97.09
COVERAGE SUMMARY,,PCT of genome with coverage [  1x: inf),97.64
COVERAGE SUMMARY,,PCT of genome with coverage [  0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x:100x),79.09
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: 50x),14.78
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: 20x),0.39
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: 15x),0.37
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: 10x),0.76
COVERAGE SUMMARY,,PCT of genome with coverage [  1x:  3x),0.55
COVERAGE SUMMARY,,PCT of genome with coverage [  0x:  1x),2.36
COVERAGE SUMMARY,,Average chr X coverage over genome,69.80
COVERAGE SUMMARY,,Average chr Y coverage over genome,2.62
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,12526.86
COVERAGE SUMMARY,,Average autosomal coverage over genome,61.55
COVERAGE SUMMARY,,Median autosomal coverage over genome,63.05
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.98
COVERAGE SUMMARY,,Aligned reads,1253372683
COVERAGE SUMMARY,,Aligned reads in genome,1253372683,100.00
