Depth,Overall
0,77958341
1,11780232
2,7650486
3,6022357
4,5167904
5,4696422
6,4459102
7,4356102
8,4405909
9,4572168
10,4840643
11,5195918
12,5615064
13,6193971
14,6941457
15,7971173
16,9441534
17,11579022
18,14654373
19,19038897
20,25126596
21,33174677
22,43387074
23,55831464
24,70439872
25,86683630
26,103947405
27,121407770
28,137889312
29,152462246
30,164187108
31,172138510
32,175868370
33,175325241
34,170586917
35,162166536
36,150614208
37,136863631
38,121789725
39,106087541
40,90575802
41,75885190
42,62406098
43,50375898
44,39947470
45,31178926
46,23973239
47,18174897
48,13600726
49,10057150
50,7364804
51,5342283
52,3866633
53,2785157
54,2020243
55,1474597
56,1097088
57,827914
58,642700
59,518469
60,431200
61,371437
62,327600
63,298750
64,277166
65,260430
66,245930
67,234700
68,222233
69,212850
70,204494
71,196510
72,189506
73,182544
74,176755
75,167995
76,161976
77,153564
78,147872
79,141720
80,135394
81,130873
82,125956
83,121696
84,117188
85,112470
86,109603
87,106120
88,103501
89,100731
90,97712
91,94913
92,91358
93,89453
94,87120
95,84614
96,81958
97,79892
98,76828
99,75517
100,73757
101,71945
102,69406
103,67610
104,65339
105,63428
106,61501
107,59142
108,56822
109,54946
110,52875
111,51424
112,49530
113,48045
114,47046
115,45203
116,44082
117,42613
118,40795
119,39685
120,38878
121,38231
122,37785
123,36316
124,34968
125,33997
126,33336
127,33025
128,32538
129,31055
130,30832
131,30121
132,29546
133,28775
134,28323
135,27704
136,26921
137,26420
138,26223
139,26276
140,25793
141,25375
142,25100
143,24496
144,24040
145,23848
146,23422
147,23455
148,23034
149,22459
150,22814
151,22652
152,22309
153,22071
154,21491
155,21222
156,20749
157,20829
158,20363
159,20088
160,19924
161,19717
162,18904
163,18817
164,18415
165,18351
166,17824
167,17730
168,17237
169,16676
170,16273
171,15939
172,15637
173,15681
174,15173
175,14830
176,14648
177,14472
178,13932
179,13545
180,13149
181,12717
182,12363
183,11966
184,11799
185,11419
186,11408
187,11159
188,10724
189,10248
190,10069
191,9878
192,9700
193,9210
194,9204
195,8828
196,8504
197,8460
198,8195
199,8159
200,7906
201,7803
202,7588
203,7655
204,7208
205,7035
206,6974
207,6919
208,7032
209,6824
210,6515
211,6455
212,6495
213,6215
214,6068
