TUMOR MAPPING/ALIGNING SUMMARY,,Total input reads,1396013002,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked reads,106138063,7.60
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked and mate reads removed,NA
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique reads (excl. duplicate marked reads),1289874939,92.40
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with mate sequenced,1396013002,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Reads without mate sequenced,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,QC-failed reads,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads,1390517779,99.61
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads adjusted for filtered mapping,1390517779,99.61
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R1,697863023,99.98
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R2,692654756,99.23
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique & mapped reads (excl. duplicate marked reads),1284379716,92.00
TUMOR MAPPING/ALIGNING SUMMARY,,Unmapped reads,5495223,0.39
TUMOR MAPPING/ALIGNING SUMMARY,,Unmapped reads adjusted for filtered mapping,5495223,0.39
TUMOR MAPPING/ALIGNING SUMMARY,,Adjustment of reads matching non-reference decoys,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,Singleton reads (itself mapped; mate unmapped),5368229,0.38
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads (itself & mate mapped),1385149550,99.22
TUMOR MAPPING/ALIGNING SUMMARY,,Properly paired reads,1357527346,97.24
TUMOR MAPPING/ALIGNING SUMMARY,,Not properly paired reads (discordant),27622204,1.98
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes,20188972,1.46
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes (MAPQ>=10),9016406,0.65
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [40:inf),1272466054,91.15
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [30:40),4714154,0.34
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [20:30),10367578,0.74
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [10:20),16413855,1.18
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [ 0:10),86556138,6.20
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ NA (Unmapped reads),5495223,0.39
