COVERAGE SUMMARY,,Aligned bases,185625071865
COVERAGE SUMMARY,,Aligned bases in genome,185625071865,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,61.03
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,96.10
COVERAGE SUMMARY,,PCT of genome with coverage [100x: inf),1.61
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x: inf),80.65
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: inf),95.52
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: inf),95.94
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: inf),96.33
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: inf),97.11
COVERAGE SUMMARY,,PCT of genome with coverage [  1x: inf),97.65
COVERAGE SUMMARY,,PCT of genome with coverage [  0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 50x:100x),79.04
COVERAGE SUMMARY,,PCT of genome with coverage [ 20x: 50x),14.88
COVERAGE SUMMARY,,PCT of genome with coverage [ 15x: 20x),0.42
COVERAGE SUMMARY,,PCT of genome with coverage [ 10x: 15x),0.39
COVERAGE SUMMARY,,PCT of genome with coverage [  3x: 10x),0.78
COVERAGE SUMMARY,,PCT of genome with coverage [  1x:  3x),0.54
COVERAGE SUMMARY,,PCT of genome with coverage [  0x:  1x),2.35
COVERAGE SUMMARY,,Average chr X coverage over genome,69.78
COVERAGE SUMMARY,,Average chr Y coverage over genome,1.79
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,12393.46
COVERAGE SUMMARY,,Average autosomal coverage over genome,61.35
COVERAGE SUMMARY,,Median autosomal coverage over genome,63.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.97
COVERAGE SUMMARY,,Aligned reads,1211839706
COVERAGE SUMMARY,,Aligned reads in genome,1211839706,100.00
