Depth,Overall
0,71352778
1,10140378
2,6275420
3,4824555
4,4022234
5,3522294
6,3175298
7,2919761
8,2716168
9,2573889
10,2464323
11,2386268
12,2335696
13,2317161
14,2339100
15,2375973
16,2432864
17,2530209
18,2643121
19,2780423
20,2937110
21,3115305
22,3303047
23,3517637
24,3762198
25,4039057
26,4368245
27,4774728
28,5236105
29,5795912
30,6417149
31,7158814
32,7991638
33,8909620
34,9923216
35,11050439
36,12267645
37,13606602
38,15042473
39,16624842
40,18377478
41,20283724
42,22440718
43,24839250
44,27540663
45,30556521
46,33882742
47,37517039
48,41477433
49,45706940
50,50217487
51,54934313
52,59775040
53,64637920
54,69478256
55,74174870
56,78630750
57,82745331
58,86343886
59,89405758
60,91825904
61,93458340
62,94380342
63,94503900
64,93800956
65,92353212
66,90096686
67,87140514
68,83600551
69,79581116
70,75187817
71,70505707
72,65593860
73,60597847
74,55608957
75,50714763
76,45992709
77,41477150
78,37274117
79,33364239
80,29764207
81,26515068
82,23590671
83,20993672
84,18680610
85,16669913
86,14909439
87,13374194
88,12051792
89,10905025
90,9908451
91,9030009
92,8256594
93,7568418
94,6953026
95,6406162
96,5908811
97,5442611
98,5010592
99,4604895
100,4231726
101,3876184
102,3546582
103,3237769
104,2939364
105,2661812
106,2400399
107,2153081
108,1926140
109,1721783
110,1530240
111,1358245
112,1202325
113,1057771
114,930905
115,815604
116,717365
117,629988
118,552950
119,488241
120,430089
121,382142
122,338176
123,301993
124,269460
125,243248
126,221608
127,204009
128,186608
129,171008
130,160067
131,150553
132,142388
133,135292
134,128951
135,123427
136,118588
137,114267
138,111139
139,107655
140,103898
141,99867
142,96784
143,94830
144,92818
145,90656
146,87679
147,85279
148,83618
149,81201
150,78884
151,77719
152,75755
153,73820
154,72584
155,70781
156,69262
157,67350
158,66309
159,65247
160,63725
161,62929
162,61438
163,59736
164,58464
165,57698
166,56958
167,56166
168,55257
169,54196
170,53323
171,52236
172,51166
173,50794
174,49563
175,48899
176,48687
177,48144
178,47741
179,47163
180,46410
181,45659
182,45714
183,44540
184,43603
185,43684
186,42547
187,42369
188,42137
189,40932
190,40712
191,40000
192,39169
193,39207
194,38920
195,38164
196,37603
197,37142
198,36491
199,35463
200,35154
201,34710
202,34205
203,33275
204,33003
205,32538
206,31922
207,30909
208,30752
209,29703
210,29443
211,28921
212,28427
213,28104
214,27544
215,26602
216,26639
217,26113
218,25608
219,25388
220,24783
221,24886
222,24004
223,23346
224,22827
225,22076
226,22002
227,21492
228,21245
229,20564
230,20284
231,19528
232,19812
233,19464
234,18915
235,18830
236,18614
237,18080
238,18104
239,17845
240,17644
241,17290
242,16994
243,16974
244,16631
245,16434
246,16233
247,16463
248,16186
249,15940
250,16022
251,15523
252,15446
253,15354
254,15302
255,15098
256,14973
257,14896
258,14737
259,14520
260,14173
261,14147
262,14168
263,14190
264,13853
265,13898
266,13901
267,13866
268,13620
269,13684
270,13192
271,13395
272,13247
273,13436
274,13267
275,13085
276,12925
277,13014
278,13169
279,13014
280,12916
281,12950
282,12722
283,12624
284,12347
285,12335
286,12418
287,12285
288,12111
289,11966
290,11896
291,11751
292,11476
293,11451
294,11602
295,11583
296,11627
297,11189
298,11240
299,11057
300,11021
301,10915
302,10748
303,10669
304,10698
305,10522
306,10466
307,10564
308,10444
309,10268
310,10111
311,10254
312,9919
313,10080
314,9849
315,9651
316,9654
317,9720
318,9590
319,9684
320,9305
321,9035
322,9199
323,9009
324,8813
325,8928
326,8398
327,8406
328,8294
329,8022
330,7825
331,7899
332,7672
333,7385
334,7470
335,7142
336,7060
337,6979
338,6844
339,6771
340,6833
341,6476
342,6726
343,6548
344,6382
345,6201
346,6068
347,5798
348,5993
349,5785
350,5759
351,5693
352,5628
353,5634
354,5473
355,5413
356,5273
357,5126
358,5064
359,4961
360,5047
361,4914
362,4802
363,4712
364,4686
365,4663
366,4566
367,4365
368,4473
369,4305
370,4198
371,4275
372,4151
373,3994
374,4012
375,4021
376,4065
377,4129
378,3957
379,4034
380,4020
381,3824
382,3939
383,3810
384,3883
385,3758
386,3763
387,3564
388,3552
389,3529
390,3471
391,3604
392,3400
393,3309
394,3473
395,3452
396,3315
397,3238
398,3300
399,3184
400,3296
401,3241
402,3072
403,3024
404,3068
405,3086
406,3068
407,2933
408,3014
409,3017
410,2974
411,2943
412,2908
413,2895
414,2836
415,2838
416,2793
417,2804
418,2828
419,2811
420,2849
421,2744
422,2811
423,2650
424,2790
425,2716
426,2630
427,2599
428,2618
429,2530
430,2518
431,2584
432,2360
433,2424
434,2401
435,2306
436,2228
437,2151
438,2303
439,2206
440,2204
441,2111
442,2127
443,2143
444,2075
445,2079
446,2029
447,1972
448,2014
449,2056
450,1990
451,1958
452,1981
453,1910
454,1910
455,1947
456,2014
457,1813
458,1851
459,1837
460,1780
461,1672
462,1706
463,1701
464,1694
465,1738
466,1738
467,1738
468,1752
469,1752
470,1732
471,1735
472,1738
473,1808
474,1690
475,1645
476,1692
477,1652
478,1698
479,1637
480,1702
481,1669
482,1547
483,1604
484,1626
485,1625
486,1667
487,1627
488,1720
489,1638
490,1484
491,1507
492,1527
493,1517
494,1524
495,1518
496,1522
497,1469
498,1449
499,1524
500,1453
501,1486
502,1494
503,1452
504,1445
505,1466
506,1454
507,1402
508,1584
509,1412
510,1491
511,1490
512,1431
513,1475
514,1456
515,1383
516,1420
517,1427
518,1372
519,1392
520,1342
521,1316
522,1296
523,1318
524,1263
525,1293
526,1257
527,1232
528,1246
529,1251
530,1273
531,1204
532,1193
533,1240
534,1226
535,1186
536,1231
537,1264
538,1233
539,1137
540,1200
541,1167
542,1138
543,1187
544,1194
545,1184
546,1124
547,1136
548,1103
549,1138
550,1125
551,1125
552,1134
553,1061
554,1073
555,1036
556,1023
557,1053
558,1080
559,1058
560,1070
561,1060
562,1027
563,1039
564,1009
565,988
566,947
567,1009
568,1047
569,995
570,923
571,922
572,827
573,913
574,916
575,879
576,896
577,907
578,881
579,833
580,844
581,874
582,872
583,832
584,842
585,896
586,826
587,855
588,894
589,815
590,806
591,827
592,902
593,828
594,783
595,790
596,888
597,800
598,732
599,774
600,789
601,784
602,758
603,756
604,744
605,796
606,779
607,780
608,720
609,795
610,739
611,802
612,709
613,725
614,685
615,780
616,697
617,704
618,715
619,713
620,687
621,701
622,699
623,750
624,728
625,703
626,720
627,703
628,734
629,708
630,766
631,725
632,705
633,716
634,717
635,723
636,725
637,738
638,652
639,714
640,802
641,729
642,695
643,721
644,721
645,714
646,698
647,666
648,673
649,690
650,660
651,684
652,636
653,631
654,669
655,626
656,655
657,682
658,623
659,701
660,670
661,634
662,609
663,616
664,648
665,626
666,620
667,665
668,595
669,586
670,581
671,603
672,607
673,587
674,579
675,565
676,605
677,571
678,593
679,594
680,595
681,546
682,613
683,559
684,560
685,560
686,617
687,582
688,592
689,591
690,512
691,578
692,585
693,568
694,585
695,555
696,543
697,529
698,541
699,521
700,522
701,568
702,509
703,475
704,515
705,491
706,482
707,578
708,494
709,498
710,486
711,535
712,489
713,466
714,497
715,476
716,504
717,503
718,497
719,509
720,476
721,532
722,449
723,476
724,441
725,444
726,463
727,399
728,453
729,415
730,508
731,438
732,430
733,418
734,420
735,417
736,391
737,382
738,386
739,429
740,418
741,408
742,433
743,382
744,384
745,458
746,382
747,381
748,392
749,428
750,430
751,401
752,436
753,440
754,415
755,408
756,382
757,411
758,377
759,443
760,454
761,423
762,409
763,450
764,420
765,484
766,433
767,415
768,389
769,397
770,420
771,426
772,426
