Depth,Overall
0,58588459
1,10972268
2,7321148
3,5744807
4,4896696
5,4372975
6,4085732
7,3965715
8,4100509
9,4426621
10,5072461
11,6059217
12,7397121
13,9111967
14,11089233
15,13226746
16,15365004
17,17307877
18,18928392
19,20190495
20,21145983
21,21913746
22,22784795
23,24023488
24,26000778
25,29060119
26,33434227
27,39334180
28,46850112
29,55942970
30,66396860
31,77905143
32,90122668
33,102362832
34,114153367
35,124789539
36,133696037
37,140443084
38,144701832
39,146243892
40,144998586
41,141078631
42,134785442
43,126506655
44,116691569
45,105852913
46,94436809
47,82945342
48,71715679
49,61146125
50,51392571
51,42558158
52,34802119
53,28092975
54,22420158
55,17690548
56,13833959
57,10714036
58,8245924
59,6298718
60,4795987
61,3634556
62,2768446
63,2111631
64,1621196
65,1255018
66,984147
67,788357
68,644222
69,538813
70,461254
71,403863
72,363737
73,328804
74,301495
75,283632
76,268418
77,254942
78,243572
79,232597
80,224498
81,217289
82,208968
83,203139
84,195631
85,188219
86,182973
87,175400
88,169136
89,162852
90,155170
91,149363
92,143126
93,139354
94,132810
95,127133
96,121749
97,117296
98,113499
99,109054
100,107004
101,102823
102,98931
103,95210
104,93690
105,90645
106,88547
107,86133
108,85291
109,82116
110,81414
111,79132
112,77692
113,76380
114,75397
115,73933
116,72758
117,70735
118,69691
119,69213
120,67077
121,65507
122,63988
123,62449
124,60954
125,59368
126,58857
127,58087
128,56795
129,55855
130,54620
131,52929
132,51646
133,50757
134,49349
135,48483
136,46745
137,45905
138,44262
139,43819
140,41780
141,41283
142,40366
143,39408
144,38075
145,37163
146,36131
147,35179
148,34571
149,33563
150,33546
151,32102
152,31462
153,30646
154,30111
155,29901
156,29655
157,29026
158,28482
159,27762
160,27340
161,26732
162,26209
163,26338
164,25858
165,25709
166,25306
167,25404
168,25031
169,24507
170,24373
171,24157
172,24098
173,23329
174,23208
175,22851
176,22494
177,22076
178,21610
179,21228
180,21288
181,21364
182,21546
183,21575
184,20870
185,20389
186,20722
187,20349
188,19630
189,19513
190,19348
191,19003
192,18814
193,18755
194,18443
195,18117
196,18234
197,18317
198,18154
199,18186
200,17670
201,17724
202,17708
203,17636
204,17400
205,17596
206,17298
207,17092
208,16619
209,16667
210,16512
211,16322
212,16173
213,16081
214,15991
215,15565
216,15640
217,15649
218,15204
219,14812
220,14641
221,14564
222,14332
223,14256
224,14392
225,13969
226,13572
227,13593
228,13039
229,13040
230,12811
231,12609
232,12362
233,12054
234,11990
235,11584
236,11844
237,11469
238,11407
239,11212
240,11067
241,10683
242,10687
243,10622
244,10303
245,10015
246,9636
247,9680
248,9628
249,9236
250,9007
251,8897
252,8653
253,8521
254,8260
255,8362
256,8175
257,8041
258,7739
259,7699
260,7452
261,7695
262,7289
263,7097
264,7069
265,7007
266,6771
267,6806
268,6840
269,6688
270,6434
271,6467
272,6422
273,6324
274,6313
275,6147
276,6061
277,5972
278,5840
279,5683
280,5723
281,5479
282,5457
283,5429
284,5223
285,5362
286,5031
287,5000
288,4970
289,4823
290,4887
291,4734
292,4771
293,4629
294,4526
295,4672
296,4419
297,4542
298,4461
299,4453
300,4237
301,4366
302,4127
303,4206
304,4025
305,3957
306,3885
307,3755
308,3762
309,3703
310,3934
311,3768
312,3781
313,3698
314,3586
315,3505
316,3406
317,3332
318,3329
319,3333
320,3443
321,3262
322,3288
323,3291
324,3324
325,3188
326,3239
327,3228
328,3193
329,3080
330,3028
331,3099
332,3057
333,3030
334,2939
335,2982
336,2930
337,2950
338,2931
339,2803
340,2785
341,2861
342,2874
343,2757
344,2741
345,2783
346,2636
347,2622
348,2674
349,2589
350,2576
351,2527
352,2528
353,2414
354,2582
355,2429
