Depth,Overall
0,53449468
1,9283557
2,5980578
3,4587049
4,3860010
5,3369936
6,3020157
7,2758949
8,2550953
9,2363052
10,2220434
11,2115293
12,2017440
13,1960238
14,1903744
15,1875482
16,1869679
17,1877851
18,1917295
19,1993445
20,2097675
21,2259374
22,2480115
23,2787523
24,3182342
25,3691740
26,4328836
27,5108192
28,6024267
29,7078452
30,8279802
31,9577232
32,10975561
33,12430826
34,13921422
35,15427777
36,16881379
37,18288964
38,19602237
39,20860139
40,21994023
41,23000528
42,23872733
43,24595796
44,25176857
45,25580196
46,25850411
47,25943865
48,25936117
49,25781477
50,25580292
51,25337718
52,25098389
53,24962393
54,25038061
55,25331291
56,25901663
57,26817643
58,28135652
59,29876947
60,32075808
61,34738043
62,37773600
63,41233811
64,45032415
65,49092998
66,53309935
67,57597812
68,61846175
69,65940502
70,69775395
71,73236516
72,76210989
73,78627448
74,80421461
75,81543644
76,81978238
77,81695152
78,80776296
79,79165828
80,76992071
81,74268003
82,71045622
83,67504837
84,63694480
85,59668655
86,55520463
87,51306815
88,47131507
89,43060788
90,39117661
91,35367067
92,31800308
93,28483453
94,25411030
95,22585563
96,20019616
97,17697548
98,15616292
99,13745267
100,12088850
101,10617135
102,9327525
103,8200012
104,7191835
105,6326599
106,5574283
107,4915364
108,4335171
109,3830638
110,3384072
111,2989094
112,2658180
113,2354151
114,2099016
115,1875728
116,1669191
117,1490849
118,1336784
119,1197715
120,1073016
121,963605
122,865230
123,778515
124,699664
125,630970
126,571715
127,519221
128,471605
129,429129
130,389573
131,355004
132,326343
133,299886
134,276176
135,255602
136,238993
137,221554
138,208878
139,195050
140,183780
141,174213
142,164470
143,156959
144,150176
145,144320
146,138081
147,134035
148,130162
149,125290
150,121636
151,118477
152,115617
153,112246
154,108567
155,106827
156,103712
157,101593
158,98861
159,97215
160,93904
161,91555
162,89698
163,88001
164,85900
165,84363
166,83141
167,81537
168,79673
169,77435
170,76084
171,73912
172,72635
173,71344
174,69167
175,67670
176,66071
177,64630
178,63411
179,62463
180,61046
181,60054
182,59252
183,58224
184,56924
185,55448
186,54827
187,54214
188,52739
189,51895
190,50756
191,49789
192,48248
193,48001
194,47493
195,47326
196,46608
197,46099
198,44473
199,44125
200,43570
201,43682
202,43106
203,42261
204,41646
205,40810
206,41115
207,40427
208,40584
209,40018
210,39597
211,39333
212,38750
213,37902
214,37474
215,37264
216,36720
217,36468
218,35792
219,35726
220,35623
221,35249
222,35258
223,34499
224,34532
225,34029
226,33911
227,33009
228,32922
229,32502
230,32594
231,32247
232,31742
233,31107
234,30849
235,30979
236,30333
237,29942
238,28827
239,28674
240,28442
241,27805
242,27220
243,26861
244,26137
245,25649
246,25579
247,25633
248,25034
249,24923
250,24667
251,24227
252,23992
253,23912
254,23560
255,23043
256,23125
257,22858
258,22230
259,21852
260,21932
261,21571
262,21120
263,20569
264,20667
265,20145
266,19585
267,19474
268,19264
269,19446
270,18976
271,18846
272,18494
273,18224
274,18126
275,17846
276,18111
277,17715
278,17275
279,17206
280,17203
281,17178
282,16724
283,16764
284,16435
285,16303
286,16024
287,16015
288,15628
289,15791
290,15393
291,15025
292,15212
293,14772
294,15069
295,14944
296,14819
297,14780
298,14660
299,14364
300,14390
301,13979
302,13672
303,13743
304,13650
305,13781
306,13522
307,13457
308,13211
309,13321
310,13098
311,13169
312,13289
313,13160
314,12914
315,13086
316,12913
317,12877
318,12599
319,12436
320,12448
321,12250
322,12331
323,11744
324,11808
325,11833
326,11906
327,11792
328,11480
329,11688
330,11558
331,11330
332,11212
333,11366
334,11202
335,11243
336,11134
337,10887
338,10835
339,10539
340,10630
341,10536
342,10505
343,10470
344,10395
345,10299
346,10426
347,10303
348,10330
349,10225
350,10114
351,9963
352,9998
353,10161
354,9996
355,9834
356,9845
357,9841
358,9596
359,9532
360,9532
361,9362
362,9428
363,9298
364,9215
365,9191
366,9042
367,8923
368,8875
369,8786
370,8643
371,8586
372,8351
373,8429
374,8398
375,8034
376,8098
377,8025
378,8254
379,8120
380,8132
381,8053
382,8059
383,7969
384,7989
385,8102
386,8159
387,8163
388,8105
389,8107
390,8118
391,8000
392,8004
393,7995
394,8049
395,7931
396,7812
397,7666
398,7718
399,7567
400,7789
401,7582
402,7599
403,7265
404,7306
405,7305
406,7161
407,7268
408,7247
409,7022
410,7087
411,7201
412,7055
413,7139
414,6951
415,7078
416,6818
417,6994
418,7062
419,6709
420,6721
421,6706
422,6569
423,6613
424,6660
425,6561
426,6592
427,6396
428,6448
429,6522
430,6339
431,6449
432,6487
433,6349
434,6340
435,6414
436,6201
437,6137
438,6293
439,6044
440,6061
441,6086
442,5983
443,5951
444,5706
445,5708
446,5790
447,5536
448,5637
449,5711
450,5671
451,5660
452,5669
453,5638
454,5454
455,5675
456,5504
457,5382
458,5300
459,5345
460,5248
461,5274
462,5323
463,5332
464,5112
465,4946
466,5064
467,4949
468,4943
469,4960
470,4827
471,4794
472,4862
473,4706
474,4416
475,4584
476,4415
477,4380
478,4297
479,4177
480,4104
481,4219
482,4018
483,4000
484,3896
485,3830
486,3909
487,3649
488,3807
489,3714
490,3631
491,3613
492,3512
493,3564
494,3407
495,3314
496,3287
497,3394
498,3275
499,3240
500,3247
501,3123
502,3203
503,3106
504,3028
505,3067
506,2986
507,2967
508,2995
509,3036
510,2915
511,2801
512,2875
513,2767
514,2796
515,2724
516,2721
517,2588
518,2691
519,2484
520,2625
521,2661
522,2499
523,2518
524,2496
525,2424
526,2484
527,2452
528,2323
529,2323
530,2369
531,2478
532,2258
533,2262
534,2270
535,2234
536,2169
537,2214
538,2188
539,2249
540,2116
541,2182
542,2210
543,2244
544,2106
545,2155
546,2095
547,2197
548,2129
549,2125
550,2110
551,2055
552,2017
553,2089
554,1940
555,2011
556,1951
557,1901
558,1911
559,1843
560,1948
561,1833
562,1933
563,1931
564,1861
565,1796
566,1855
