Depth,Overall
0,57652802
1,10838914
2,7393987
3,5845602
4,4998776
5,4493913
6,4202534
7,4128909
8,4280594
9,4638629
10,5295187
11,6311376
12,7675451
13,9398753
14,11389990
15,13512474
16,15643159
17,17549388
18,19135570
19,20343192
20,21253265
21,21991252
22,22843778
23,24079414
24,26067951
25,29176803
26,33600115
27,39582494
28,47193894
29,56390298
30,66934337
31,78542118
32,90816913
33,103108678
34,114914732
35,125537765
36,134415502
37,141071023
38,145212387
39,146623879
40,145228867
41,141143608
42,134684950
43,126254792
44,116292361
45,105356538
46,93857222
47,82298467
48,71027620
49,60436865
50,50680828
51,41875712
52,34152642
53,27500339
54,21879414
55,17204607
56,13402416
57,10340319
58,7920425
59,6024545
60,4564766
61,3444413
62,2606563
63,1978362
64,1510133
65,1165117
66,913261
67,729060
68,596035
69,499390
70,427817
71,376577
72,338101
73,308551
74,284630
75,265441
76,253194
77,241452
78,232634
79,221849
80,214914
81,206817
82,199271
83,192620
84,185354
85,178599
86,172482
87,164797
88,158027
89,151766
90,145851
91,140400
92,134453
93,128060
94,123384
95,118499
96,113700
97,109445
98,105361
99,102884
100,100395
101,96776
102,93692
103,91328
104,89040
105,86323
106,84881
107,82464
108,80182
109,77590
110,77214
111,74998
112,73195
113,72281
114,71102
115,70165
116,68651
117,67379
118,65994
119,65538
120,63360
121,61319
122,60359
123,59045
124,56776
125,56150
126,54999
127,54425
128,53380
129,51245
130,50439
131,49353
132,48185
133,46928
134,45790
135,45007
136,43546
137,41943
138,40896
139,39311
140,38952
141,37690
142,36713
143,35812
144,34992
145,34362
146,33398
147,32058
148,31433
149,31000
150,30182
151,29393
152,28778
153,28471
154,27624
155,26997
156,27407
157,26435
158,25775
159,25390
160,25629
161,25204
162,24767
163,24358
164,24183
165,23501
166,23601
167,23313
168,22748
169,22624
170,22339
171,21852
172,21764
173,21393
174,21149
175,20719
176,20317
177,20138
178,19728
179,19514
180,19279
181,19253
182,19389
183,19035
184,18647
185,18257
186,18234
187,17825
188,18219
189,17829
190,17645
191,17511
192,17200
193,17130
194,17015
195,16921
196,16617
197,16766
198,16511
199,16704
200,16383
201,16740
202,16032
203,16101
204,15745
205,15672
206,15565
207,15626
208,15334
209,15459
210,15296
211,14675
212,14860
213,14628
214,14421
215,14354
216,14116
217,13852
218,13675
219,13423
220,13233
221,13062
222,12837
223,12754
224,12619
225,12200
226,12090
227,11852
228,11755
229,11578
230,11398
231,11145
232,10891
233,10969
234,10881
235,10557
236,10616
237,10307
238,10244
239,10364
240,10529
241,9979
242,9876
243,9519
244,9075
245,8948
246,8676
247,8584
248,8383
249,8106
250,7941
251,7587
252,7801
253,7693
254,7309
255,7142
256,7280
257,6942
258,6886
259,6660
260,6697
261,6438
262,6370
263,6341
264,6149
265,6248
266,5715
267,5795
268,5993
269,5629
270,5795
271,5573
272,5428
273,5608
274,5434
275,5198
276,5314
277,4987
278,4962
279,4854
280,4943
281,4921
282,4538
283,4543
284,4532
285,4497
286,4419
287,4319
288,4183
289,4194
290,4136
291,4024
292,4038
293,3915
294,3905
295,3897
296,3763
297,3839
298,3867
299,3919
300,3740
301,3706
302,3591
303,3457
304,3477
305,3299
306,3369
307,3359
308,3150
309,3140
310,2978
311,3130
312,3034
313,3001
314,3032
315,3036
316,3021
317,2835
318,2778
319,2838
320,2744
321,2744
322,2731
323,2725
324,2735
325,2635
326,2633
327,2494
328,2509
329,2593
330,2427
331,2368
332,2441
333,2522
334,2523
335,2309
336,2341
337,2317
338,2346
339,2440
340,2326
341,2217
342,2278
343,2161
344,2141
345,2201
346,2217
347,2145
348,2231
349,2060
350,2051
351,2057
352,1993
353,1996
354,2094
355,2000
356,2090
357,2044
358,2082
359,2049
360,2013
361,2063
362,1985
363,2045
364,1989
365,2011
366,1922
367,2028
368,2032
369,1884
370,1752
371,1813
372,1852
373,1752
374,1785
375,1723
376,1825
377,1789
378,1713
379,1685
380,1780
381,1654
382,1723
383,1649
384,1715
385,1627
386,1660
387,1634
388,1544
389,1529
390,1466
391,1582
392,1492
393,1449
394,1575
395,1479
396,1458
397,1498
398,1542
399,1643
400,1534
401,1555
402,1465
403,1552
404,1491
405,1461
406,1467
407,1435
408,1318
409,1447
410,1389
411,1375
412,1365
413,1400
414,1278
415,1361
416,1336
417,1278
418,1287
419,1255
420,1278
421,1257
422,1242
423,1201
424,1213
425,1309
426,1322
427,1227
428,1136
429,1153
430,1122
431,1047
432,1108
433,1144
434,1049
435,1042
436,1117
437,1003
438,1091
439,1158
440,1055
441,1099
442,1055
443,1037
444,1083
445,1044
446,1070
447,1009
448,1003
449,1016
450,994
451,997
452,971
453,904
454,908
455,932
456,865
457,999
458,915
459,791
460,880
461,926
462,885
463,945
464,878
465,864
466,887
467,830
468,843
469,931
470,868
471,848
472,840
473,808
474,814
475,760
476,783
477,815
478,798
479,802
480,786
481,830
482,850
483,797
484,841
485,825
486,785
487,771
488,797
489,795
490,732
491,713
492,722
493,718
494,746
495,768
496,754
497,746
498,742
499,721
500,645
501,724
502,731
503,783
504,694
505,764
506,745
507,762
508,730
509,669
510,693
511,670
512,728
513,671
514,694
515,653
516,634
517,633
518,636
519,616
520,660
521,618
522,593
523,589
524,612
525,641
526,591
527,589
