Depth,Overall
0,52811852
1,9042139
2,5921078
3,4634460
4,3910389
5,3439985
6,3071234
7,2824454
8,2618745
9,2434496
10,2287516
11,2172517
12,2083386
13,2018046
14,1967534
15,1945055
16,1942231
17,1963387
18,2006707
19,2080162
20,2203902
21,2374258
22,2611903
23,2931479
24,3338839
25,3858949
26,4523078
27,5313225
28,6244473
29,7304942
30,8504658
31,9808033
32,11198603
33,12645287
34,14127780
35,15608785
36,17037175
37,18432323
38,19730536
39,20961686
40,22076864
41,23066608
42,23934214
43,24646193
44,25208486
45,25596459
46,25849285
47,25941377
48,25918775
49,25778097
50,25567302
51,25327387
52,25093835
53,24981041
54,25081692
55,25393515
56,25995181
57,26940939
58,28298322
59,30076948
60,32327497
61,35045915
62,38136518
63,41652414
64,45498623
65,49597736
66,53862680
67,58185119
68,62463314
69,66560896
70,70410443
71,73861718
72,76818628
73,79179250
74,80922778
75,81991840
76,82362678
77,82009186
78,81015466
79,79330851
80,77087704
81,74275060
82,70968482
83,67357166
84,63468233
85,59369759
86,55169723
87,50902449
88,46682531
89,42580270
90,38601608
91,34842949
92,31276674
93,27959072
94,24892036
95,22077999
96,19522393
97,17216771
98,15157877
99,13303927
100,11667798
101,10230356
102,8957250
103,7854479
104,6873686
105,6032929
106,5298585
107,4659088
108,4099530
109,3614289
110,3183544
111,2808822
112,2487310
113,2198326
114,1952698
115,1737947
116,1543668
117,1375398
118,1230515
119,1095368
120,977504
121,875085
122,784292
123,702715
124,631490
125,565242
126,511137
127,462291
128,419206
129,380170
130,344900
131,314289
132,286594
133,263518
134,245012
135,226614
136,210901
137,196967
138,185746
139,174756
140,165691
141,156623
142,148348
143,143058
144,137087
145,132655
146,127111
147,123862
148,119757
149,116848
150,113490
151,110925
152,107918
153,105993
154,103390
155,99925
156,97874
157,94977
158,93441
159,91258
160,88527
161,86585
162,84094
163,82071
164,79875
165,78368
166,77100
167,74940
168,72919
169,70986
170,69795
171,68056
172,66190
173,65383
174,63800
175,62258
176,60904
177,59098
178,58252
179,56957
180,55405
181,54447
182,53101
183,52615
184,51761
185,50966
186,49207
187,48865
188,47796
189,47752
190,46613
191,46198
192,44790
193,44461
194,43497
195,42968
196,42993
197,41759
198,41210
199,41181
200,40410
201,40192
202,39649
203,39388
204,38710
205,38449
206,38323
207,37866
208,38241
209,37498
210,36812
211,36688
212,35634
213,35242
214,35123
215,35160
216,34557
217,34279
218,33486
219,33608
220,33326
221,32677
222,32731
223,32262
224,31996
225,31942
226,31171
227,31572
228,31221
229,30905
230,30667
231,30423
232,29956
233,29874
234,29632
235,28538
236,28275
237,27799
238,27609
239,27132
240,26831
241,26378
242,25989
243,25158
244,24713
245,24585
246,24449
247,23816
248,23642
249,23493
250,23209
251,22999
252,22523
253,22644
254,22061
255,22051
256,21237
257,21067
258,20488
259,20253
260,20244
261,20090
262,20086
263,19441
264,19280
265,18871
266,18386
267,18246
268,18028
269,17996
270,17316
271,17178
272,17108
273,16923
274,16668
275,16219
276,16334
277,16128
278,15850
279,15758
280,15475
281,15638
282,15220
283,15299
284,15157
285,14880
286,14661
287,14638
288,14600
289,14543
290,14167
291,13981
292,13942
293,13476
294,13407
295,13362
296,13172
297,13394
298,13284
299,13555
300,13157
301,13118
302,12737
303,12670
304,12418
305,12659
306,12474
307,12593
308,12213
309,12240
310,12209
311,12268
312,12188
313,12032
314,12011
315,11818
316,11774
317,11472
318,11373
319,11231
320,11235
321,11100
322,11238
323,11175
324,11017
325,10765
326,10789
327,10588
328,10488
329,10683
330,10323
331,10481
332,10384
333,10341
334,9956
335,10198
336,9714
337,9895
338,9700
339,9842
340,9863
341,9779
342,9753
343,9599
344,9503
345,9519
346,9407
347,9315
348,9333
349,9339
350,9190
351,9112
352,9051
353,9005
354,8809
355,8808
356,8873
357,8611
358,8557
359,8451
360,8509
361,8485
362,8389
363,8535
364,7970
365,8186
366,8011
367,7891
368,8020
369,8059
370,7892
371,7925
372,7827
373,7811
374,7485
375,7674
376,7756
377,7508
378,7287
379,7476
380,7576
381,7347
382,7359
383,7389
384,7470
385,7563
386,7543
387,7403
388,7533
389,7254
390,7445
391,7330
392,7287
393,7336
394,7146
395,7211
396,7072
397,7080
398,6961
399,6941
400,6826
401,6859
402,6780
403,6728
404,6787
405,6761
406,6811
407,6499
408,6617
409,6534
410,6587
411,6670
412,6498
413,6485
414,6298
415,6501
416,6406
417,6375
418,6407
419,6266
420,6152
421,5990
422,5876
423,6029
424,5985
425,5794
426,5914
427,5956
428,5964
429,5844
430,5677
431,5827
432,5810
433,5800
434,5634
435,5622
436,5606
437,5550
438,5354
439,5491
440,5446
441,5390
442,5269
443,5113
444,5262
445,5259
446,5172
447,4993
448,5019
449,5218
450,5053
451,5051
452,4889
453,4794
454,4943
455,4765
456,4807
457,4665
458,4734
459,4667
460,4755
461,4523
462,4665
463,4521
464,4600
465,4439
466,4452
467,4402
468,4348
469,4188
470,4322
471,4139
472,4225
473,4098
474,3990
475,3952
476,3740
477,3723
478,3712
479,3676
480,3563
481,3570
482,3471
483,3435
484,3421
485,3255
486,3259
487,3288
488,3351
489,3167
490,3084
491,3043
492,2877
493,2995
494,3005
495,2900
496,2969
497,2776
498,2763
499,2752
500,2824
501,2743
502,2833
503,2726
504,2668
505,2637
506,2692
507,2616
508,2526
509,2508
510,2344
511,2412
512,2263
513,2333
514,2286
515,2253
516,2256
517,2215
518,2283
519,2255
520,2089
521,2134
522,2093
523,2145
524,2089
525,2078
526,2207
527,2104
528,1994
529,1977
530,1906
531,1978
532,1873
533,1911
534,1912
535,1926
536,1861
537,1882
538,1871
539,1836
540,1895
541,1863
542,1759
543,1785
544,1821
545,1829
546,1786
547,1846
548,1814
549,1786
550,1727
551,1738
552,1726
553,1697
554,1652
555,1605
556,1563
557,1575
558,1487
559,1513
560,1579
561,1576
562,1579
563,1514
564,1551
565,1577
566,1574
567,1559
568,1548
569,1569
570,1445
571,1508
572,1505
573,1474
574,1496
575,1491
576,1474
577,1453
578,1363
579,1445
580,1388
581,1369
582,1295
583,1408
584,1363
585,1307
586,1318
587,1284
588,1333
589,1328
590,1328
591,1364
592,1327
593,1334
594,1261
595,1312
596,1286
597,1398
598,1291
599,1271
600,1317
601,1383
602,1330
603,1301
604,1269
605,1266
606,1281
607,1246
608,1281
609,1293
610,1225
611,1304
612,1201
613,1307
614,1171
615,1222
616,1167
617,1136
618,1220
619,1174
620,1197
621,1116
622,1162
623,1155
624,1124
625,1192
626,1187
627,1160
628,1169
629,1184
630,1219
631,1214
632,1145
633,1091
634,1094
635,1039
636,1024
637,1104
638,1118
639,1159
640,1077
641,1096
642,1091
643,1096
644,1084
645,1098
646,1073
647,1082
648,1034
649,1061
650,1035
651,1047
652,1112
653,1052
654,1018
655,975
656,1006
657,1027
658,933
659,1053
660,1029
661,1044
662,979
663,993
664,983
665,921
666,951
667,960
668,974
669,956
670,961
671,992
672,944
673,946
674,926
675,900
676,944
677,950
678,944
679,966
680,949
681,920
682,905
683,957
684,885
685,904
686,911
687,939
688,908
689,903
690,914
691,859
692,901
693,822
694,811
695,823
696,818
697,760
698,782
699,784
700,823
701,815
702,827
703,813
704,841
705,765
706,807
707,819
708,729
709,819
710,797
711,810
712,758
713,818
714,792
715,759
716,809
717,771
718,828
719,729
720,780
721,750
722,773
723,709
724,690
725,762
726,783
727,759
728,839
729,732
730,736
731,741
732,676
733,678
734,687
735,646
736,701
737,691
738,625
739,667
740,647
741,675
742,639
743,655
744,640
745,682
746,637
747,674
748,580
749,711
750,669
751,688
752,631
753,654
754,622
755,623
756,649
757,618
758,598
759,636
760,626
761,581
762,631
763,616
764,602
765,573
766,516
767,550
768,554
769,583
770,598
771,595
772,597
773,566
774,572
775,585
776,557
777,633
778,530
779,552
780,602
781,584
782,534
783,543
784,536
785,519
786,525
787,528
788,499
789,524
790,529
791,495
792,505
