##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Eugene_B
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10043985
Sequences flagged as poor quality	0
Sequence length	25-151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.759644005840315	37.0	37.0	37.0	37.0	37.0
2	36.05703732134208	37.0	37.0	37.0	37.0	37.0
3	36.18095636343543	37.0	37.0	37.0	37.0	37.0
4	36.18643785310313	37.0	37.0	37.0	37.0	37.0
5	36.23357422377672	37.0	37.0	37.0	37.0	37.0
6	36.259018507096535	37.0	37.0	37.0	37.0	37.0
7	36.254762128776576	37.0	37.0	37.0	37.0	37.0
8	36.25509128100052	37.0	37.0	37.0	37.0	37.0
9	36.23866971127496	37.0	37.0	37.0	37.0	37.0
10-14	36.239611130442746	37.0	37.0	37.0	37.0	37.0
15-19	36.2174948688195	37.0	37.0	37.0	37.0	37.0
20-24	36.18778269780371	37.0	37.0	37.0	37.0	37.0
25-29	36.104064386155045	37.0	37.0	37.0	37.0	37.0
30-34	36.068318703812146	37.0	37.0	37.0	37.0	37.0
35-39	36.04351318844785	37.0	37.0	37.0	37.0	37.0
40-44	35.98909243984515	37.0	37.0	37.0	37.0	37.0
45-49	35.9617645696046	37.0	37.0	37.0	37.0	37.0
50-54	35.917106183316456	37.0	37.0	37.0	37.0	37.0
55-59	35.889295816439216	37.0	37.0	37.0	37.0	37.0
60-64	35.8621699112883	37.0	37.0	37.0	37.0	37.0
65-69	35.826215864084354	37.0	37.0	37.0	37.0	37.0
70-74	35.78792704500184	37.0	37.0	37.0	37.0	37.0
75-79	35.73081876557785	37.0	37.0	37.0	37.0	37.0
80-84	35.69143976887672	37.0	37.0	37.0	37.0	37.0
85-89	35.65442521064752	37.0	37.0	37.0	37.0	37.0
90-94	35.590123336044556	37.0	37.0	37.0	37.0	37.0
95-99	35.5773791055356	37.0	37.0	37.0	37.0	37.0
100-104	35.52827910494533	37.0	37.0	37.0	37.0	37.0
105-109	35.491331752969074	37.0	37.0	37.0	37.0	37.0
110-114	35.452754602344996	37.0	37.0	37.0	37.0	37.0
115-119	35.409434865289185	37.0	37.0	37.0	37.0	37.0
120-124	35.341215828442046	37.0	37.0	37.0	37.0	37.0
125-129	35.269117566421876	37.0	37.0	37.0	32.2	37.0
130-134	35.253298698057534	37.0	37.0	37.0	34.6	37.0
135-139	35.196310813539434	37.0	37.0	37.0	25.0	37.0
140-144	35.16297634789312	37.0	37.0	37.0	25.0	37.0
145-149	35.23059734552775	37.0	37.0	37.0	29.8	37.0
150-151	35.973723733036294	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.0743514867706665
1101	2	-0.19822482664685026
1101	3	-0.3377735898168268
1101	4	-0.17408137586076577
1101	5	-0.055868501856160435
1101	6	-0.05123241163600767
1101	7	-0.07523987357709672
1101	8	-0.06919209227958589
1101	9	-0.027848875337390666
1101	10-14	-0.05709838127157241
1101	15-19	-0.18341062230664562
1101	20-24	-0.10649841367592217
1101	25-29	-0.023165048542665545
1101	30-34	-0.10400495572095991
1101	35-39	-0.10743188211544208
1101	40-44	-0.12292067150694663
1101	45-49	-0.13470404451638274
1101	50-54	-0.15506416587442118
1101	55-59	-0.18228074122148286
1101	60-64	-0.17931712894129248
1101	65-69	-0.11004947364889972
1101	70-74	-0.2382228321955111
1101	75-79	-0.1175819392780113
1101	80-84	0.009504505379211992
1101	85-89	-0.038135564061676064
1101	90-94	-0.17544168750531952
1101	95-99	-0.16328756281923518
1101	100-104	-0.1194722182039385
1101	105-109	0.007207647573579834
1101	110-114	-0.09174415524319812
1101	115-119	-0.1581015002757198
1101	120-124	-0.14804276271922134
1101	125-129	-0.030582996033068355
1101	130-134	-0.2015036606149394
1101	135-139	-0.1168426962252056
1101	140-144	-0.0071568583133228
1101	145-149	-0.0818953009841934
1101	150-151	0.1455089667660161
1102	1	-0.5064417000410941
1102	2	0.0520749354878447
1102	3	-0.2848728645544938
1102	4	-0.2692825891682631
1102	5	-0.1699271839397838
1102	6	-0.12771550505161144
1102	7	-0.06544008227636056
1102	8	-0.111466654950938
1102	9	0.04460282245052127
1102	10-14	-0.14999742138461158
1102	15-19	-0.042833523485604985
1102	20-24	-0.15575338324601518
1102	25-29	-0.13719746400654742
1102	30-34	-0.18846105544169234
1102	35-39	-0.07979808859955995
1102	40-44	-0.1225148373227114
1102	45-49	-0.15460082617557447
1102	50-54	-0.09005261375517648
1102	55-59	-0.15006957537202226
1102	60-64	-0.22467926036733843
1102	65-69	-0.18135814472888256
1102	70-74	-0.21646860827587489
1102	75-79	-0.1276854585146765
1102	80-84	-0.1265025271929403
1102	85-89	-0.24182150603832042
1102	90-94	-0.1719635363524432
1102	95-99	-0.1184803442316067
1102	100-104	-0.1529146452469874
1102	105-109	-0.008770714662276191
1102	110-114	0.008388118535414435
1102	115-119	-0.09239636956766617
1102	120-124	-0.03150706714831841
1102	125-129	-0.14799314872606573
1102	130-134	-0.01763384504186405
1102	135-139	-0.12566567517721694
1102	140-144	-0.002582549260488065
1102	145-149	-0.1289897653250236
1102	150-151	-0.03363725645408522
1103	1	-0.12800458391145497
1103	2	-0.06863415321235777
1103	3	-0.10735096285230128
1103	4	-0.25453521804745805
1103	5	-0.05607207939205949
1103	6	-0.0015934224663354257
1103	7	-0.0019858902433114167
1103	8	0.10376059630107193
1103	9	-0.007687913365678867
1103	10-14	-0.07364923494004216
1103	15-19	-0.08167614170080384
1103	20-24	-0.06152949317974077
1103	25-29	-0.18256283491114544
1103	30-34	-0.1288433838465295
1103	35-39	-0.1419220791520175
1103	40-44	-0.16583347793572045
1103	45-49	-0.03470154242329215
1103	50-54	-0.02759492270739372
1103	55-59	-0.07427565810676384
1103	60-64	-0.0747202479979805
1103	65-69	-0.12466907374545144
1103	70-74	-0.08828071773504576
1103	75-79	0.030040358906568088
1103	80-84	-0.017879624326468502
1103	85-89	-0.005060905149946393
1103	90-94	0.010339871215542473
1103	95-99	0.010418097642023838
1103	100-104	-0.06914673787010628
1103	105-109	0.0614905473001599
1103	110-114	0.01810026665494746
1103	115-119	0.07445433063662676
1103	120-124	0.13544503052631995
1103	125-129	0.06751667867612099
1103	130-134	0.18262670874410247
1103	135-139	0.234180823233487
1103	140-144	0.1581441238758785
1103	145-149	0.015842886110817744
1103	150-151	0.10904700839822112
1104	1	-0.19400213593103643
1104	2	-0.1327240290647822
1104	3	-0.2634691653352519
1104	4	-0.027757809409585832
1104	5	-0.22067078545955354
1104	6	-0.44043063176866326
1104	7	-0.025977846879086997
1104	8	-0.16499093368668838
1104	9	-0.15055729612490154
1104	10-14	-0.08631473590174465
1104	15-19	-0.15616958461039587
1104	20-24	-0.20027962432154567
1104	25-29	-0.12812013207889805
1104	30-34	-0.13970084562452456
1104	35-39	-0.148041545546846
1104	40-44	-0.13666774155326777
1104	45-49	-0.16746583592777853
1104	50-54	-0.1136628156479631
1104	55-59	-0.10893597432279023
1104	60-64	-0.14442579259581123
1104	65-69	-0.08643287975338865
1104	70-74	-0.08708547610984851
1104	75-79	-0.14682350723140303
1104	80-84	-0.024673565329976554
