##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Eugene_T
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10028842
Sequences flagged as poor quality	0
Sequence length	25-151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.82701153333555	37.0	37.0	37.0	37.0	37.0
2	36.10483932242626	37.0	37.0	37.0	37.0	37.0
3	36.215310900301354	37.0	37.0	37.0	37.0	37.0
4	36.22487840570227	37.0	37.0	37.0	37.0	37.0
5	36.26490725449658	37.0	37.0	37.0	37.0	37.0
6	36.289565136234074	37.0	37.0	37.0	37.0	37.0
7	36.2831289993401	37.0	37.0	37.0	37.0	37.0
8	36.28079612780817	37.0	37.0	37.0	37.0	37.0
9	36.26078963054758	37.0	37.0	37.0	37.0	37.0
10-14	36.257731251524355	37.0	37.0	37.0	37.0	37.0
15-19	36.24206561435508	37.0	37.0	37.0	37.0	37.0
20-24	36.21316383287323	37.0	37.0	37.0	37.0	37.0
25-29	36.130123460163894	37.0	37.0	37.0	37.0	37.0
30-34	36.09573929990957	37.0	37.0	37.0	37.0	37.0
35-39	36.07042198254031	37.0	37.0	37.0	37.0	37.0
40-44	36.016807207675015	37.0	37.0	37.0	37.0	37.0
45-49	35.99073816239925	37.0	37.0	37.0	37.0	37.0
50-54	35.94731035374044	37.0	37.0	37.0	37.0	37.0
55-59	35.9198996612172	37.0	37.0	37.0	37.0	37.0
60-64	35.89471549818724	37.0	37.0	37.0	37.0	37.0
65-69	35.86099752345932	37.0	37.0	37.0	37.0	37.0
70-74	35.82346731693953	37.0	37.0	37.0	37.0	37.0
75-79	35.769722448213166	37.0	37.0	37.0	37.0	37.0
80-84	35.732629179211166	37.0	37.0	37.0	37.0	37.0
85-89	35.69727229199702	37.0	37.0	37.0	37.0	37.0
90-94	35.63570503112958	37.0	37.0	37.0	37.0	37.0
95-99	35.62298849656524	37.0	37.0	37.0	37.0	37.0
100-104	35.57422386334627	37.0	37.0	37.0	37.0	37.0
105-109	35.54112523159282	37.0	37.0	37.0	37.0	37.0
110-114	35.503425517087464	37.0	37.0	37.0	37.0	37.0
115-119	35.46222671289344	37.0	37.0	37.0	37.0	37.0
120-124	35.39640365452596	37.0	37.0	37.0	37.0	37.0
125-129	35.32759457487454	37.0	37.0	37.0	37.0	37.0
130-134	35.31247513194106	37.0	37.0	37.0	37.0	37.0
135-139	35.256985353593265	37.0	37.0	37.0	32.2	37.0
140-144	35.225908894113545	37.0	37.0	37.0	27.4	37.0
145-149	35.28883181940263	37.0	37.0	37.0	29.8	37.0
150-151	36.000714997247954	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.13932593998489295
1101	2	-0.16163049920597672
1101	3	-0.19200904455898637
1101	4	-0.19479000576876615
1101	5	-0.12962086038988474
1101	6	-0.08370918084522572
1101	7	-0.06372037631840044
1101	8	-0.18098561679324376
1101	9	0.004645888461155323
1101	10-14	-0.11323175721735623
1101	15-19	-0.29592403992818106
1101	20-24	-0.15247778203173823
1101	25-29	-0.20770880034344685
1101	30-34	-0.2375588676196685
1101	35-39	-0.10349596467835198
1101	40-44	-0.21847003832036194
1101	45-49	-0.24629135296061122
1101	50-54	-0.24680468276230982
1101	55-59	-0.22649037302561226
1101	60-64	-0.22877590504962342
1101	65-69	-0.27915140154974694
1101	70-74	-0.28662889039334516
1101	75-79	-0.32666011212140234
1101	80-84	-0.2296564269284147
1101	85-89	-0.26005875884295193
1101	90-94	-0.26961003857157806
1101	95-99	-0.29065704540591497
1101	100-104	-0.254786790559308
1101	105-109	-0.16116418903533258
1101	110-114	-0.16353514153267668
1101	115-119	-0.13135512909141767
1101	120-124	-0.3278806665725611
1101	125-129	-0.17059987817832933
1101	130-134	-0.20238556020365195
1101	135-139	-0.1700943790343743
1101	140-144	-0.16299969529720926
1101	145-149	-0.2624193377115134
1101	150-151	-0.0226385530530564
1102	1	-0.2660924548447454
1102	2	-0.07580487358974608
1102	3	-0.16067737014547845
1102	4	-0.12267394398183029
1102	5	-0.146585663119275
1102	6	-0.04614873199786729
1102	7	0.12339325968954995
1102	8	0.06544222801950639
1102	9	-0.040144946789325786
1102	10-14	-0.1562635114468165
1102	15-19	-0.04717996743651298
1102	20-24	0.01780877289260019
1102	25-29	0.0042711661443206594
1102	30-34	-0.08358161269313769
1102	35-39	-0.06581092376711695
1102	40-44	-0.16413371848481262
1102	45-49	-0.07219188694658385
1102	50-54	0.03463170699813389
1102	55-59	-0.07129112812428673
1102	60-64	0.02688084869555496
1102	65-69	-0.04850071351995666
1102	70-74	0.013430960819427185
1102	75-79	-0.031240433694442515
1102	80-84	0.02414381781630226
1102	85-89	-0.011682885482215966
1102	90-94	-0.055249755146029145
1102	95-99	-0.03777149973877414
1102	100-104	0.03704196744909183
1102	105-109	0.07268619160331724
1102	110-114	0.09453031107440779
1102	115-119	0.008883886298157506
1102	120-124	0.07506838577187835
1102	125-129	0.14859484610121143
1102	130-134	0.09066382247895888
1102	135-139	0.050862279491006746
1102	140-144	0.24752458744553252
1102	145-149	0.055777636105879935
1102	150-151	0.09426468210088501
1103	1	-0.48302296731362304
1103	2	-0.437413977934213
1103	3	-0.08263038384593102
1103	4	-0.027499725866341862
1103	5	-0.3456167121559801
1103	6	-0.26348033890534595
1103	7	-0.2508594730783642
1103	8	-0.3152330086428563
1103	9	-0.10173873964485125
1103	10-14	-0.16269600109491478
1103	15-19	-0.22651278594877056
1103	20-24	-0.1971901619603429
1103	25-29	-0.20332166807884988
1103	30-34	-0.2799451340693011
1103	35-39	-0.11873592452229076
1103	40-44	-0.2357811580890541
1103	45-49	-0.2227350301394324
1103	50-54	-0.1834611661316572
1103	55-59	-0.14455088959922335
1103	60-64	-0.2438230469251934
1103	65-69	-0.178314361751724
1103	70-74	-0.2959030829984073
1103	75-79	-0.2441057042767696
1103	80-84	-0.33969504376282345
1103	85-89	-0.2770065132610853
1103	90-94	-0.22172642538254905
1103	95-99	-0.28781852659909646
1103	100-104	-0.2914637223351022
1103	105-109	-0.2606907627600492
1103	110-114	-0.08283260090504285
1103	115-119	-0.31873006980006835
1103	120-124	-0.05487749511905804
1103	125-129	-0.12312288749620137
1103	130-134	-0.28454182621076285
1103	135-139	-0.11994701423693499
1103	140-144	-0.16473061903315767
1103	145-149	-0.010248172959506974
1103	150-151	0.050289368902745935
1104	1	-0.21823480052425737
1104	2	-0.1258802787172968
1104	3	-0.1944652677225136
1104	4	-0.2727945521831856
1104	5	-0.08318615195251766
1104	6	0.19732382413595673
1104	7	0.05202520666194488
1104	8	-0.06543547166407393
1104	9	0.06509580958210393
1104	10-14	-0.076083659216863
1104	15-19	-0.00882119904026979
1104	20-24	-0.04982686633086786
1104	25-29	-0.07501934561047818
1104	30-34	-0.012136754442778397
1104	35-39	-0.03382263095820548
1104	40-44	-0.036339648181787254
1104	45-49	-0.05634803074707406
1104	50-54	-0.16287147991398854
1104	55-59	-0.05131292707725521
1104	60-64	-0.06416632273292322
1104	65-69	0.03458923405217007
1104	70-74	-0.0011001556186158723
1104	75-79	-0.092325616060009
1104	80-84	-0.00987462788381066
1104	85-89	-0.0016441944204999004
1104	90-94	-0.09209784327772041
1104	95-99	-0.15135856267529846
1104	100-104	0.043575542766696174
1104	105-109	-0.012568217618238009
1104	110-114	0.01035282234395396
1104	115-119	-0.03834627936855384
1104	120-124	-0.07878936292670602
1104	125-129	-0.008091155206024325
1104	130-134	0.06018818874104426
1104	135-139	-0.024232532052103295
1104	140-144	0.034444108619638314
1104	145-149	-0.23542028063963727
1104	150-151	0.09581609097692478
1105	1	-0.3767652649995057
1105	2	-0.3135504971728835
1105	3	-0.35270774931218085
1105	4	-0.16471046118059718
1105	5	-0.2176247910276814
1105	6	-0.08045623922028255
1105	7	-0.10823315512683962
1105	8	-0.20272102726534058
1105	9	-0.11909804404030666
1105	10-14	-0.19249950650365122
1105	15-19	-0.11704681306091658
1105	20-24	-0.20112484633663286
1105	25-29	-0.2301490929883201
1105	30-34	-0.11221435883118147
1105	35-39	-0.18325797306540892
1105	40-44	-0.13676948379171705
1105	45-49	-0.07801447936976302
1105	50-54	-0.1202050698404804
1105	55-59	-0.297739071588623
1105	60-64	-0.10328078164842935
1105	65-69	-0.10068731794311248
1105	70-74	-0.12128260317957995
1105	75-79	-0.20138133470914
1105	80-84	-0.07907803573253602
1105	85-89	-0.19073584577792246
1105	90-94	-0.13864703171645942
1105	95-99	-0.10775992411608115
1105	100-104	-0.18588287046102892
1105	105-109	-0.02663464775874047
1105	110-114	0.020191849012064722
1105	115-119	-0.10976412733302254
1105	120-124	0.12061217083617493
1105	125-129	-0.018192216346342605
1105	130-134	-0.0982271292543544
1105	135-139	-0.009421291266768606
1105	140-144	-0.026489088442687603
1105	145-149	-0.22826876864510126
1105	150-151	0.20443272462081552
1106	1	-0.304405337846795
1106	2	-0.23113815759509038
1106	3	0.06170096500162714
1106	4	-0.1833224296818443
1106	5	0.11392099075536777
1106	6	-0.057541834781041246
1106	7	-0.1399832855166423
1106	8	-0.19497630057091442
1106	9	0.0034221984419744444
1106	10-14	0.03908064688605606
1106	15-19	-0.055231958028720385
1106	20-24	-0.05573260816363046
1106	25-29	-0.002423433251124152
1106	30-34	-0.03666155197975485
