##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	PRJ180493_E201-B01-D
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10059969
Sequences flagged as poor quality	0
Sequence length	25-151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.729320835879314	37.0	37.0	37.0	37.0	37.0
2	36.04985313573034	37.0	37.0	37.0	37.0	37.0
3	36.18423694943792	37.0	37.0	37.0	37.0	37.0
4	36.181680579731406	37.0	37.0	37.0	37.0	37.0
5	36.229865519466316	37.0	37.0	37.0	37.0	37.0
6	36.247388436286435	37.0	37.0	37.0	37.0	37.0
7	36.24472371634545	37.0	37.0	37.0	37.0	37.0
8	36.250583674760826	37.0	37.0	37.0	37.0	37.0
9	36.23768860520345	37.0	37.0	37.0	37.0	37.0
10-14	36.23583032909942	37.0	37.0	37.0	37.0	37.0
15-19	36.203804842738585	37.0	37.0	37.0	37.0	37.0
20-24	36.16899111716945	37.0	37.0	37.0	37.0	37.0
25-29	36.10460213875945	37.0	37.0	37.0	37.0	37.0
30-34	36.045892706939114	37.0	37.0	37.0	37.0	37.0
35-39	36.01635518652014	37.0	37.0	37.0	37.0	37.0
40-44	35.964643558819596	37.0	37.0	37.0	37.0	37.0
45-49	35.92934982236768	37.0	37.0	37.0	37.0	37.0
50-54	35.886355977707474	37.0	37.0	37.0	37.0	37.0
55-59	35.850810397532854	37.0	37.0	37.0	37.0	37.0
60-64	35.798997971952474	37.0	37.0	37.0	37.0	37.0
65-69	35.76445360244133	37.0	37.0	37.0	37.0	37.0
70-74	35.71553964123753	37.0	37.0	37.0	37.0	37.0
75-79	35.6644618246393	37.0	37.0	37.0	37.0	37.0
80-84	35.608647655737556	37.0	37.0	37.0	37.0	37.0
85-89	35.562884953849625	37.0	37.0	37.0	37.0	37.0
90-94	35.50957803886039	37.0	37.0	37.0	37.0	37.0
95-99	35.470805728451204	37.0	37.0	37.0	37.0	37.0
100-104	35.42655324307954	37.0	37.0	37.0	37.0	37.0
105-109	35.37128132888773	37.0	37.0	37.0	37.0	37.0
110-114	35.29023740279084	37.0	37.0	37.0	37.0	37.0
115-119	35.23432748419235	37.0	37.0	37.0	32.2	37.0
120-124	35.20728575333716	37.0	37.0	37.0	32.2	37.0
125-129	35.094053637275834	37.0	37.0	37.0	25.0	37.0
130-134	35.049088218623076	37.0	37.0	37.0	25.0	37.0
135-139	34.98105057841568	37.0	37.0	37.0	25.0	37.0
140-144	34.94943663622109	37.0	37.0	37.0	25.0	37.0
145-149	35.10199049069117	37.0	37.0	37.0	27.4	37.0
150-151	35.84572529642456	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.052102207937871015
1101	2	-0.1781190519097322
1101	3	-0.13157835170164134
1101	4	-0.23106688298909006
1101	5	-0.08144358906014304
1101	6	-0.19021331259831697
1101	7	-0.3593616069388048
1101	8	0.07556343104126029
1101	9	-0.2769048731254884
1101	10-14	-0.1146267173322002
1101	15-19	-0.1828064772460678
1101	20-24	-0.25254518305052187
1101	25-29	-0.23950388171853376
1101	30-34	-0.20489829891717903
1101	35-39	-0.19409554679013752
1101	40-44	-0.14489159073139035
1101	45-49	-0.17704176134632377
1101	50-54	-0.033163827645850574
1101	55-59	-0.2582087814598779
1101	60-64	-0.22444577282754352
1101	65-69	-0.11650066302398443
1101	70-74	-0.23808347336569113
1101	75-79	-0.1802900204248985
1101	80-84	-0.0881448782646359
1101	85-89	-0.17402113008299835
1101	90-94	-0.16652629140837405
1101	95-99	-0.1737262009407914
1101	100-104	-0.10230996755177557
1101	105-109	-0.30048704438552676
1101	110-114	-0.1405348339026915
1101	115-119	-0.13431437530447
1101	120-124	-0.2607224699933752
1101	125-129	-0.17852018366161104
1101	130-134	-0.09412593611417464
1101	135-139	-0.09675713055712265
1101	140-144	-0.045895457199193856
1101	145-149	-0.08933769850294482
1101	150-151	0.009578001552782212
1102	1	-0.18771981831785922
1102	2	-0.3785896194745675
1102	3	-0.04133785424450309
1102	4	-0.5219689251071813
1102	5	-0.25823872601937126
1102	6	-0.2946033031067543
1102	7	-0.3465737805828155
1102	8	-0.253860601134555
1102	9	-0.20982034857252074
1102	10-14	-0.3379763410118386
1102	15-19	-0.30217747508229564
1102	20-24	-0.419893065019032
1102	25-29	-0.41884183014211374
1102	30-34	-0.38798106702368074
1102	35-39	-0.4691231680066821
1102	40-44	-0.3074958196675297
1102	45-49	-0.3702737121565889
1102	50-54	-0.41720968587855367
1102	55-59	-0.45022367849936273
1102	60-64	-0.43216392047778385
1102	65-69	-0.2055659328940891
1102	70-74	-0.48095161912966944
1102	75-79	-0.4447567232706078
1102	80-84	-0.40225235598109776
1102	85-89	-0.41117482433087815
1102	90-94	-0.33536930001390886
1102	95-99	-0.34947537411508733
1102	100-104	-0.3526021755868314
1102	105-109	-0.3025439437087769
1102	110-114	-0.2383871035383649
1102	115-119	-0.3894729006066697
1102	120-124	-0.2508626376845555
1102	125-129	-0.24759425141586888
1102	130-134	-0.2449258343545253
1102	135-139	-0.33958219011113755
1102	140-144	-0.28266346076961923
1102	145-149	-0.3260164515192656
1102	150-151	0.015906909596694163
1103	1	-0.44266489533053033
1103	2	-0.35099090201501326
1103	3	-0.3362507561819257
1103	4	-0.30633121377695716
1103	5	-0.16219991957632374
1103	6	-0.21658655510988467
1103	7	-0.2715090176452932
1103	8	-0.34226842579155203
1103	9	-0.445798419540651
1103	10-14	-0.35382691657083143
1103	15-19	-0.3264038340999065
1103	20-24	-0.3641628001436388
1103	25-29	-0.4428619567065226
1103	30-34	-0.5347697947396881
1103	35-39	-0.4657659097945981
1103	40-44	-0.31281374078056245
1103	45-49	-0.38660801140507317
1103	50-54	-0.361291344709592
1103	55-59	-0.3748238663063006
1103	60-64	-0.5462702841064058
1103	65-69	-0.7161349138428221
1103	70-74	-0.5791958161171777
1103	75-79	-0.5979088338145431
1103	80-84	-0.6101435528298964
1103	85-89	-0.6203457492189131
1103	90-94	-0.46221642879845604
1103	95-99	-0.6053279217353165
1103	100-104	-0.32861279138465704
1103	105-109	-0.43452632141747216
1103	110-114	-0.29389129647988455
1103	115-119	-0.29832355304017
1103	120-124	-0.2770663884140063
