##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	PRJ180506_E194-T01-D
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10033899
Sequences flagged as poor quality	0
Sequence length	25-151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.886399295029776	37.0	37.0	37.0	37.0	37.0
2	36.13744946007529	37.0	37.0	37.0	37.0	37.0
3	36.243939170605564	37.0	37.0	37.0	37.0	37.0
4	36.248174114569025	37.0	37.0	37.0	37.0	37.0
5	36.28542772854301	37.0	37.0	37.0	37.0	37.0
6	36.30516252954111	37.0	37.0	37.0	37.0	37.0
7	36.29969855187898	37.0	37.0	37.0	37.0	37.0
8	36.300132879551605	37.0	37.0	37.0	37.0	37.0
9	36.281804610550694	37.0	37.0	37.0	37.0	37.0
10-14	36.28865903473814	37.0	37.0	37.0	37.0	37.0
15-19	36.26997112488375	37.0	37.0	37.0	37.0	37.0
20-24	36.24443058476072	37.0	37.0	37.0	37.0	37.0
25-29	36.163705873153184	37.0	37.0	37.0	37.0	37.0
30-34	36.13237607493189	37.0	37.0	37.0	37.0	37.0
35-39	36.107298775676085	37.0	37.0	37.0	37.0	37.0
40-44	36.0568541991264	37.0	37.0	37.0	37.0	37.0
45-49	36.03307166752758	37.0	37.0	37.0	37.0	37.0
50-54	35.98925561843292	37.0	37.0	37.0	37.0	37.0
55-59	35.96375943424938	37.0	37.0	37.0	37.0	37.0
60-64	35.93821553004217	37.0	37.0	37.0	37.0	37.0
65-69	35.90497895649747	37.0	37.0	37.0	37.0	37.0
70-74	35.86898934642501	37.0	37.0	37.0	37.0	37.0
75-79	35.81680871797911	37.0	37.0	37.0	37.0	37.0
80-84	35.778176136448806	37.0	37.0	37.0	37.0	37.0
85-89	35.74247868171741	37.0	37.0	37.0	37.0	37.0
90-94	35.68468111707572	37.0	37.0	37.0	37.0	37.0
95-99	35.66984593042871	37.0	37.0	37.0	37.0	37.0
100-104	35.6267030281588	37.0	37.0	37.0	37.0	37.0
105-109	35.588963745354995	37.0	37.0	37.0	37.0	37.0
110-114	35.55439407423991	37.0	37.0	37.0	37.0	37.0
115-119	35.51207074426995	37.0	37.0	37.0	37.0	37.0
120-124	35.448830719185324	37.0	37.0	37.0	37.0	37.0
125-129	35.381455817894526	37.0	37.0	37.0	37.0	37.0
130-134	35.36405561069061	37.0	37.0	37.0	37.0	37.0
135-139	35.310118878272895	37.0	37.0	37.0	37.0	37.0
140-144	35.276930664983034	37.0	37.0	37.0	34.6	37.0
145-149	35.33334929171271	37.0	37.0	37.0	29.8	37.0
150-151	36.01910524443328	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.11545574844361539
1101	2	-0.1926330092599997
1101	3	-0.027488561936436895
1101	4	-0.27913288880144194
1101	5	-0.2624396823141737
1101	6	-0.17026458529225152
1101	7	-0.011550944610696945
1101	8	-0.07525790313690095
1101	9	-0.11562148429750607
1101	10-14	-0.10826326803324804
1101	15-19	-0.21619060075871488
1101	20-24	-0.1109165732370343
1101	25-29	-0.0220311575130836
1101	30-34	-0.12832482889573527
1101	35-39	-0.12903938110267177
1101	40-44	-0.08708517049544184
1101	45-49	-0.1976767706291085
1101	50-54	-0.18229835652104498
1101	55-59	-0.17883061100702946
1101	60-64	-0.303105807418504
1101	65-69	-0.2289021820102235
1101	70-74	-0.1302208093296784
1101	75-79	-0.1913256247852715
1101	80-84	-0.15481014678438498
1101	85-89	-0.23458268122137582
1101	90-94	-0.31897273223966494
1101	95-99	-0.2583838178803859
1101	100-104	-0.21120095914253056
1101	105-109	-0.18175780352369486
1101	110-114	-0.09826177532071512
1101	115-119	-0.1277456582056402
1101	120-124	-0.18289148739890493
1101	125-129	-0.17989246081083365
1101	130-134	-0.22768454028810936
1101	135-139	-0.3261489191273341
1101	140-144	-0.14010498191672127
1101	145-149	-0.09672752337722557
1101	150-151	-0.022802033383378273
1102	1	-0.14968535416263506
1102	2	-0.27592043046295345
1102	3	-0.2660716516256443
1102	4	-0.2818369161121197
1102	5	-0.24327826878389658
1102	6	0.002387558494397979
1102	7	0.045865695297365505
1102	8	0.10008136778973409
1102	9	-0.1012056386974649
1102	10-14	-0.23463530839085678
1102	15-19	-0.20962454644156026
1102	20-24	-0.16852249505685535
1102	25-29	-0.07609102892953956
1102	30-34	-0.19403170166053485
1102	35-39	-0.06399279240076083
1102	40-44	-0.17016151293208281
1102	45-49	-0.18166353013351966
1102	50-54	-0.08083561537289796
1102	55-59	-0.13862016799491528
1102	60-64	-0.14454644622815493
1102	65-69	-0.10309916413648068
1102	70-74	-0.28635545327345113
1102	75-79	-0.11626959408369686
1102	80-84	-0.17528366066174073
1102	85-89	-0.0034165380830657455
1102	90-94	-0.11785786311011037
1102	95-99	-0.03282966858479597
1102	100-104	-0.1642235560690395
1102	105-109	-0.19555486849797177
1102	110-114	-0.0675180657703578
1102	115-119	-0.05256001906696639
1102	120-124	-0.1236657577344289
1102	125-129	-0.11239010733920907
1102	130-134	-0.2625373864834799
1102	135-139	-0.1541936339096992
1102	140-144	-0.17734975178001378
1102	145-149	-0.07258348172417328
1102	150-151	-0.01089301885571814
1103	1	-0.3452562129899519
1103	2	-0.052233938352671316
1103	3	0.01605076904368019
1103	4	-0.1336786758782793
1103	5	0.05563921740599653
1103	6	-0.0540914229022178
1103	7	-0.18963679423668367
1103	8	-0.2251929763852516
1103	9	0.09775891331026543
1103	10-14	-0.12200432917412485
1103	15-19	-0.09898519446356602
1103	20-24	-0.08885245121133067
1103	25-29	-0.07954711486260635
1103	30-34	-0.09712523806258844
1103	35-39	-0.05035726671938079
1103	40-44	-0.16039791156213568
1103	45-49	-0.21750150096405463
1103	50-54	-0.057809049029145854
1103	55-59	-0.1587288756582339
1103	60-64	-0.08139527748824094
1103	65-69	-0.053956843811761246
1103	70-74	-0.0721363290246444
1103	75-79	-0.02417258185110427
1103	80-84	-7.48618958603231E-4
1103	85-89	0.023440357255061883
1103	90-94	0.06171619792910121
1103	95-99	0.11949357749046641
1103	100-104	-0.09025698941925242
1103	105-109	0.07386339531045394
1103	110-114	0.042785296446737675
1103	115-119	0.007717322687440742
1103	120-124	0.03711541448060274
1103	125-129	0.11542341416284785
1103	130-134	0.040868812392858445
1103	135-139	0.009081437529076197
1103	140-144	0.09270566576145711
1103	145-149	-0.24233534874579732
1103	150-151	0.005261448166315574
1104	1	-0.15380365317680855
1104	2	-0.17347628416417393
1104	3	0.023865932227820963
1104	4	-0.1451047222137376
1104	5	0.05153594109768278
1104	6	0.14023974305952436
1104	7	0.06275888785409478
1104	8	0.0055121558665049974
1104	9	-0.05619601377767225
1104	10-14	-0.060831423423223896
1104	15-19	-0.09251085572232398
1104	20-24	-0.1926186275890842
1104	25-29	-0.12556188665731582
1104	30-34	-0.1052962382444349
1104	35-39	-0.09380004681422349
1104	40-44	-0.17780993822918845
1104	45-49	-0.10419898884715906
1104	50-54	-0.11966559874848315
1104	55-59	-0.1383853983246155
1104	60-64	-0.12813884410294918
1104	65-69	-0.050972621114702577
1104	70-74	-0.1227559154260831
1104	75-79	-0.12239207103014138
1104	80-84	-0.18016045506092127
1104	85-89	-0.11221928549775839
1104	90-94	-0.16348374143279187
1104	95-99	-0.1233028744408955
1104	100-104	-0.03553115354420555
1104	105-109	-0.031824159277931585
1104	110-114	-0.015660839887139844
1104	115-119	-0.048835741035723856
1104	120-124	-0.05908007793612313
1104	125-129	0.010457672730545653
1104	130-134	0.12167494468231155
1104	135-139	-0.02805087874331491
1104	140-144	-0.05743219236129704
1104	145-149	0.027087940703324875
1104	150-151	0.1237933490372356
1105	1	-0.07700682239016032
1105	2	-0.161349192240813
1105	3	-0.060215238440783025
1105	4	-0.035306031939661864
1105	5	-0.0059222204351812024
1105	6	-0.04729360644326164
1105	7	-0.099630957727598
1105	8	-0.017100828206586982
1105	9	-0.14875806406467973
1105	10-14	-0.08297387632968878
1105	15-19	-0.10967149926666764
1105	20-24	-0.09122482049068736
1105	25-29	-0.1068387995206237
1105	30-34	-0.031239745266141483
1105	35-39	-0.21977782012159963
1105	40-44	-0.12362187936181357
1105	45-49	-0.09178268924498667
1105	50-54	-0.2540388240398599
1105	55-59	-0.15700754887470936
1105	60-64	-0.21033931470273615
1105	65-69	-0.1645107809459958
1105	70-74	-0.12597447503279113
1105	75-79	-0.09903999850226342
1105	80-84	-0.22954188974475187
1105	85-89	-0.17077205604642387
1105	90-94	-0.16555723327402205
1105	95-99	-0.06210101671057089
1105	100-104	-0.20637976634291988
1105	105-109	-0.16869359096782688
1105	110-114	-0.10168023524276038
1105	115-119	-0.16248737857549145
1105	120-124	-0.2267412823388284
1105	125-129	-0.14434388173750534
1105	130-134	-0.053120607773237793
1105	135-139	-0.2109711838413304
1105	140-144	0.0024864337176921936
1105	145-149	-0.009734430795880655
1105	150-151	0.09867887562905509
1106	1	0.097250937393909
1106	2	-0.3056811760464839
1106	3	-0.2846416891830259
1106	4	0.01813526360689366
1106	5	-0.07140805039469456
1106	6	-0.11237457810317864
1106	7	-0.033908960426657586
1106	8	-0.224556968557458
1106	9	-0.16269193720908248
1106	10-14	-0.12300086688299672
1106	15-19	-0.09309929953657559
1106	20-24	-0.17736517136788166
1106	25-29	-0.13559496900852963
1106	30-34	-0.13194775934714187
1106	35-39	-0.26004991090033514
1106	40-44	-0.16452530458349202
1106	45-49	-0.20576989370206178
1106	50-54	-0.16056146015770167
1106	55-59	-0.12118699705358438
1106	60-64	-0.17439987953184044
1106	65-69	-0.12611711936413172
1106	70-74	-0.17604431530811837
1106	75-79	-0.14500420338426778
1106	80-84	-0.21482432857944644
1106	85-89	-0.12869573079328944
1106	90-94	-0.09725690531971765
1106	95-99	-0.06843398234035192
1106	100-104	-0.06553944114227761
1106	105-109	-0.06962173855207254
1106	110-114	0.007227584980007862
1106	115-119	-0.08609301954540882
1106	120-124	-0.01218305135059694
1106	125-129	0.00424084054168361
1106	130-134	-0.006075675274090031
1106	135-139	-0.023114219173194783
1106	140-144	-0.20013895493439549
1106	145-149	0.00980639801782246
1106	150-151	0.02622062947846615
1107	1	-0.1781340446402595
1107	2	0.0017434774696880595
1107	3	-0.15943086568812248
1107	4	0.08732203489090296
1107	5	-0.26294394538626165
1107	6	-0.23704825999802637
1107	7	-0.21257728923797714
1107	8	-0.42062465206556254
1107	9	-0.4506713315040116
1107	10-14	-0.14789050536652582
1107	15-19	-0.06544658999635544
1107	20-24	-0.0656683172210748
1107	25-29	-0.0597974324700985
1107	30-34	-0.1649829872188917
1107	35-39	-0.10768070773766425
1107	40-44	-0.16918522919373657
1107	45-49	-0.26214563251390643
1107	50-54	-0.12484838579370461
1107	55-59	-0.09712601966327128
1107	60-64	-0.16219952175008245
1107	65-69	-0.2594141424186702
1107	70-74	-0.08433499649889598
1107	75-79	0.005342038164059204
1107	80-84	-0.08843783061315946
1107	85-89	-0.1784082409059593
1107	90-94	-0.16477210810179344
1107	95-99	-0.18658392640683985
1107	100-104	-0.24601184627679373
1107	105-109	-0.3019020982478793
1107	110-114	-0.07490418314856839
1107	115-119	-0.20330023027298694
1107	120-124	-0.2152609139496633
1107	125-129	-0.2527261358861068
1107	130-134	-0.1858132409818296
1107	135-139	-0.23714673835964106
1107	140-144	-0.26241515282285377
1107	145-149	-0.2925987588202119
1107	150-151	0.10588053691430588
1108	1	0.09812254779789953
1108	2	-0.1007282153381226
1108	3	-0.006971517627960111
1108	4	0.02408435049123625
1108	5	-0.01508541619435988
1108	6	-0.26908459470528356
1108	7	-0.09810375843440511
1108	8	0.011594110579231653
1108	9	-0.09319830134853646
1108	10-14	-0.0673118796112746
1108	15-19	0.01630855879214721
1108	20-24	-0.07218531525276717
1108	25-29	-0.0471807574592944
1108	30-34	-0.14251564217219936
1108	35-39	-0.08602619374325826
1108	40-44	0.006003914364583807
1108	45-49	-0.11562326871457174
1108	50-54	-0.02503169864328214
1108	55-59	-0.004508728262877071
1108	60-64	-0.09967686002408271
1108	65-69	-0.042184041761615276
1108	70-74	-0.027339059830829626
1108	75-79	-0.08188196961357619
1108	80-84	-0.10301891095045335
1108	85-89	-0.06317515142576724
1108	90-94	-0.03655042665121755
1108	95-99	-0.22388333545166716
1108	100-104	-0.12045586638016914
1108	105-109	-0.133087474725734
1108	110-114	0.0026334574964792523
1108	115-119	-0.14056849138814442
1108	120-124	-0.016867062783241238
1108	125-129	-0.023028508369357326
1108	130-134	-0.03177270032088586
1108	135-139	0.003965438862110204
1108	140-144	-0.20430288334416957
1108	145-149	-0.10809528433280491
1108	150-151	-0.07387886732616522
1109	1	-0.40566517347017594
1109	2	-0.3406819171165836
1109	3	-0.05735548790838152
1109	4	-0.2761436751807125
1109	5	-0.1056788374111477
1109	6	-0.05804302333810085
1109	7	-0.18945957551483872
1109	8	-0.14348760439560948
1109	9	0.0244393804135683
1109	10-14	-0.15890126706084828
1109	15-19	-0.19487786778912408
1109	20-24	-0.2477505278225962
1109	25-29	-0.3048590228491648
1109	30-34	-0.20083400205324153
1109	35-39	-0.20866536300098204
1109	40-44	-0.32540832277754106
1109	45-49	-0.2932236305316138
1109	50-54	-0.33359867178744906
1109	55-59	-0.30819454049696304
1109	60-64	-0.23003601213433456
1109	65-69	-0.1366914510055821
1109	70-74	-0.18585852151756654
1109	75-79	-0.20923359000716601
1109	80-84	-0.061089638483295516
1109	85-89	-0.11467672472110735
1109	90-94	-0.22660757439060575
1109	95-99	-0.26481918300230234
1109	100-104	-0.20532894468470175
1109	105-109	-0.21825008493674858
1109	110-114	-0.16752436487286104
1109	115-119	-0.2584325486674359
1109	120-124	-0.14370538636273267
1109	125-129	-0.10222630507733754
1109	130-134	-0.2484683377203467
1109	135-139	-0.11992111267564809
1109	140-144	-0.1479034711467122
1109	145-149	-0.15911964730920403
1109	150-151	-0.13466432887116753
1110	1	0.016509577304724132
1110	2	0.08252952629465682
1110	3	-0.15741203477945476
1110	4	0.10035376973844734
1110	5	0.06114490389739302
1110	6	-0.038712370745322744
1110	7	0.14975882106721627
1110	8	0.11710969810920346
1110	9	0.12195131808634585
1110	10-14	-0.03091056587965113
1110	15-19	-0.08487744892341453
1110	20-24	-0.06910430180266047
1110	25-29	0.0029417532278088743
1110	30-34	-0.11847327733688218
1110	35-39	-0.08682093475263741
1110	40-44	-0.05563657175203929
1110	45-49	-0.1373467564428168
1110	50-54	-0.05958550024947584
1110	55-59	-0.12971716484882734
1110	60-64	-0.08128629591472247
1110	65-69	-0.040134812416560806
1110	70-74	-0.1056316306278191
1110	75-79	-0.1029794962395627
1110	80-84	-0.01861064206766372
1110	85-89	-0.04238231678196058
1110	90-94	-0.12195885594712763
1110	95-99	-0.13327350125256032
1110	100-104	-0.13162990108551753
1110	105-109	-0.08794943826769952
1110	110-114	-4.1489532328142786E-4
1110	115-119	-0.18019668426310176
1110	120-124	-0.13417745801572067
1110	125-129	-0.116696060748815
1110	130-134	-0.036364432907745936
1110	135-139	-0.05846585410396443
1110	140-144	0.07562615402586204
1110	145-149	-0.04714362019721818
1110	150-151	0.10220479828662121
1111	1	-0.23879336421642705
1111	2	-0.2849506487121829
1111	3	0.01886926527132715
1111	4	-0.2969176080497462
1111	5	-0.1420124459990859
1111	6	-0.14782796119807529
1111	7	-0.19801843585688772
1111	8	-0.12435481222323119
1111	9	-0.12481613376723999
1111	10-14	-0.051519769364155366
1111	15-19	-0.037317973943927996
1111	20-24	-0.08330407523131811
1111	25-29	-0.11503062850585621
1111	30-34	-0.050988338628414454
1111	35-39	-0.15864026596128866
1111	40-44	-0.13622994788764942
1111	45-49	-0.1006331373903322
1111	50-54	-0.2088434568209223
1111	55-59	-0.14060556331655505
1111	60-64	-0.0747205619007758
1111	65-69	-0.21130609367462228
1111	70-74	-0.08641873554466173
1111	75-79	-0.23662365282840625
1111	80-84	-0.17512234757273148
1111	85-89	-0.23907867993779064
1111	90-94	-0.17272857921297913
1111	95-99	-0.10784932205981335
1111	100-104	0.024040655598270178
1111	105-109	0.05670247750806112
1111	110-114	0.10539480776641597
1111	115-119	-0.015433563867638611
1111	120-124	-0.14671649106356455
1111	125-129	-0.057874980537441445
1111	130-134	-0.0703027123058888
1111	135-139	0.09529210184960846
1111	140-144	0.07121723145233716
1111	145-149	0.01681797176714639
1111	150-151	0.16660500202265638
1112	1	0.047919598629583504
1112	2	-0.2068382663788313
1112	3	0.12963990551094184
1112	4	0.07411536597874857
1112	5	-0.08149564321424663
1112	6	0.007261713440328776
1112	7	-0.0641519133500168
1112	8	-0.09805743716102455
1112	9	-0.08984390894868
1112	10-14	-0.013842190507823204
1112	15-19	-0.06514889942122437
1112	20-24	-0.024497317572198085
1112	25-29	-0.05980544416561173
1112	30-34	-0.03859012132499373
1112	35-39	-0.11407648014237282
1112	40-44	0.02028363347509554
1112	45-49	-0.10182605825434621
1112	50-54	-0.03444014753323188
1112	55-59	-0.05731239699764501
1112	60-64	-0.05131457887838309
1112	65-69	-0.10622428725014288
1112	70-74	-0.08460123223713367
1112	75-79	-0.035181527591220174
1112	80-84	0.048418439566859206
1112	85-89	-0.011556991402159156
1112	90-94	-0.21857269438626759
1112	95-99	0.01360108543408245
1112	100-104	-0.06929066349997015
1112	105-109	0.0053908805495481715
1112	110-114	-0.04484550932795628
1112	115-119	0.006006207719515544
1112	120-124	-0.021722402153393716
1112	125-129	-0.07075929629901623
1112	130-134	-0.05222785077677372
1112	135-139	-0.05229675096086339
1112	140-144	-0.022928323531957062
1112	145-149	0.09376136826144688
1112	150-151	0.004005127593238456
1113	1	0.052844455550882685
1113	2	-0.11694630685475715
1113	3	0.17107873252724204
1113	4	-0.08967418582691522
1113	5	-0.07877821829785603
1113	6	-0.01705048595167824
1113	7	0.10193641247455787
1113	8	-0.03052143556253384
1113	9	-0.020901620926380815
1113	10-14	-0.06673378371235827
1113	15-19	-0.024540142957114597
1113	20-24	0.009081529139734812
1113	25-29	0.026397683737236832
1113	30-34	0.01876057774990869
1113	35-39	-0.034924570618045436
1113	40-44	-0.001314149472648296
1113	45-49	-0.023486688577051495
1113	50-54	-0.09094001405015462
1113	55-59	-0.14472338881432023
1113	60-64	0.03395432440376567
1113	65-69	-0.06567055267508692
1113	70-74	-0.11664268880659279
1113	75-79	-0.1429167876646673
1113	80-84	-0.22182682133176002
1113	85-89	-0.12424709587526195
1113	90-94	-0.10948431623828725
1113	95-99	-0.023355708959300614
1113	100-104	-0.035148286452923116
1113	105-109	-0.18967456411421324
1113	110-114	-0.04412040482319668
1113	115-119	-0.0024979744698470085
1113	120-124	0.056531852008575356
1113	125-129	-0.03315903455118274
1113	130-134	-0.0482814169974759
