##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Alice_B
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10024622
Sequences flagged as poor quality	0
Sequence length	25-151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.789776911289024	37.0	37.0	37.0	37.0	37.0
2	36.07069702977329	37.0	37.0	37.0	37.0	37.0
3	36.18536968276709	37.0	37.0	37.0	37.0	37.0
4	36.19337806452952	37.0	37.0	37.0	37.0	37.0
5	36.232192096619706	37.0	37.0	37.0	37.0	37.0
6	36.25919640660765	37.0	37.0	37.0	37.0	37.0
7	36.26279095610787	37.0	37.0	37.0	37.0	37.0
8	36.25540833360101	37.0	37.0	37.0	37.0	37.0
9	36.242877387297	37.0	37.0	37.0	37.0	37.0
10-14	36.24341520308696	37.0	37.0	37.0	37.0	37.0
15-19	36.22037848409646	37.0	37.0	37.0	37.0	37.0
20-24	36.193176002047764	37.0	37.0	37.0	37.0	37.0
25-29	36.109145340111	37.0	37.0	37.0	37.0	37.0
30-34	36.07556914357173	37.0	37.0	37.0	37.0	37.0
35-39	36.05069047113627	37.0	37.0	37.0	37.0	37.0
40-44	35.99744162865609	37.0	37.0	37.0	37.0	37.0
45-49	35.971198177298064	37.0	37.0	37.0	37.0	37.0
50-54	35.92566542911128	37.0	37.0	37.0	37.0	37.0
55-59	35.90056518366813	37.0	37.0	37.0	37.0	37.0
60-64	35.873157411613086	37.0	37.0	37.0	37.0	37.0
65-69	35.83897734277483	37.0	37.0	37.0	37.0	37.0
70-74	35.803832827580734	37.0	37.0	37.0	37.0	37.0
75-79	35.74834495023033	37.0	37.0	37.0	37.0	37.0
80-84	35.70962508490137	37.0	37.0	37.0	37.0	37.0
85-89	35.67426258603967	37.0	37.0	37.0	37.0	37.0
90-94	35.61243862664493	37.0	37.0	37.0	37.0	37.0
95-99	35.59780849943761	37.0	37.0	37.0	37.0	37.0
100-104	35.55101577891333	37.0	37.0	37.0	37.0	37.0
105-109	35.51486110011276	37.0	37.0	37.0	37.0	37.0
110-114	35.478443569184506	37.0	37.0	37.0	37.0	37.0
115-119	35.43469128999567	37.0	37.0	37.0	37.0	37.0
120-124	35.37009815566736	37.0	37.0	37.0	37.0	37.0
125-129	35.29738475526599	37.0	37.0	37.0	37.0	37.0
130-134	35.28519501220878	37.0	37.0	37.0	37.0	37.0
135-139	35.22758248248488	37.0	37.0	37.0	27.4	37.0
140-144	35.19412883007668	37.0	37.0	37.0	25.0	37.0
145-149	35.26013415350234	37.0	37.0	37.0	29.8	37.0
150-151	35.98688664924043	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.12929099899767493
1101	2	-0.06255208607807106
1101	3	-0.0030894637519622847
1101	4	-0.0861206704160864
1101	5	0.0831725217079935
1101	6	-0.17482029851217362
1101	7	-0.12147071228497452
1101	8	-0.026054880831331673
1101	9	-0.19429473437071465
1101	10-14	-0.07004004275471232
1101	15-19	-0.1844054790293228
1101	20-24	-0.11000258975852972
1101	25-29	-0.16620248064761256
1101	30-34	-0.17569728700200216
1101	35-39	-0.09912561754489957
1101	40-44	-0.10515855830384879
1101	45-49	-0.1886294235165238
1101	50-54	-0.1313573918874127
1101	55-59	-0.09638158842814448
1101	60-64	-0.11885626669976546
1101	65-69	-0.019607482194217596
1101	70-74	0.03678286284125676
1101	75-79	-0.09750813372361478
1101	80-84	-0.04716971001008119
1101	85-89	-0.07218457366745668
1101	90-94	-0.03425498583558806
1101	95-99	-0.25270468966242987
1101	100-104	-0.1462726242364525
1101	105-109	-0.009940179885234102
1101	110-114	0.021520396315615642
1101	115-119	-0.01351065648873373
1101	120-124	-0.04488366026250645
1101	125-129	-0.043097517194759405
1101	130-134	0.010081462469607061
1101	135-139	0.08712755979803433
1101	140-144	0.10112640782916316
1101	145-149	0.07508482953680584
1101	150-151	-0.13058654785713486
1102	1	-0.10013214820192928
1102	2	-0.17546385634682338
1102	3	0.01190461820712585
1102	4	0.0898321427287243
1102	5	-0.3808566585556221
1102	6	-0.007725290634290616
1102	7	-0.10018972815285565
1102	8	-0.16580109401260756
1102	9	0.03387719434577008
1102	10-14	-0.13517495098015075
1102	15-19	-0.015293116699723441
1102	20-24	0.005790748658412781
1102	25-29	0.030407945727631613
1102	30-34	-0.09228488840340532
1102	35-39	-0.007561986409200472
1102	40-44	-0.113623104917977
1102	45-49	-0.11888123992783761
1102	50-54	-0.12547434395895607
1102	55-59	-0.12646191496544645
1102	60-64	-0.039376067749330446
1102	65-69	-0.02519081729507633
1102	70-74	-0.058412104921082175
1102	75-79	-0.13416089774274553
1102	80-84	-0.1364961820397781
1102	85-89	-0.11582391839819195
1102	90-94	0.024634859030101097
1102	95-99	-0.07275706359115475
1102	100-104	-0.09469420955991126
1102	105-109	0.03458960652227461
1102	110-114	-0.09836154834947308
1102	115-119	-0.021581930475896627
1102	120-124	-0.00926231104901376
1102	125-129	-0.01722110465379245
1102	130-134	0.12459144437545433
1102	135-139	0.09695717498522782
1102	140-144	0.023956863762286673
1102	145-149	0.09669176962708548
1102	150-151	0.010714756912911128
1103	1	-0.3971597286230235
1103	2	-0.08846373987402956
1103	3	0.0781894566559771
1103	4	-0.16395364522664124
1103	5	-0.3069673279703693
1103	6	0.08827867956892987
1103	7	0.05432409919394132
1103	8	0.006774457165377612
1103	9	-0.015471823991099143
1103	10-14	-0.056040630835255456
1103	15-19	-0.05984176772527405
1103	20-24	-0.011523861250552159
1103	25-29	-0.11271608662466548
1103	30-34	-0.1530112233292158
1103	35-39	-0.09476141587713727
1103	40-44	-0.08180711812661201
1103	45-49	-0.10494752548117248
1103	50-54	-0.10513070718806006
1103	55-59	-0.11308942755045592
1103	60-64	-0.15222014376386284
1103	65-69	0.027480325116179927
1103	70-74	-0.08038434598095989
1103	75-79	-0.12795169515328553
1103	80-84	-0.19822400288387598
1103	85-89	-0.11971241465232652
1103	90-94	-0.07553364211663194
1103	95-99	-0.10623482143737562
1103	100-104	-0.11909736595806919
1103	105-109	-0.15970337763463505
1103	110-114	-0.0935241520918737
1103	115-119	0.012218030770121402
1103	120-124	-0.06523158763155834
1103	125-129	0.0015660512589334985
1103	130-134	-0.17710230515780978
1103	135-139	-0.03273112514628451
1103	140-144	0.25816661083715076
1103	145-149	0.07910137172607534
1103	150-151	-0.04431731049752585
1104	1	-0.22988337011418025
1104	2	-0.2925976011051503
1104	3	-0.3350260531016005
1104	4	-0.165188083030543
1104	5	-0.09610427529600685
1104	6	-0.2516132318526374
1104	7	-0.09619702424482313
1104	8	-0.18290744928832936
1104	9	-0.11763409736386876
1104	10-14	-0.17902576238316215
1104	15-19	-0.1795440976011804
1104	20-24	-0.21799913987721453
1104	25-29	-0.22918920637579276
1104	30-34	-0.207178902996624
1104	35-39	-0.23076955809952437
1104	40-44	-0.24277203925122848
1104	45-49	-0.19990000282030707
1104	50-54	-0.2744696265623716
1104	55-59	-0.2501238678148425
1104	60-64	-0.3208181315357166
1104	65-69	-0.0908961896840168
1104	70-74	-0.29516430882495115
1104	75-79	-0.18440536762542337
1104	80-84	-0.05456667771889556
1104	85-89	-0.25545628529196307
1104	90-94	-0.23679034529204301
1104	95-99	-0.22264122558183885
1104	100-104	-0.29863924887231263
1104	105-109	-0.06265167829556617
1104	110-114	-0.0915057903753933
1104	115-119	-0.12095673635406712
1104	120-124	-0.014969894657006932
1104	125-129	-0.1355785352448038
1104	130-134	-0.10843634564495375
1104	135-139	-0.15482159035354925
1104	140-144	-0.023617677253206182
