##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Chen_B
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10032282
Sequences flagged as poor quality	0
Sequence length	25-151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.90283466912114	37.0	37.0	37.0	37.0	37.0
2	36.16021908076348	37.0	37.0	37.0	37.0	37.0
3	36.2692282772753	37.0	37.0	37.0	37.0	37.0
4	36.26967633086869	37.0	37.0	37.0	37.0	37.0
5	36.3135362423026	37.0	37.0	37.0	37.0	37.0
6	36.32546224278783	37.0	37.0	37.0	37.0	37.0
7	36.31890042564593	37.0	37.0	37.0	37.0	37.0
8	36.31590389903314	37.0	37.0	37.0	37.0	37.0
9	36.31026480316243	37.0	37.0	37.0	37.0	37.0
10-14	36.31037885498036	37.0	37.0	37.0	37.0	37.0
15-19	36.27948911324462	37.0	37.0	37.0	37.0	37.0
20-24	36.24493619696894	37.0	37.0	37.0	37.0	37.0
25-29	36.18239978486547	37.0	37.0	37.0	37.0	37.0
30-34	36.12716272760473	37.0	37.0	37.0	37.0	37.0
35-39	36.0992106027585	37.0	37.0	37.0	37.0	37.0
40-44	36.04853605887955	37.0	37.0	37.0	37.0	37.0
45-49	36.01400229035828	37.0	37.0	37.0	37.0	37.0
50-54	35.97431758951276	37.0	37.0	37.0	37.0	37.0
55-59	35.93891767226327	37.0	37.0	37.0	37.0	37.0
60-64	35.88916510764225	37.0	37.0	37.0	37.0	37.0
65-69	35.85477673726517	37.0	37.0	37.0	37.0	37.0
70-74	35.809112674342444	37.0	37.0	37.0	37.0	37.0
75-79	35.759126302521665	37.0	37.0	37.0	37.0	37.0
80-84	35.704871104045296	37.0	37.0	37.0	37.0	37.0
85-89	35.66152402358076	37.0	37.0	37.0	37.0	37.0
90-94	35.609688285847234	37.0	37.0	37.0	37.0	37.0
95-99	35.57172508344181	37.0	37.0	37.0	37.0	37.0
100-104	35.527987436129685	37.0	37.0	37.0	37.0	37.0
105-109	35.474590030085224	37.0	37.0	37.0	37.0	37.0
110-114	35.397936295296745	37.0	37.0	37.0	37.0	37.0
115-119	35.34303163472554	37.0	37.0	37.0	37.0	37.0
120-124	35.31564447539695	37.0	37.0	37.0	37.0	37.0
125-129	35.206881208438375	37.0	37.0	37.0	29.8	37.0
130-134	35.16531109881187	37.0	37.0	37.0	25.0	37.0
135-139	35.09791534529559	37.0	37.0	37.0	25.0	37.0
140-144	35.06672882324047	37.0	37.0	37.0	25.0	37.0
145-149	35.205425365614516	37.0	37.0	37.0	27.4	37.0
150-151	35.89217241589785	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.20864477501427814
1101	2	-0.24041800023923798
1101	3	-0.14776923925809626
1101	4	-0.1442838330623175
1101	5	-0.1840594311595396
1101	6	-0.2164109569031183
1101	7	-0.024249758880650063
1101	8	-0.12505917747277806
1101	9	-0.278165713807347
1101	10-14	-0.07971730797648746
1101	15-19	-0.15434532946434132
1101	20-24	-0.19702564436650505
1101	25-29	-0.14893579960844505
1101	30-34	-0.0692828508557568
1101	35-39	-0.1517130785616132
1101	40-44	-0.23787195831294383
1101	45-49	-0.1903913959389385
1101	50-54	-0.1531344727267694
1101	55-59	-0.2734974199925517
1101	60-64	-0.18247461520414987
1101	65-69	-0.3350940839506862
1101	70-74	-0.20853384028334432
1101	75-79	-0.1480020654367209
1101	80-84	-0.3644401114491842
1101	85-89	-0.1925107987900816
1101	90-94	-0.24218271862608276
1101	95-99	-0.14173626192280864
1101	100-104	-0.20243704392508022
1101	105-109	-0.3213817427683736
1101	110-114	-0.4057385240536533
1101	115-119	-0.32824665393340524
1101	120-124	-0.09790483481744872
1101	125-129	-0.14455407717800028
1101	130-134	-0.21615281978048984
1101	135-139	-0.2662233069047204
1101	140-144	-0.12907819341023696
1101	145-149	-0.26255660689256644
1101	150-151	-0.016893866832454307
1102	1	-0.35074700037181117
1102	2	-0.32184648005161165
1102	3	-0.19737025070095626
1102	4	-0.5291451719414795
1102	5	-0.24074420729535007
1102	6	-0.2309504480667357
1102	7	-0.22695243682221644
1102	8	-0.21061954796869742
1102	9	-0.3426671842473823
1102	10-14	-0.3618112878759021
1102	15-19	-0.45761657755186036
1102	20-24	-0.48362567551601643
1102	25-29	-0.37911201767433056
1102	30-34	-0.40043189934163337
1102	35-39	-0.39784527814897785
1102	40-44	-0.40149036949034667
1102	45-49	-0.3968365180075679
1102	50-54	-0.40273993222068327
1102	55-59	-0.4753598601653408
1102	60-64	-0.3342936313694551
1102	65-69	-0.4437067671652244
1102	70-74	-0.503752656702197
1102	75-79	-0.5158449342611178
1102	80-84	-0.441340041152948
1102	85-89	-0.36275447648316117
1102	90-94	-0.44035649738750493
1102	95-99	-0.30778219696438214
1102	100-104	-0.3730733097576575
1102	105-109	-0.38411900521690256
1102	110-114	-0.28333458008307133
1102	115-119	-0.28162419075732004
1102	120-124	-0.2945932530659263
1102	125-129	-0.19445531523690818
1102	130-134	-0.19495224330787408
1102	135-139	-0.35906538062468485
1102	140-144	-0.40623861187574306
1102	145-149	-0.22965216823359214
1102	150-151	-0.2877000991765257
1103	1	-0.3043607675044626
1103	2	-0.24492388861609982
1103	3	-0.24710359665696302
1103	4	-0.3713532988414556
1103	5	-0.0214378233766368
1103	6	-0.37213719004870427
1103	7	-0.2836114246939303
1103	8	-0.26214741778682793
1103	9	-0.05833297784558056
1103	10-14	-0.37736537078584576
1103	15-19	-0.23005790840273477
1103	20-24	-0.28065766348239407
1103	25-29	-0.27503240312439914
1103	30-34	-0.47218860200766244
1103	35-39	-0.3419937308663634
1103	40-44	-0.31569370733259916
1103	45-49	-0.38363766776379293
1103	50-54	-0.5175201626630113
1103	55-59	-0.30032901880453267
1103	60-64	-0.3960911514094505
1103	65-69	-0.5691859560336638
1103	70-74	-0.33209176883984526
1103	75-79	-0.31484562821781736
1103	80-84	-0.350238761777085
1103	85-89	-0.33039306914293576
1103	90-94	-0.41465462672351094
1103	95-99	-0.28409854211880514
1103	100-104	-0.3743860272590851
1103	105-109	-0.4367123466154368
1103	110-114	-0.3057091824162512
1103	115-119	-0.311591519189939
1103	120-124	-0.20024551839284044
1103	125-129	-0.18040952775831443
1103	130-134	-0.3341517833398626
1103	135-139	-0.23848574961704827
1103	140-144	-0.3108159496758418
1103	145-149	-0.03528718248727358
1103	150-151	0.13521480055688073
1104	1	-0.2162948107185798
1104	2	-0.044101974993409954
1104	3	-0.3197619830785854
1104	4	-0.4121149184288697
1104	5	-0.07644798271788744
1104	6	-0.25214187505820007
1104	7	-0.22690651409104134
1104	8	-0.35346028985041755
1104	9	-0.13261278494540818
1104	10-14	-0.24325065934679202
1104	15-19	-0.21330879575371142
1104	20-24	-0.329820116186724
1104	25-29	-0.27286764975065836
1104	30-34	-0.23316601348386712
1104	35-39	-0.27712477343293784
1104	40-44	-0.25836735379795783
1104	45-49	-0.31904355129616135
1104	50-54	-0.24497115426077443
1104	55-59	-0.2866022175458127
1104	60-64	-0.3119902219278998
1104	65-69	-0.4040234121044861
1104	70-74	-0.2524561895168205
1104	75-79	-0.3853809207476786
1104	80-84	-0.3145591910444949
1104	85-89	-0.30271031085651856
1104	90-94	-0.3144417107184978
1104	95-99	-0.2902029340868495
1104	100-104	-0.40351759762949513
1104	105-109	-0.4534872847745888
1104	110-114	-0.34084895817398575
1104	115-119	-0.2980675239930122
1104	120-124	-0.22045355736202765
1104	125-129	-0.26564199693919477
1104	130-134	-0.35635267456269304
1104	135-139	-0.210039004460441
1104	140-144	-0.28859798271518855
1104	145-149	-0.23996915877962266
1104	150-151	-0.20598338261975613
1105	1	-0.1788342949581221
1105	2	-0.37707988567275663
1105	3	-0.11633517449781294
1105	4	-0.32074185485252826
1105	5	-0.2034203735711131
1105	6	-0.3328085520445683
1105	7	-0.09030402079049793
1105	8	-0.0973483708685734
1105	9	-0.2244775519371771
1105	10-14	-0.29165248666236465
1105	15-19	-0.2416014102773616
1105	20-24	-0.1712606979264919
1105	25-29	-0.17814323391735343
1105	30-34	-0.20533135116422585
1105	35-39	-0.17738873307169456
1105	40-44	-0.16445072764348367
1105	45-49	-0.27671760340147245
1105	50-54	-0.055204387843900804
1105	55-59	-0.22270923891139205
1105	60-64	-0.1567023197429691
1105	65-69	-0.32277448926944174
1105	70-74	-0.38785511811696693
1105	75-79	-0.3048389969180789
1105	80-84	-0.3425533054447314
1105	85-89	-0.4145988753817562
1105	90-94	-0.2551650213737702
1105	95-99	-0.2938161938856254
1105	100-104	-0.288696962474809
1105	105-109	-0.29136936391643786
1105	110-114	-0.31368401515499755
1105	115-119	-0.15677542004788592
1105	120-124	-0.17857402364531794
1105	125-129	-0.20807945216096613
1105	130-134	-0.14812588732076648
1105	135-139	-0.20837250037345
1105	140-144	-0.19418380387434553
1105	145-149	0.08022168386268191
1105	150-151	-0.07936461714015053
1106	1	-0.12304011393711534
1106	2	-0.196032202720005
1106	3	-0.21275634821279965
1106	4	0.012349472526508976
1106	5	-0.21076724089989085
1106	6	-0.011388524454226001
1106	7	-0.19218658260829358
1106	8	-0.15100367492502187
1106	9	-0.10136959533154055
1106	10-14	-0.11020270150863354
1106	15-19	-0.10854659217775975
1106	20-24	-0.1566756575620687
1106	25-29	-0.061975041168359724
1106	30-34	-0.08359576829215598
1106	35-39	-0.1741278742765573
1106	40-44	-0.046950992890771204
1106	45-49	-0.039256268621308266
1106	50-54	-0.1581506829541155
1106	55-59	-0.04487854057306606
1106	60-64	0.009439106918989637
1106	65-69	-0.15203785452332852
1106	70-74	0.0038104422607077026
1106	75-79	-0.017550147793706117
1106	80-84	-0.04532636868042772
1106	85-89	-0.22061951234991284
1106	90-94	0.0012100468005797893
1106	95-99	-0.09718641110283244
1106	100-104	0.009871803205065532
1106	105-109	0.05663034915862397
1106	110-114	0.02217966339900812
1106	115-119	0.02553936832872239
1106	120-124	-0.01730060165104419
1106	125-129	0.15006759616450438
1106	130-134	-0.06619923882054479
1106	135-139	0.08130967467814543
1106	140-144	0.12976620531350846
1106	145-149	0.011643976016756596
1106	150-151	-0.08658924227719922
1107	1	-0.08405616929930915
1107	2	0.12706593862235138
1107	3	0.07219834142950532
1107	4	0.1253990178003619
1107	5	0.14639520301992093
1107	6	0.11222072745838574
1107	7	-0.01438987480939602
1107	8	-0.0874799326221023
1107	9	0.07448002458068004
1107	10-14	0.0023931722876184836
1107	15-19	-0.015782133021986056
1107	20-24	0.030005612263757087
1107	25-29	-0.05485291819353222
1107	30-34	-0.017582025096828602
1107	35-39	-0.05023457259358821
1107	40-44	0.027572833743072067
1107	45-49	0.013149563630157957
1107	50-54	-0.10748675420675369
1107	55-59	-0.15322432715436918
1107	60-64	-0.10570251034137357
1107	65-69	0.003654019901148331
1107	70-74	-0.08760400994334816
1107	75-79	0.06397389598554071
1107	80-84	-0.16769439069382486
1107	85-89	0.0401769144209041
