##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Bob_T
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10033255
Sequences flagged as poor quality	0
Sequence length	25-151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.842876414483634	37.0	37.0	37.0	37.0	37.0
2	36.137153396380334	37.0	37.0	37.0	37.0	37.0
3	36.25112548220891	37.0	37.0	37.0	37.0	37.0
4	36.245262379955456	37.0	37.0	37.0	37.0	37.0
5	36.29297550994169	37.0	37.0	37.0	37.0	37.0
6	36.30810828589526	37.0	37.0	37.0	37.0	37.0
7	36.30507866091313	37.0	37.0	37.0	37.0	37.0
8	36.30302259834919	37.0	37.0	37.0	37.0	37.0
9	36.28993731346407	37.0	37.0	37.0	37.0	37.0
10-14	36.29057592974563	37.0	37.0	37.0	37.0	37.0
15-19	36.25996855457176	37.0	37.0	37.0	37.0	37.0
20-24	36.22548417238474	37.0	37.0	37.0	37.0	37.0
25-29	36.16431243630199	37.0	37.0	37.0	37.0	37.0
30-34	36.10705000290015	37.0	37.0	37.0	37.0	37.0
35-39	36.07835977856354	37.0	37.0	37.0	37.0	37.0
40-44	36.027226093923375	37.0	37.0	37.0	37.0	37.0
45-49	35.99428275090986	37.0	37.0	37.0	37.0	37.0
50-54	35.95208848325867	37.0	37.0	37.0	37.0	37.0
55-59	35.91850156656379	37.0	37.0	37.0	37.0	37.0
60-64	35.86682631347562	37.0	37.0	37.0	37.0	37.0
65-69	35.83415681804247	37.0	37.0	37.0	37.0	37.0
70-74	35.78798581429071	37.0	37.0	37.0	37.0	37.0
75-79	35.73865437737063	37.0	37.0	37.0	37.0	37.0
80-84	35.682995440904165	37.0	37.0	37.0	37.0	37.0
85-89	35.63967416320159	37.0	37.0	37.0	37.0	37.0
90-94	35.587970932979374	37.0	37.0	37.0	37.0	37.0
95-99	35.551896835348586	37.0	37.0	37.0	37.0	37.0
100-104	35.507053016899285	37.0	37.0	37.0	37.0	37.0
105-109	35.45445805460755	37.0	37.0	37.0	37.0	37.0
110-114	35.37798597728568	37.0	37.0	37.0	37.0	37.0
115-119	35.321688090757014	37.0	37.0	37.0	37.0	37.0
120-124	35.296720100768724	37.0	37.0	37.0	37.0	37.0
125-129	35.1868820639984	37.0	37.0	37.0	29.8	37.0
130-134	35.14591089722254	37.0	37.0	37.0	25.0	37.0
135-139	35.07794910869	37.0	37.0	37.0	25.0	37.0
140-144	35.04758325715098	37.0	37.0	37.0	25.0	37.0
145-149	35.19280162839049	37.0	37.0	37.0	27.4	37.0
150-151	35.891253355030145	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.012294539146651573
1101	2	0.09047151582868196
1101	3	-0.0711497555604339
1101	4	1.7931814775806743E-4
1101	5	0.06800119230265267
1101	6	-0.08196261337734256
1101	7	-0.035314818170562035
1101	8	-0.13353393481312992
1101	9	-0.17147503812680043
1101	10-14	-0.19265468203659708
1101	15-19	-0.0964496002767703
1101	20-24	-0.20041130051761513
1101	25-29	-0.14210652659211576
1101	30-34	-0.15613888107295537
1101	35-39	-0.11814192417089231
1101	40-44	-0.06176515253923753
1101	45-49	-0.030133442548759604
1101	50-54	-0.20218349212866826
1101	55-59	-0.2180513366635708
1101	60-64	-0.17160876460087593
1101	65-69	-0.06938073110999454
1101	70-74	-0.07804363917369272
1101	75-79	-0.18841896649049517
1101	80-84	-0.0707724484550667
1101	85-89	-0.013764605648020733
1101	90-94	-0.19841411280771126
1101	95-99	-0.14336458517136919
1101	100-104	0.04920662345833904
1101	105-109	-0.20767471554977135
1101	110-114	-0.16590965023211623
1101	115-119	-0.0056418863194309665
1101	120-124	-0.12980098839664578
1101	125-129	-0.008194411712779015
1101	130-134	-0.10480701320921781
1101	135-139	-0.05756853861790745
1101	140-144	-0.04211311381418881
1101	145-149	0.022632962653950983
1101	150-151	0.13658790080192773
1102	1	-0.1381394049227751
1102	2	-0.10817843595531684
1102	3	-0.2775142685787557
1102	4	-0.2756162459795277
1102	5	-0.4816612956433417
1102	6	-0.2516829605325981
1102	7	-0.23010748933739222
1102	8	-0.19717906499635518
1102	9	-0.2505492907786788
1102	10-14	-0.33190251231624757
1102	15-19	-0.2179539397174608
1102	20-24	-0.3346446659949578
1102	25-29	-0.13940643016009346
1102	30-34	-0.27762013640184335
1102	35-39	-0.30197134094114375
1102	40-44	-0.2075496342031613
1102	45-49	-0.3446498617018676
1102	50-54	-0.38547029423274637
1102	55-59	-0.37697809315708497
1102	60-64	-0.2943525475570965
1102	65-69	-0.39558905086670393
1102	70-74	-0.37665511138361296
1102	75-79	-0.35398369798787854
1102	80-84	-0.41603255776423964
1102	85-89	-0.36596656158859986
1102	90-94	-0.5383383541651412
1102	95-99	-0.45862944947673867
1102	100-104	-0.40640837800251717
1102	105-109	-0.3582807167991007
1102	110-114	-0.5276486669596565
1102	115-119	-0.31952369173120587
1102	120-124	-0.3642269919893266
1102	125-129	-0.2888884534415155
1102	130-134	-0.325798156549844
1102	135-139	-0.3889407657271349
1102	140-144	-0.34679966851139454
1102	145-149	-0.030923938289653563
1102	150-151	-0.018493640602116557
1103	1	-0.424113790868752
1103	2	-0.2309973871374993
1103	3	-0.3498657739670321
1103	4	-0.350446268005129
1103	5	-0.16988752698446064
1103	6	-0.31826483762709046
1103	7	-0.5236345284875696
1103	8	-0.29489819835053055
1103	9	-0.31758532498913183
1103	10-14	-0.30977406324243617
1103	15-19	-0.24971357451811116
1103	20-24	-0.3878816555646196
1103	25-29	-0.35681042328052825
1103	30-34	-0.3605594086710795
1103	35-39	-0.3337266918091757
1103	40-44	-0.30102906969028
1103	45-49	-0.4465100721499482
1103	50-54	-0.3060903948146887
1103	55-59	-0.405149246718679
1103	60-64	-0.38493905410970086
1103	65-69	-0.41177502407395394
1103	70-74	-0.3904860786676423
1103	75-79	-0.5248646856486019
1103	80-84	-0.3081681680687396
1103	85-89	-0.30721288151008963
1103	90-94	-0.3453085754960199
1103	95-99	-0.4025762634150567
1103	100-104	-0.40133140670982215
1103	105-109	-0.44512929103705545
1103	110-114	-0.3178856263041254
1103	115-119	-0.31549581013624817
1103	120-124	-0.2777517484254233
1103	125-129	-0.29960872878974243
1103	130-134	-0.34153665622211093
1103	135-139	-0.42811956158251263
1103	140-144	-0.3730159863689195
1103	145-149	-0.27914650052964163
1103	150-151	-0.29208041265853524
1104	1	-0.009020011955982454
1104	2	-0.053644593383744166
1104	3	-0.0881981398266376
1104	4	-0.016776795334450867
1104	5	-0.17922480417658448
1104	6	-0.15655540069680285
1104	7	-0.19377089275430848
1104	8	-0.2835282357352966
1104	9	0.1530051245592574
1104	10-14	-0.08921660025573175
1104	15-19	-0.21695524417305023
1104	20-24	-0.2522551783510991
1104	25-29	-0.29583580411186716
1104	30-34	-0.34471872682992455
1104	35-39	-0.2618425617916955
1104	40-44	-0.3518254381637007
1104	45-49	-0.14430692901473918
1104	50-54	-0.3093805085367194
1104	55-59	-0.27862436871673424
1104	60-64	-0.22491017589119622
1104	65-69	-0.17429275457040916
1104	70-74	-0.12704440672995077
1104	75-79	-0.1562020065967289
1104	80-84	-0.1320578202411653
1104	85-89	-0.1321700651447273
1104	90-94	-0.30746253003655966
1104	95-99	-0.39115052588382326
1104	100-104	-0.12801543639182
1104	105-109	-0.13575251128135335
1104	110-114	-0.24494872926879907
1104	115-119	-0.12545796360040384
1104	120-124	-0.20417847678373846
1104	125-129	-0.12507106557463032
1104	130-134	-0.0629654502736301
1104	135-139	-0.058843766927275
1104	140-144	-0.16542249348472637
1104	145-149	-0.028992031532901308
1104	150-151	0.06496673554662635
1105	1	-0.14063841089607365
1105	2	-0.042337763581940635
1105	3	-0.3888854769953056
1105	4	-0.33763254344716387
1105	5	-0.017822387381727367
1105	6	-0.08958759795279292
1105	7	-0.07788566828048005
1105	8	-0.060583800676653254
1105	9	-0.4045809259640265
1105	10-14	-0.10099362914522914
1105	15-19	-0.1799489398774199
1105	20-24	-0.08857539033192552
1105	25-29	-0.12380802608709729
1105	30-34	-0.2030534413751326
1105	35-39	-0.3222459422325912
1105	40-44	-0.19211745484684428
1105	45-49	-0.25928117514963844
1105	50-54	-0.14907734349317536
1105	55-59	-0.24845063127852995
1105	60-64	-0.1518445376576878
1105	65-69	-0.21117014920642418
1105	70-74	-0.1616281671978399
1105	75-79	-0.1774831990529364
1105	80-84	-0.19788437391523672
1105	85-89	-0.13428514033883943
1105	90-94	-0.2595953811916587
1105	95-99	-0.06353318814663567
1105	100-104	-0.1535080887152418
1105	105-109	-0.10640948427376884
1105	110-114	-0.19130033860086826
1105	115-119	-0.09545387935505545
1105	120-124	-0.22979092073358487
1105	125-129	0.03010668996866883
1105	130-134	-0.23977714094001357
1105	135-139	-0.14487387970046228
1105	140-144	-0.022088213613834284
1105	145-149	-0.041374032070457645
1105	150-151	-0.02926742445204411
1106	1	-0.0158774487279274
1106	2	-0.1610714407751388
1106	3	-0.1179942462938186
1106	4	-0.22631438005995363
1106	5	-0.13639387201049402
1106	6	-0.2505314540374073
1106	7	-0.11962496553323376
1106	8	-0.15417588637711077
1106	9	-0.0071254308189026005
1106	10-14	-0.12854752983281514
1106	15-19	-0.18074839225951678
1106	20-24	-0.22575402451357718
1106	25-29	-0.15333868763686098
1106	30-34	-0.3125418209382289
1106	35-39	-0.22801884985396725
1106	40-44	-0.3140824423921629
1106	45-49	-0.2510141600293352
1106	50-54	-0.32943151653780234
1106	55-59	-0.23730258122925818
1106	60-64	-0.17280501649049995
1106	65-69	-0.2291932185339789
1106	70-74	-0.23185965610455384
1106	75-79	-0.3111041710518734
1106	80-84	-0.198373575247615
1106	85-89	-0.2543610641755123
1106	90-94	-0.22480854497108282
1106	95-99	-0.30361037626958165
1106	100-104	-0.18224272354014204
1106	105-109	-0.1464764208143663
1106	110-114	-0.2620358837722918
1106	115-119	-0.13806628637601648
1106	120-124	-0.32081984618669424
1106	125-129	-0.158628737521461
1106	130-134	-0.23861993943074822
1106	135-139	-0.18722650458095558
1106	140-144	0.011533800294770913
1106	145-149	0.008011571095202896
1106	150-151	0.14773492687494638
1107	1	-0.07036705551566769
1107	2	-0.1362307401121896
1107	3	-0.2348160190950992
1107	4	0.04718237804394221
1107	5	-0.10401896074543515
1107	6	0.037733847763043116
1107	7	-0.12405535921988076
1107	8	-0.037096591648349886
1107	9	-0.048311996984246264
1107	10-14	0.011009024184950533
1107	15-19	0.06886151284703601
1107	20-24	-0.024098768440211416
1107	25-29	-0.07817102352164795
1107	30-34	-0.11070972371043553
1107	35-39	-0.043924075003921814
1107	40-44	-0.024094555100958814
1107	45-49	-0.02205917162864779
1107	50-54	0.031482812723467646
1107	55-59	-0.023776541089162606
1107	60-64	0.1359197621446171
1107	65-69	-0.11554501787049531
1107	70-74	0.06893309172977524
1107	75-79	0.025447309932900453
1107	80-84	-0.11295989716673915
1107	85-89	-0.010516563249652222
1107	90-94	0.033879764806165724
1107	95-99	-0.13281647818115516
1107	100-104	-0.05929941799112726
1107	105-109	-0.005478187274306379
1107	110-114	-0.11369454057047079
1107	115-119	-0.0701562084863454
1107	120-124	-0.006942231713992442
1107	125-129	-0.061914248933206295
1107	130-134	-0.087554391344284
1107	135-139	0.03210393657577981
1107	140-144	0.07210269427950777
1107	145-149	0.03524710583715773
1107	150-151	0.2223003288316292
1108	1	-0.12231063820885879
1108	2	-0.17785034408709066
1108	3	-0.235672943401255
1108	4	-0.1596123672893981
1108	5	-0.1836141108605105
1108	6	-0.22246789572867698
1108	7	-0.12782889269529818
1108	8	-0.047895882258131905
1108	9	-0.09072549107181516
1108	10-14	-0.06439350024930945
1108	15-19	-0.044894422162997216
1108	20-24	-0.16656286024525002
1108	25-29	-0.17052587115770024
1108	30-34	-0.17734795772386036
1108	35-39	-0.16637258730770554
1108	40-44	-0.16927794363641624
1108	45-49	-0.21658373590109647
1108	50-54	-0.15071911790359138
1108	55-59	-0.1238068097808096
1108	60-64	-0.1514675310811313
1108	65-69	-0.1979075015774825
1108	70-74	-0.17468248170195722
1108	75-79	-0.13709275259859766
1108	80-84	-0.1625373619554651
1108	85-89	-0.01929625896782028
1108	90-94	-0.14694730286301905
1108	95-99	-0.11289166615107149
1108	100-104	-0.03952817753928173
1108	105-109	-0.21136350107979496
1108	110-114	-0.1777775274723865
1108	115-119	-0.2252202287477303
1108	120-124	-0.16536188731758017
1108	125-129	0.052063699925007256
1108	130-134	-0.10604232989454232
1108	135-139	-0.18104637324633188
1108	140-144	0.16364669394513243
1108	145-149	-0.0023575692841575346
1108	150-151	-0.020364933771283233
1109	1	-0.23624290861933872
1109	2	0.09918254122244008
1109	3	0.0033921923662774134
1109	4	0.06404945636698045
1109	5	-0.13476319213964416
1109	6	-0.10468842501347098
1109	7	-0.17488408850164916
1109	8	0.03300415583296257
1109	9	-0.04714202623351582
1109	10-14	-0.025004408812549173
1109	15-19	-0.14416416151109246
1109	20-24	-0.08846015940543595
1109	25-29	-0.14667593901358345
1109	30-34	-0.06457851149396987
1109	35-39	-0.02572723132180954
1109	40-44	-0.20231048578116173
1109	45-49	-0.13189274244461302
1109	50-54	-0.13249441950652852
1109	55-59	-0.07927467449930958
1109	60-64	-0.1397322997717083
1109	65-69	-0.24183395235147032
1109	70-74	-0.06636788722330778
1109	75-79	-0.01713172602462265
1109	80-84	0.07490148679361397
1109	85-89	0.02866006780532615
1109	90-94	-0.03272681596698135
1109	95-99	-0.04419775395122372
1109	100-104	-0.038934282116656505
1109	105-109	0.11048823177138445
1109	110-114	-0.012047218072638088
1109	115-119	-0.039275434741149695
1109	120-124	-0.07308354241423842
1109	125-129	-0.03725852193216639
1109	130-134	-0.07299875142675916
1109	135-139	-0.14004624744497818
1109	140-144	0.04193282649215746
1109	145-149	0.1055196881762015
1109	150-151	0.16737786500852536
1110	1	0.06573958179379957
1110	2	-0.0790317703324348
1110	3	0.054879060176133976
1110	4	-0.044531688267994696
1110	5	0.04209087051862781
1110	6	0.08633972056210126
1110	7	0.02204088074804389
1110	8	-0.07535269244140608
1110	9	-0.11615295163689154
1110	10-14	-0.08844120788641874
1110	15-19	-0.029799064918954343
1110	20-24	0.006527178703244374
1110	25-29	0.017514790932537494
1110	30-34	-0.052312042481808874
1110	35-39	-0.08904252585274008
1110	40-44	-0.12014941802708279
1110	45-49	-0.01113515588535563
1110	50-54	-0.06741700592683486
1110	55-59	-0.011937973103783861
1110	60-64	-0.10102121666101738
1110	65-69	-0.06490826997341514
1110	70-74	-0.12993644850939035
1110	75-79	0.03858392957469192
