1	249250621	139356163	240835
2	243199373	148736519	252675
3	198022430	114900580	192605
4	191154276	119038841	195398
5	180915260	105312345	172687
6	171115067	100407565	168497
7	159138663	94779996	166655
8	146364022	91949213	159917
9	141213431	71836361	125017
10	135534747	97667331	170432
11	135006516	78987600	141422
12	133851895	76782978	131504
13	115169878	56484434	92037
14	107349540	52360006	90427
15	102531392	49242277	86768
16	90354753	52560985	98745
17	81195210	47725803	93323
18	78077248	46922977	78991
19	59128983	34456645	68913
20	63025520	35787192	69553
21	48129895	24228672	58657
22	51304566	20971999	63366
X	155270560	46945853	89157
Y	59373566	16012345	43912
MT	16569	4708573	11847
GL000207.1	4262	4670	100
GL000226.1	15008	3231131	3878
GL000229.1	19913	47189	151
GL000231.1	27386	65715	139
GL000210.1	27682	9189	33
GL000239.1	33824	65130	88
GL000235.1	34474	88059	232
GL000201.1	36148	10455	28
GL000247.1	36422	29659	46
GL000245.1	36651	63813	82
GL000197.1	37175	10997	28
GL000203.1	37498	33605	42
GL000246.1	38154	16736	26
GL000249.1	38502	10690	20
GL000196.1	38914	12618	24
GL000248.1	39786	11237	14
GL000244.1	39929	29323	68
GL000238.1	39939	13380	24
GL000202.1	40103	17778	45
GL000234.1	40531	122900	225
GL000232.1	40652	158087	255
GL000206.1	41001	10133	29
GL000240.1	41933	42843	71
GL000236.1	41934	17781	40
GL000241.1	42152	126180	180
GL000243.1	43341	57354	96
GL000242.1	43523	13797	28
GL000230.1	43691	48655	62
GL000237.1	45867	111470	208
GL000233.1	45941	48566	75
GL000204.1	81310	37123	379
GL000198.1	90085	225932	349
GL000208.1	92689	451764	684
GL000191.1	106433	28719	56
GL000227.1	128374	32313	80
GL000228.1	129120	643252	1607
GL000214.1	137718	630524	996
GL000221.1	155397	230884	358
GL000209.1	159169	61860	86
GL000218.1	161147	378330	511
GL000220.1	161802	3975416	11732
GL000213.1	164239	43248	83
GL000211.1	166566	131900	221
GL000199.1	169874	4147084	5099
GL000217.1	172149	133399	304
GL000216.1	172294	1927082	6869
GL000215.1	172545	41428	80
GL000205.1	174588	363073	569
GL000219.1	179198	294662	788
GL000224.1	179693	771727	1325
GL000223.1	180455	52734	126
GL000195.1	182896	442018	694
GL000212.1	186858	864907	74440
GL000222.1	186861	205128	772
GL000200.1	187035	29497	68
GL000193.1	189789	402498	653
GL000194.1	191469	225495	401
GL000225.1	211173	1837825	7335
GL000192.1	547496	377192	625
*	0	0	2179048
