##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Dakota_B
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10019710
Sequences flagged as poor quality	0
Sequence length	25-151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.779069953122395	37.0	37.0	37.0	37.0	37.0
2	35.96047979432539	37.0	37.0	37.0	37.0	37.0
3	36.05227855896029	37.0	37.0	37.0	37.0	37.0
4	36.03975753789281	37.0	37.0	37.0	37.0	37.0
5	36.09046309723535	37.0	37.0	37.0	37.0	37.0
6	36.083490639948664	37.0	37.0	37.0	37.0	37.0
7	36.09136292367743	37.0	37.0	37.0	37.0	37.0
8	36.06724126746183	37.0	37.0	37.0	37.0	37.0
9	36.075928644641415	37.0	37.0	37.0	37.0	37.0
10-14	36.05691789482929	37.0	37.0	37.0	37.0	37.0
15-19	36.03916762061975	37.0	37.0	37.0	37.0	37.0
20-24	36.00298655350305	37.0	37.0	37.0	37.0	37.0
25-29	35.936405314148026	37.0	37.0	37.0	37.0	37.0
30-34	35.8834081630259	37.0	37.0	37.0	37.0	37.0
35-39	35.861399793541125	37.0	37.0	37.0	37.0	37.0
40-44	35.77760304315014	37.0	37.0	37.0	37.0	37.0
45-49	35.731389647281745	37.0	37.0	37.0	37.0	37.0
50-54	35.70108530674664	37.0	37.0	37.0	37.0	37.0
55-59	35.6489585596405	37.0	37.0	37.0	37.0	37.0
60-64	35.61832309978938	37.0	37.0	37.0	37.0	37.0
65-69	35.565076999579404	37.0	37.0	37.0	37.0	37.0
70-74	35.52896138750971	37.0	37.0	37.0	37.0	37.0
75-79	35.46503150530928	37.0	37.0	37.0	37.0	37.0
80-84	35.43750326625435	37.0	37.0	37.0	37.0	37.0
85-89	35.358493580600936	37.0	37.0	37.0	37.0	37.0
90-94	35.33110654903154	37.0	37.0	37.0	37.0	37.0
95-99	35.281996680973386	37.0	37.0	37.0	34.6	37.0
100-104	35.206551594197414	37.0	37.0	37.0	25.0	37.0
105-109	35.13976771193903	37.0	37.0	37.0	25.0	37.0
110-114	35.08304304307129	37.0	37.0	37.0	25.0	37.0
115-119	35.03185176126023	37.0	37.0	37.0	25.0	37.0
120-124	34.96522773011864	37.0	37.0	37.0	25.0	37.0
125-129	34.90595351721141	37.0	37.0	37.0	25.0	37.0
130-134	34.86985168690549	37.0	37.0	37.0	25.0	37.0
135-139	34.7351960660202	37.0	37.0	37.0	25.0	37.0
140-144	34.693252112015514	37.0	37.0	37.0	25.0	37.0
145-149	34.81027354675663	37.0	37.0	37.0	25.0	37.0
150-151	35.68361989681797	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.01953614296397177
1101	2	-0.08753299352238741
1101	3	0.04234196431477244
1101	4	-0.0557698095606014
1101	5	-0.1791474432182767
1101	6	-0.06317285757594249
1101	7	-0.13772289561969586
1101	8	-0.20284295404766794
1101	9	-0.11740403631704766
1101	10-14	-0.07835415134817225
1101	15-19	0.03898744711823099
1101	20-24	0.051930870073675806
1101	25-29	-0.020772770059416246
1101	30-34	-0.07684211273812735
1101	35-39	-0.14819859853938055
1101	40-44	-0.08985272724834203
1101	45-49	-0.14447026006553187
1101	50-54	-0.15582853211382997
1101	55-59	-0.17873574948881554
1101	60-64	-0.17277614781330897
1101	65-69	-0.09630177304410381
1101	70-74	-0.06900833535571849
1101	75-79	-0.2542721730043169
1101	80-84	-0.27849546310504536
1101	85-89	-0.24980268356738122
1101	90-94	-0.2007341960237241
1101	95-99	-0.15057560048346375
1101	100-104	-0.07809371436706414
1101	105-109	-0.12654008336966882
1101	110-114	-0.015565278557794215
1101	115-119	-0.15772457635042514
1101	120-124	-0.02335259929975564
1101	125-129	-0.1508210510723842
1101	130-134	-0.2294047596417812
1101	135-139	-0.05425760519948142
1101	140-144	-0.05077284857868847
1101	145-149	-0.06457388409864251
1101	150-151	-0.09878560648470369
1102	1	0.10014361959948559
1102	2	-0.3217583147840699
1102	3	-0.04899492236746994
1102	4	-0.16573257241106631
1102	5	0.020115115192936628
1102	6	-0.04670819636098855
1102	7	0.05956463358591435
1102	8	0.052830235204666565
1102	9	-0.28306189262546155
1102	10-14	0.006642928091075362
1102	15-19	-0.08549342320887376
1102	20-24	-0.04512593483286764
1102	25-29	-0.10410439973231433
1102	30-34	-0.10943090942203781
1102	35-39	-0.04519842021326781
1102	40-44	-0.13749043153492835
1102	45-49	-0.16492447400954546
1102	50-54	-0.018161867906698603
1102	55-59	0.028157232745094518
1102	60-64	-0.1858567845082817
1102	65-69	-0.08084277155808905
1102	70-74	-0.08380478376493272
1102	75-79	-0.15759391578185244
1102	80-84	0.12672794200378235
1102	85-89	-0.01646226604781731
1102	90-94	0.02524090492592279
1102	95-99	-0.08253097554504762
1102	100-104	0.07218645418232228
1102	105-109	-0.09585546684528623
1102	110-114	-0.09561042909901118
1102	115-119	-0.03214094855132288
1102	120-124	-0.1627472744241487
1102	125-129	-0.05063056272698674
1102	130-134	0.00676673699562258
1102	135-139	-0.04953931097328734
1102	140-144	-0.1335212695689023
1102	145-149	-0.31183012541481503
1102	150-151	-0.10175870060836445
1103	1	-0.004499564298043879
1103	2	0.09720933446112667
1103	3	0.017423836209843557
1103	4	-0.06738835065900872
1103	5	-0.08859156939077906
1103	6	0.04530847221174383
1103	7	-0.12126472082854178
1103	8	0.007674271115007514
1103	9	0.0013670729509343005
1103	10-14	-0.18569038618156242
1103	15-19	-0.18394557611372164
1103	20-24	-0.14450729633790615
1103	25-29	-0.15136216219800502
1103	30-34	-0.06513311520068754
1103	35-39	-0.1305076875271638
1103	40-44	-0.2633784202844822
1103	45-49	-0.09726720279248724
1103	50-54	-0.17858947859768648
1103	55-59	-0.25679855355780745
1103	60-64	-0.14608518902529255
1103	65-69	-0.11614973549166052
1103	70-74	-0.2500622549734146
1103	75-79	-0.3079386290498505
1103	80-84	-0.16769986888680677
1103	85-89	-0.17514751397877149
1103	90-94	-0.21785426338703928
1103	95-99	-0.27045517456418366
1103	100-104	-0.1397397566786509
1103	105-109	-0.040328384205317036
1103	110-114	-0.08290268069960405
1103	115-119	-0.3048486128427754
1103	120-124	-0.126784631053539
1103	125-129	-0.16604782707328525
1103	130-134	-0.1712234231358778
1103	135-139	-0.2936706605329249
1103	140-144	-0.23219394378467229
1103	145-149	-0.14478927086624793
1103	150-151	-0.06926157737281358
1104	1	-0.23853351044535742
1104	2	-0.133524360187657
1104	3	-0.2745852390715058
1104	4	-0.18169915032586204
1104	5	0.06737198178486636
1104	6	-0.061236643670405044
1104	7	-0.05796094096565696
1104	8	-0.00996755066977073
1104	9	-0.14197970372411817
1104	10-14	-0.11822674679681455
1104	15-19	-0.13020579708779678
1104	20-24	-0.09547451947412355
1104	25-29	-0.17839566935114703
1104	30-34	-0.1318784551431733
1104	35-39	-0.18885865256510925
1104	40-44	-0.22979828704863792
1104	45-49	-0.3857802007608342
1104	50-54	-0.2615617371375194
1104	55-59	-0.3261658271595991
1104	60-64	-0.262990123368688
1104	65-69	-0.2922542947398057
1104	70-74	-0.14562528265186359
1104	75-79	-0.1749968548985521
1104	80-84	-0.16338252361205718
1104	85-89	-0.420816039213463
1104	90-94	-0.13177405841922507
1104	95-99	-0.1277786909777845
1104	100-104	-0.35248472391000973
1104	105-109	-0.33595704495023426
1104	110-114	-0.1984377116267666
1104	115-119	-0.31577522328213803
1104	120-124	-0.3281335951154034
1104	125-129	-0.27413699486753984
1104	130-134	-0.39730002750081184
1104	135-139	-0.3997035139006613
1104	140-144	-0.25778377795089824
1104	145-149	-0.0999886753615229
1104	150-151	-0.09114806649338192
1105	1	-0.20009406406516206
1105	2	-0.5421069400001457
1105	3	-0.27698048578579204
1105	4	-0.04009278470579147
1105	5	-0.009328624003259733
1105	6	-0.12940117929097994
1105	7	-0.31685842983240775
1105	8	-0.010355131044249788
1105	9	-0.15362726913799207
1105	10-14	-0.1277739366453119
1105	15-19	-0.17921269989426492
1105	20-24	-0.10463226856234087
1105	25-29	-0.12789673713507455
1105	30-34	-0.16907159767004032
1105	35-39	-0.21526617393249836
1105	40-44	-0.2132632861313084
1105	45-49	-0.23407277212852762
1105	50-54	-0.10159939447499511
1105	55-59	-0.1215563245164617
1105	60-64	-0.12346086846952176
1105	65-69	-0.1694153664270388
1105	70-74	-0.08315776505192218
1105	75-79	-0.12029258590624892
1105	80-84	-0.16263587278828595
1105	85-89	-0.07519777192972299
1105	90-94	-0.11321237943305817
1105	95-99	-0.07465587387341799
1105	100-104	-0.1377498305022442
1105	105-109	-0.12854706417246575
1105	110-114	-0.08281051872013023
1105	115-119	-0.1942223501910263
1105	120-124	-0.17676662918003672
1105	125-129	-0.08980165056659928
1105	130-134	-0.06033788415869168
1105	135-139	-0.19902925653897796
1105	140-144	-0.07478246122369825
1105	145-149	-0.027723994301190658
1105	150-151	0.06262581339016293
1106	1	-0.2122359565084153
1106	2	-0.2398136194565197
1106	3	-0.06834177328268964
1106	4	-0.12361055290239875
1106	5	-0.17987133711920222
1106	6	-0.28224980281570566
1106	7	-0.13712145143335164
1106	8	-0.2532346130612311
1106	9	-0.19364338949444004
1106	10-14	-0.11252554493397326
1106	15-19	-0.05908973221657732
1106	20-24	-0.15325379490030855
1106	25-29	-0.09186707434695762
1106	30-34	-0.07386168585046704
1106	35-39	-0.13125623633303007
1106	40-44	-0.295426049596621
1106	45-49	-0.19272083492371905
1106	50-54	-0.16608663137941448
1106	55-59	-0.12584359655080846
1106	60-64	-0.19459023008323584
1106	65-69	-0.13124295864282942
1106	70-74	-0.13997709188105034
1106	75-79	-0.3488223390743954
1106	80-84	-0.23840366094996313
1106	85-89	0.015553849598468616
1106	90-94	-0.26760407938375863
1106	95-99	-0.057088127252640675
1106	100-104	-0.06676180478906701
1106	105-109	-0.2649193956398861
1106	110-114	-0.09123342645079191
1106	115-119	-0.16477701050283144
1106	120-124	-0.21361584918255971
1106	125-129	-0.10829357872257361
1106	130-134	-0.19885206960161383
