##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Dakota_T
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10023469
Sequences flagged as poor quality	0
Sequence length	25-151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.73939202086623	37.0	37.0	37.0	37.0	37.0
2	35.930939278607035	37.0	37.0	37.0	37.0	37.0
3	36.02864387568815	37.0	37.0	37.0	37.0	37.0
4	36.015401953156136	37.0	37.0	37.0	37.0	37.0
5	36.06931073463688	37.0	37.0	37.0	37.0	37.0
6	36.05289705589951	37.0	37.0	37.0	37.0	37.0
7	36.057839356813496	37.0	37.0	37.0	37.0	37.0
8	36.05884848848238	37.0	37.0	37.0	37.0	37.0
9	36.04714166323056	37.0	37.0	37.0	37.0	37.0
10-14	36.037370096121414	37.0	37.0	37.0	37.0	37.0
15-19	36.022485309227775	37.0	37.0	37.0	37.0	37.0
20-24	35.98539581456281	37.0	37.0	37.0	37.0	37.0
25-29	35.91836493010813	37.0	37.0	37.0	37.0	37.0
30-34	35.86342248089464	37.0	37.0	37.0	37.0	37.0
35-39	35.840901214919285	37.0	37.0	37.0	37.0	37.0
40-44	35.75394482517423	37.0	37.0	37.0	37.0	37.0
45-49	35.705996446569856	37.0	37.0	37.0	37.0	37.0
50-54	35.67645563747308	37.0	37.0	37.0	37.0	37.0
55-59	35.62169950670353	37.0	37.0	37.0	37.0	37.0
60-64	35.59132633819928	37.0	37.0	37.0	37.0	37.0
65-69	35.53775371890233	37.0	37.0	37.0	37.0	37.0
70-74	35.49739647042665	37.0	37.0	37.0	37.0	37.0
75-79	35.433404273529234	37.0	37.0	37.0	37.0	37.0
80-84	35.4046873971247	37.0	37.0	37.0	37.0	37.0
85-89	35.3222099094519	37.0	37.0	37.0	37.0	37.0
90-94	35.295289382626194	37.0	37.0	37.0	37.0	37.0
95-99	35.24695994128765	37.0	37.0	37.0	29.8	37.0
100-104	35.16978047416948	37.0	37.0	37.0	25.0	37.0
105-109	35.10018895625628	37.0	37.0	37.0	25.0	37.0
110-114	35.042632850125116	37.0	37.0	37.0	25.0	37.0
115-119	34.989328384567	37.0	37.0	37.0	25.0	37.0
120-124	34.9235730639149	37.0	37.0	37.0	25.0	37.0
125-129	34.860588188989446	37.0	37.0	37.0	25.0	37.0
130-134	34.825023594378955	37.0	37.0	37.0	25.0	37.0
135-139	34.687829876715966	37.0	37.0	37.0	25.0	37.0
140-144	34.647192615822135	37.0	37.0	37.0	25.0	37.0
145-149	34.76540968875058	37.0	37.0	37.0	25.0	37.0
150-151	35.66614558390323	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.12367957163665722
1101	2	-0.3763927051876905
1101	3	-0.1376859345981245
1101	4	0.03961263235259338
1101	5	-0.050096723029419366
1101	6	-0.19804312400862756
1101	7	-0.17306818442635574
1101	8	0.06889827129341342
1101	9	0.07267330354974888
1101	10-14	-0.07542603327683395
1101	15-19	-0.013029652320270202
1101	20-24	0.03725955504297218
1101	25-29	-0.012551798417071325
1101	30-34	-0.12372198593141803
1101	35-39	-0.04898220024584532
1101	40-44	-0.04780732354777939
1101	45-49	-0.11800313051517719
1101	50-54	-0.1329584686984191
1101	55-59	0.04089658918451988
1101	60-64	-0.17061729683249638
1101	65-69	-0.08406751987710948
1101	70-74	-0.03172673705323348
1101	75-79	0.01982829970279454
1101	80-84	-0.09944974298315401
1101	85-89	-0.143322814900273
1101	90-94	-0.09637505331650686
1101	95-99	-0.21071660688895832
1101	100-104	-0.15744821647971463
1101	105-109	-0.14145734765082807
1101	110-114	-0.10958932356243167
1101	115-119	-0.05545814988273179
1101	120-124	-0.04914277045200066
1101	125-129	-0.025976640681740548
1101	130-134	-0.039217176768048034
1101	135-139	0.01572825388526411
1101	140-144	-0.1122477427438966
1101	145-149	-0.06279903532274034
1101	150-151	-0.09398059199941144
1102	1	-0.13290633700982113
1102	2	-0.23979309017001071
1102	3	-0.3667504140797817
1102	4	-0.19222965299953643
1102	5	-0.04084804535266073
1102	6	-0.20769127983544422
1102	7	-0.17660280755158908
1102	8	-0.1853552439457502
1102	9	-0.33985109495751686
1102	10-14	-0.1897570169370013
1102	15-19	-0.14439559790358913
1102	20-24	-0.16306407282542779
1102	25-29	-0.021422387267634235
1102	30-34	-0.04268349959754403
1102	35-39	-0.14323558799134162
1102	40-44	-0.1512881255082661
1102	45-49	-0.17466472534935207
1102	50-54	-0.14858358584931608
1102	55-59	-0.17753177873748882
1102	60-64	-0.11733774756323356
1102	65-69	-0.17029301364632943
1102	70-74	-0.19551295015346426
1102	75-79	-0.10727870146149598
1102	80-84	-0.2079376060236271
1102	85-89	-0.1384290215637023
1102	90-94	-0.3171501590385617
1102	95-99	-0.14380789466164146
1102	100-104	-0.1979259731008014
1102	105-109	-0.18289132556050447
1102	110-114	-0.19339968738096047
1102	115-119	-0.13796458222632424
1102	120-124	-0.22148942523094206
1102	125-129	-0.16368904353831226
1102	130-134	-0.21411059509343033
1102	135-139	-0.1450880672085617
1102	140-144	-0.010566049933864008
1102	145-149	-0.39650589479020226
1102	150-151	-0.15245355316443465
1103	1	-0.15526655319374782
1103	2	-0.21328223349372166
1103	3	-0.5783535401272815
1103	4	-0.12040263260588091
1103	5	-0.19228879808438393
1103	6	-0.15026245309343977
1103	7	-0.19846306391085733
1103	8	-0.01606202968293502
1103	9	-0.38906467276255086
1103	10-14	-0.22321244543746843
1103	15-19	-0.200876448874169
1103	20-24	-0.13488257117661817
1103	25-29	-0.038486017253077875
1103	30-34	-0.13275701766023928
1103	35-39	-0.20202729222939553
1103	40-44	-0.2780078954426983
1103	45-49	-0.22120281977736767
1103	50-54	-0.19706430498039396
1103	55-59	-0.2988325637603566
1103	60-64	-0.24216248414690966
1103	65-69	-0.24648106740714582
1103	70-74	-0.20175004022090093
1103	75-79	-0.20177453082112606
1103	80-84	-0.35651180186930276
1103	85-89	-0.18793439790484
1103	90-94	-0.41871063524174446
1103	95-99	-0.239250298634893
1103	100-104	-0.2056553147796194
1103	105-109	-0.15506410570954188
1103	110-114	-0.20367182061328037
1103	115-119	-0.1652188948187998
1103	120-124	-0.21650551398830942
1103	125-129	-0.2341852811251144
1103	130-134	-0.07416042230551767
1103	135-139	-0.17300662138173806
1103	140-144	-0.16000976745480955
1103	145-149	-0.14236854893128026
1103	150-151	-0.18052866816348967
1104	1	-0.16856362614299059
1104	2	-0.2920134717826386
1104	3	-0.020405673222711584
1104	4	-0.09123444709596384
1104	5	-0.20702157759950524
1104	6	0.029584575409650427
1104	7	-0.221757323003132
1104	8	-0.0034780136695289343
1104	9	-0.017234258805814306
1104	10-14	-0.20858006945502439
1104	15-19	-0.06973536592295204
1104	20-24	-0.12906843921951605
1104	25-29	-0.19287098122199353
1104	30-34	-0.26314908571566065
1104	35-39	-0.16463956515649159
1104	40-44	-0.24493458633341447
1104	45-49	-0.2319206980906543
1104	50-54	-0.2385861114236505
1104	55-59	-0.27895492927194
1104	60-64	-0.26467701948568845
1104	65-69	-0.26742064934156673
1104	70-74	-0.3242133414327526
1104	75-79	-0.39848788512387046
1104	80-84	-0.2021620439356866
1104	85-89	-0.3889284288089243
1104	90-94	-0.2550959374672459
1104	95-99	-0.25412955974655915
1104	100-104	-0.24388446473110292
1104	105-109	-0.2812843425537821
1104	110-114	-0.3885355778948991
1104	115-119	-0.26042054425179373
1104	120-124	-0.45582237399424486
1104	125-129	-0.35562208025788067
1104	130-134	-0.26418288758573283
1104	135-139	-0.30506757527200534
1104	140-144	-0.3463642652757031
1104	145-149	-0.2766168614603828
1104	150-151	-0.10269460427214483
1105	1	-0.3521646264751368
1105	2	-0.19993455886233846
1105	3	-0.579189839840538
1105	4	-0.23059712611048155
1105	5	-0.2698891312794345
1105	6	-0.5799830544674549
1105	7	-0.21027890243380654
1105	8	-0.19342877857194196
1105	9	-0.10693689444655519
1105	10-14	-0.31144918615392214
1105	15-19	-0.14018063095235078
1105	20-24	-0.3502209703333605
1105	25-29	-0.27355612152557995
1105	30-34	-0.18027010243867636
1105	35-39	-0.34670614412870293
1105	40-44	-0.3405823588940109
1105	45-49	-0.1840857802222331
1105	50-54	-0.31648545108204473
1105	55-59	-0.41914701401190513
1105	60-64	-0.3599497681466133
1105	65-69	-0.3888019601808992
1105	70-74	-0.4716337642559054
1105	75-79	-0.346975119517289
1105	80-84	-0.41844066892939935
1105	85-89	-0.40475391622943846
1105	90-94	-0.4615679337901071
1105	95-99	-0.5053892248514558
1105	100-104	-0.47303597079226023
1105	105-109	-0.4188970386752544
1105	110-114	-0.3586454645400039
1105	115-119	-0.3681620255463329
1105	120-124	-0.5740993009868092
1105	125-129	-0.4643168912694051
1105	130-134	-0.3518457258533161
1105	135-139	-0.4362114128749539
1105	140-144	-0.33750673973001
1105	145-149	-0.29794190220465566
1105	150-151	0.06439990952233643
1106	1	-0.03534935656200844
1106	2	-0.1821013337332218
1106	3	-0.11743940472588577
1106	4	0.1334636988652278
1106	5	-0.013265487278836474
1106	6	-0.256707282436615
1106	7	0.06592845194379038
1106	8	-0.21767822146643567
1106	9	0.1447101910163937
1106	10-14	-0.1251641336268321
1106	15-19	-0.018302406236834656
1106	20-24	-0.11509345228748913
1106	25-29	-0.046489358268893
1106	30-34	-0.01908174437713228
1106	35-39	-0.05063135970281962
1106	40-44	-0.18959524867013045
1106	45-49	-0.1334849727673486
1106	50-54	0.04473053900579771
1106	55-59	-0.11041868054243054
1106	60-64	-0.27462862897477436
1106	65-69	-0.22907509350580568
1106	70-74	-0.14411152527161875
1106	75-79	-0.28143552091220414
1106	80-84	-0.16071664249028572
1106	85-89	-0.1649003298371312
1106	90-94	-0.17483110152882375
1106	95-99	-0.10777618473501605
1106	100-104	-0.1792144205443762
1106	105-109	-0.21210139032035613
1106	110-114	-0.12714745511731707
1106	115-119	-0.1004931087095784
1106	120-124	-0.18711556048986466
1106	125-129	-0.1233370229584807
1106	130-134	-0.10031296609643903
1106	135-139	-0.1466716721397745
1106	140-144	-0.03452365425306425
1106	145-149	-0.15229607807754064
1106	150-151	-0.09264378983553456
1107	1	-0.19154501480977615
1107	2	-0.2553701749178998
1107	3	-0.05023223613915917
1107	4	-0.048726760088797505
1107	5	0.003626796265322696
1107	6	-0.17204903550102557
1107	7	-0.023009996391465393
1107	8	0.16612206693840648
1107	9	-0.004176097576937821
1107	10-14	-0.04000513982445142
1107	15-19	-0.12457216734788545
1107	20-24	-0.06138409731184424
1107	25-29	-0.042658527974865024
1107	30-34	-0.0458712013370004
1107	35-39	-0.079473814949651
1107	40-44	-0.17585437783284164
1107	45-49	-0.11619683007575787
1107	50-54	-0.17059068538555522
1107	55-59	-0.15773789520167014
1107	60-64	-0.14637805685389793
1107	65-69	-0.1869598984249592
1107	70-74	-0.1422164677052251
1107	75-79	-0.1561807765189016
1107	80-84	-0.07498482667826067
1107	85-89	-0.24223232459532085
1107	90-94	-0.20305134410188685
1107	95-99	-0.2726145507359874
1107	100-104	-0.19827039419659087
1107	105-109	-0.10371260184406594
1107	110-114	-0.146204698542725
1107	115-119	-0.23667207395097734
1107	120-124	-0.2963946833171107
1107	125-129	-0.29715555527992166
1107	130-134	-0.31595378248087513
1107	135-139	-0.029200225788223122
1107	140-144	-0.3030022507847079
1107	145-149	-0.18493165797076472
1107	150-151	-0.05388941009123016
1108	1	-0.053527740467536944
1108	2	-0.24744834671363236
1108	3	-0.00686891694802938
1108	4	-0.04626056507277809
1108	5	-0.32243967756977554
1108	6	-0.329420818058729
1108	7	-0.031138560528084724
1108	8	-0.09437069638919837
1108	9	-0.15471461723788593
1108	10-14	-0.11736462799750313
1108	15-19	-0.19742042134402027
1108	20-24	-0.11106402252099912
1108	25-29	-0.15484868541847163
1108	30-34	-0.08686955147448572
1108	35-39	-0.19644027690026888
1108	40-44	-0.08858892952113706
1108	45-49	-0.141706308857529
1108	50-54	-0.058618711884435015
1108	55-59	-0.1555438635473152
1108	60-64	-0.3649188014952429
1108	65-69	-0.25207941709003023
1108	70-74	-0.11064931357848451
1108	75-79	-0.14816220258173018
1108	80-84	-0.20583003460445326
1108	85-89	-0.14787868463678677
1108	90-94	-0.05955127360637391
1108	95-99	-0.17904354764861097
1108	100-104	-0.07550776403339654
1108	105-109	-0.16314491379034735
1108	110-114	-0.17922801470400884
1108	115-119	-0.07457583296319115
1108	120-124	-0.13837042027108737
1108	125-129	-0.276857633846916
1108	130-134	-0.2257917636611282
1108	135-139	-0.14377541796388726
1108	140-144	-0.09721145098664152
1108	145-149	-0.07279359388367368
1108	150-151	-0.1587457831437007
1109	1	-0.2625755539315193
1109	2	-0.332108571718166
1109	3	0.07324358532016362
1109	4	-0.09985791582581527
1109	5	-0.019602170765203653
1109	6	-0.1618241931267761
1109	7	-0.005848232094045613
1109	8	-0.24215467388874856
1109	9	-0.15887674752277547
1109	10-14	-0.05576736797210202
1109	15-19	0.0753726289190979
1109	20-24	-0.047282494667612696
1109	25-29	-0.14547764965541177
1109	30-34	-0.05818285493023012
1109	35-39	-0.055649402375550494
1109	40-44	-0.10287200274802188
1109	45-49	-0.07687919603041848
1109	50-54	-0.10394289320861816
1109	55-59	-0.10071792592363948
1109	60-64	-0.07977582696062768
1109	65-69	-0.06987270490832742
1109	70-74	-0.02164106660779197
1109	75-79	0.03239909487447079
1109	80-84	-0.01635818729781846
1109	85-89	-0.014123297146717562
1109	90-94	-0.018918272581856854
1109	95-99	-0.09813911714309143
1109	100-104	0.06724878802775436
1109	105-109	-0.15250209002686432
1109	110-114	0.11040620594665995
1109	115-119	-0.10725109276782518
1109	120-124	0.038165097154085004
1109	125-129	-0.026917849073058164
1109	130-134	0.07788155336591274
1109	135-139	-0.09769475937907401
1109	140-144	-0.2112059257636929
1109	145-149	-0.01775687155222272
1109	150-151	-0.08614319932541292
1110	1	-0.08568703547322798
1110	2	-0.3372008631476646
1110	3	-0.5068778436384775
1110	4	-0.5534072734449396
1110	5	-0.17607409031851518
1110	6	-0.21118858842140753
1110	7	-0.3109046098248385
1110	8	-0.2695337870236756
1110	9	-0.3264141519787813
1110	10-14	-0.13818524079695038
1110	15-19	-0.283724378724429
1110	20-24	-0.18076219326359677
1110	25-29	-0.267398267164765
1110	30-34	-0.21656056256828293
1110	35-39	-0.29709356287171573
1110	40-44	-0.2744776325739622
1110	45-49	-0.4037977058492359
1110	50-54	-0.27191751924265617
1110	55-59	-0.2398899389850726
1110	60-64	-0.3343478566742206
1110	65-69	-0.2699597753128131
1110	70-74	-0.38014423052797497
1110	75-79	-0.1559687316307361
1110	80-84	-0.3009635963784021
1110	85-89	-0.4068789223718099
1110	90-94	-0.3679607929862101
1110	95-99	-0.3872971058235706
1110	100-104	-0.40525337978959897
1110	105-109	-0.2928646369553647
1110	110-114	-0.2589933870550496
1110	115-119	-0.3645233154974292
1110	120-124	-0.2931444860358141
1110	125-129	-0.35526636395817945
1110	130-134	-0.4178199226376833
1110	135-139	-0.15996739093172607
1110	140-144	-0.3197379813275347
1110	145-149	-0.27738335109803813
1110	150-151	-0.33525961377812763
1111	1	-0.23552147657256484
1111	2	-0.2905599554744285
1111	3	-0.14934818605210154
1111	4	-0.019409118913607415
1111	5	-0.040753726977733606
1111	6	-0.229934154529424
1111	7	-0.439011162208196
1111	8	-0.12799991491691287
1111	9	-0.31018146132748825
1111	10-14	-0.15778243736522768
1111	15-19	-0.122060031013568
1111	20-24	-0.2533020397115493
1111	25-29	-0.2551428685225261
1111	30-34	-0.16235234108719254
1111	35-39	-0.2551522960798991
1111	40-44	-0.3188694283162121
1111	45-49	-0.3242265828861477
1111	50-54	-0.21590269141297824
1111	55-59	-0.21527781004109414
1111	60-64	-0.28531695250175204
1111	65-69	-0.2659253462612554
1111	70-74	-0.2623284638043586
1111	75-79	-0.3564875132052734
1111	80-84	-0.44875251832597485
1111	85-89	-0.32361444172251197
1111	90-94	-0.3695923734318072
1111	95-99	-0.3578800837730114
1111	100-104	-0.3892609739895647
1111	105-109	-0.3270541074715183
1111	110-114	-0.24817466001836408
1111	115-119	-0.3301339393760543
1111	120-124	-0.36854268471726215
1111	125-129	-0.29447039022766575
1111	130-134	-0.2033551450678388
1111	135-139	-0.2562875649192904
1111	140-144	-0.3654683889963124
1111	145-149	-0.06578836027179591
1111	150-151	0.011860540491284155
1112	1	-0.3722987587422679
1112	2	-0.1462887981065677
1112	3	-0.25655242930075417
1112	4	0.020543569848044285
1112	5	-0.14088061670318552
1112	6	-0.2757111168386004
1112	7	-0.06481828279561341
1112	8	-0.08373438147039991
1112	9	-0.05286772736005929
1112	10-14	-0.21498650486633863
1112	15-19	-0.1518337736277786
1112	20-24	-0.18581568650819946
1112	25-29	-0.19388464610873513
1112	30-34	-0.34648746773545014
1112	35-39	-0.2949623367541818
1112	40-44	-0.23268889221248656
1112	45-49	-0.14486416452295003
1112	50-54	-0.25998218556253505
1112	55-59	-0.24340700155389072
1112	60-64	-0.43586865466145497
1112	65-69	-0.30507805210158523
1112	70-74	-0.26696509221279285
1112	75-79	-0.29385780733043276
1112	80-84	-0.3557501147651365
1112	85-89	-0.25476295054689047
1112	90-94	-0.26528349601915124
1112	95-99	-0.29629490854278373
1112	100-104	-0.1182290611506005
1112	105-109	-0.2684708755242795
1112	110-114	-0.2235029132082147
1112	115-119	-0.16132356201087106
1112	120-124	-0.3693964632237794
1112	125-129	-0.21937956513106371
1112	130-134	-0.26779744799816285
1112	135-139	-0.32614192770612505
1112	140-144	-0.32754906011697216
1112	145-149	-0.06845862692572524
1112	150-151	0.04960922401316026
1113	1	-0.27979029914905595
1113	2	-0.1951841600032509
1113	3	-0.3456661827516214
1113	4	-0.03521004042374898
1113	5	-0.10419460347215903
1113	6	-0.3666870676823919
1113	7	-0.2860031330589976
1113	8	-0.21486713368221189
1113	9	-0.2427285335393634
1113	10-14	-0.1549230307450884
1113	15-19	-0.1754844051083353
1113	20-24	-0.2574907221942837
1113	25-29	-0.1461069215522599
1113	30-34	-0.20843813396567157
1113	35-39	-0.19024727638559824
1113	40-44	-0.28157023106260226
1113	45-49	-0.24077060680033924
1113	50-54	-0.253570586642077
