## Viral sequences (from https://gdc.cancer.gov/about-data/data-harmonization-and-generation/gdc-reference-files) found in unmapped reads
## Sample: PRJ180492_E201-T01-D
#virus	size	depth	1x	5x	25x
HCV-1	9646	2.50	0.0101597	0.0096413	0
HCV-2	9711	1.94	0.0102976	0.00957677	0
SV40	5243	0.00	0	0	0
MCV	5387	0.00	0	0	0
KSHV	137969	0.00	0	0	0
HTLV-1	8507	0.00	0	0	0
HPV99	7698	0.00	0	0	0
HPV98	7466	0.00	0	0	0
HPV97	7843	0.00	0	0	0
HPV96	7438	0.00	0	0	0
HPV95	7337	0.00	0	0	0
HPV94	7881	0.00	0	0	0
HPV93	7450	0.00	0	0	0
HPV92	7461	0.00	0	0	0
HPV91	7966	0.00	0	0	0
HPV90	8033	0.00	0	0	0
HPV9	7434	0.00	0	0	0
HPV89	8078	0.00	0	0	0
HPV88	7326	0.00	0	0	0
HPV87	7999	0.00	0	0	0
HPV86	7983	0.00	0	0	0
HPV85	7812	0.00	0	0	0
HPV84	7948	0.00	0	0	0
HPV83	8104	0.00	0	0	0
HPV82	7870	0.00	0	0	0
HPV81	8070	0.00	0	0	0
HPV80	7427	0.00	0	0	0
HPV8	7654	0.00	0	0	0
HPV78	7830	0.00	0	0	0
HPV77	7887	0.00	0	0	0
HPV76	7549	0.00	0	0	0
HPV75	7537	0.00	0	0	0
HPV74	7887	0.00	0	0	0
HPV73	7700	0.00	0	0	0
HPV72	7989	0.00	0	0	0
HPV71	8037	0.00	0	0	0
HPV70	7905	0.00	0	0	0
HPV7	8027	0.00	0	0	0
HPV69	7700	0.00	0	0	0
HPV68	7822	0.00	0	0	0
HPV67	7801	0.00	0	0	0
HPV66	7824	0.00	0	0	0
HPV65	7308	0.00	0	0	0
HPV63	7348	0.00	0	0	0
HPV62	8092	0.00	0	0	0
HPV61	7989	0.00	0	0	0
HPV60	7313	0.00	0	0	0
HPV6	7996	0.00	0	0	0
HPV59	7896	0.00	0	0	0
HPV58	7824	0.00	0	0	0
HPV57	7861	0.00	0	0	0
HPV56	7845	0.00	0	0	0
HPV54	7759	0.00	0	0	0
HPV53	7859	0.00	0	0	0
HPV52	7942	0.00	0	0	0
HPV51	7808	0.00	0	0	0
HPV50	7184	0.00	0	0	0
HPV5	7746	0.00	0	0	0
HPV49	7560	0.00	0	0	0
HPV48	7100	0.00	0	0	0
HPV47	7726	0.00	0	0	0
HPV45	7858	0.00	0	0	0
HPV44	7833	0.00	0	0	0
HPV43	7975	0.00	0	0	0
